year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2699044,RATIO_TTM,ACB,2018,1084491417,36872708178000.0,0.0,13.2423620721,2.0334449499,3.0558198674,2.5701779429,0.0,0.0,0.0,0.0,0.0,0.0,16.4565199572,0.175354782,0.009942003,0.0,0.0,0.0,0.467706989,0.0,0.2943304989,0.2307609369,0.0,0.0335252399,0.0798752274,0.0,0.3899168539,-0.5083535753,0.066554541,0.0698438842,0.0607661889,0.0811510096,0.0572851864,0.8196246366,0.0069820512,-1.3465074941,0.0094013843,-0.0107802073,0.0,0.0,0.0,0.0,0.0,0.0,-0.5083535753,0.0,,0.1620961274,39868384000000.0,1766928000000.0,226459000000.0,258252752000000.0,
2018,2,2713885,RATIO_TTM,ACB,2018,1247165130,36916087848000.0,0.0,10.2532840556,2.0151965772,2.9541347463,3.4575784501,0.0,0.0,0.0,0.0,0.0,0.0,15.9207168659,0.215109602,0.0123682717,0.0,0.0,0.0,0.52728619,0.0,0.3637080497,0.2881159578,0.0,0.0339189352,0.0796799517,0.0,0.284845808,-0.3846529456,0.048144927,0.0369743708,0.062811242,0.0825689867,0.0590991509,0.8284538452,0.0078301264,-1.3079430647,0.0102413595,-0.0100145424,0.0,0.0,0.0,0.0,0.0,0.0,-0.3846529456,0.0,,0.1608178498,41126308000000.0,1700245000000.0,240706000000.0,267801485000000.0,
2018,3,2716042,RATIO_TTM,ACB,2018,1247165130,36417221796000.0,0.0,8.346752165,1.8657522074,2.7337157571,2.3964264012,0.0,0.0,0.0,0.0,0.0,0.0,15.0244538237,0.2456468506,0.0144601155,0.0,0.0,0.0,0.5376816142,0.0,0.4075011767,0.327518502,0.0,0.0341375538,0.0796257343,0.0,0.3065714019,-0.4523828867,-0.0041548776,0.0006489322,0.0665581599,0.0883445469,0.062404623,0.8244766914,0.0083717676,-1.2954997505,0.0108456228,-0.0081328814,0.0,0.0,0.0,0.0,0.0,0.0,-0.4523828867,0.0,,0.159698964,40951335000000.0,1575326000000.0,268712000000.0,267975270000000.0,
2018,4,2717192,RATIO_TTM,ACB,2018,1247165130,37414953900000.0,0.0,7.525255925,1.7801471926,2.6661742558,3.2471277831,0.0,0.0,0.0,0.0,0.0,0.0,14.6691799214,0.2773131377,0.0167426296,0.0,0.0,0.0,0.521690172,0.0,0.4552469469,0.3660642167,0.0,0.0356206695,0.0825484779,-0.0480074325,0.3516279195,-0.478309828,0.1612678387,0.1185021068,0.0681701367,0.0911731769,0.0638195493,0.8538092524,0.0072658578,-1.5189286068,0.0110363193,-0.0043464929,0.0,0.0,0.0,0.0,0.0,0.0,-0.478309828,0.0,,0.1746815574,45021707000000.0,1562034000000.0,580018000000.0,269998503000000.0,
2018,5,12237565,RATIO_YEAR,ACB,2018,1247165130,37414953900000.0,0.0,7.8638924416,1.9220391341,2.878689627,3.3932485334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773131377,0.0167426296,0.0,0.0,0.0,0.521690172,0.0,0.4552469469,0.3660642167,0.0,0.0356206695,0.0825484779,-0.0480074325,0.3516279195,-0.478309828,0.1612678387,0.1185021068,0.0681701367,0.0911731769,0.0638195493,0.8538092524,0.0072658578,-1.5189286068,0.0110363193,-0.0043464929,0.0,0.0,0.0,0.0,0.0,0.0,-0.478309828,0.1281,,0.1746815574,45021707000000.0,1562034000000.0,580018000000.0,269998503000000.0,12237565.0
2019,1,2723220,RATIO_TTM,ACB,2019,1621314669,38425157655300.0,0.0,7.1709397112,1.7166775559,2.7021939654,3.1381649973,0.0,0.0,0.0,0.0,0.0,0.0,14.0022763252,0.2638366329,0.0166426907,0.0,0.0,0.0,0.5195590572,0.0,0.4645137108,0.3768256436,0.0,0.0353004193,0.0812485277,0.0,0.2206505073,-0.5154285102,0.0296299804,0.0187840004,0.0714169594,0.0943025716,0.0666565512,0.8628989103,0.0068388712,-1.5809990889,0.0108122492,-0.0034380431,0.0,0.0,0.0,0.0,0.0,0.0,-0.5154285102,0.0,,0.1690167441,44353778000000.0,1575994000000.0,561690000000.0,275070155000000.0,
2019,2,2725977,RATIO_TTM,ACB,2019,1621314669,38100894721500.0,0.0,6.8363441191,1.5986140099,2.546240392,3.773929134,0.0,0.0,0.0,0.0,0.0,0.0,13.7244488845,0.256970075,0.0167762405,0.0,0.0,0.0,0.4973674431,0.0,0.4584319978,0.3724564341,0.0,0.035473045,0.0818128821,-0.0482443085,0.3574566208,-0.4867877596,0.0562301831,0.0589296283,0.0728626707,0.0950669571,0.0679142566,0.8606991906,0.0066071196,-1.6147573643,0.0106688951,-0.0024804521,0.0,0.0,0.0,0.0,0.0,0.0,-0.4867877596,0.1026,,0.173589206,48350906000000.0,1523140000000.0,689007000000.0,291279937000000.0,
2019,3,2730653,RATIO_TTM,ACB,2019,1656515277,40584624286500.0,0.0,6.8674571244,1.6000682016,2.6264958439,16.4925233329,0.0,0.0,0.0,0.0,0.0,0.0,13.1212250647,0.2511064926,0.0169200031,0.0,0.0,0.0,0.492324879,0.0,0.4642265172,0.3762020124,0.0,0.0356582921,0.0829007067,0.0,0.2675710588,-0.479003891,0.021330387,0.0230952467,0.076212396,0.0990591998,0.0708153857,0.8592144673,0.0066568776,-1.5893768697,0.0105802872,-0.0017818903,0.0,0.0,0.0,0.0,0.0,0.0,-0.479003891,0.0,,0.1723169506,49264695000000.0,1472290000000.0,614693000000.0,298007119000000.0,
2019,4,2734138,RATIO_TTM,ACB,2019,1662737277,32922198084600.0,0.0,5.4779606741,1.1857292421,2.045193274,5.6616944774,0.0,0.0,0.0,0.0,0.0,0.0,12.8126951285,0.2463934246,0.0168617705,0.0,0.0,0.0,0.483915399,0.0,0.4669050868,0.3733493948,0.0,0.0356880706,0.0834366228,0.0,0.3266539577,-0.516084601,0.1655913822,0.1412262941,0.0780475919,0.1033319803,0.0723971673,0.8720380102,0.0053939303,-1.7495328947,0.0094368586,-0.0010969783,0.0,0.0,0.0,0.0,0.0,0.0,-0.516084601,0.0,,0.1907845558,56057704000000.0,1539674000000.0,1188951000000.0,308129391000000.0,
2019,5,12244546,RATIO_YEAR,ACB,2019,1662737277,32922198084600.0,0.0,8.8201979742,1.8774046593,3.2382227286,8.9643495892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2463934246,0.0168617705,0.0,0.0,0.0,0.483915399,0.0,0.4669050868,0.3733493948,0.0,0.0356880706,0.0834366228,0.0,0.3266539577,-0.516084601,0.1655913822,0.1412262941,0.0780475919,0.1033319803,0.0723971673,0.8720380102,0.0053939303,-1.7495328947,0.0094368586,-0.0010969783,0.0,0.0,0.0,0.0,0.0,0.0,-0.516084601,0.1091,,0.1907845558,56057704000000.0,1539674000000.0,1188951000000.0,308129391000000.0,12244546.0
