date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-03,0.009910808876156807,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,0.008942168205976486,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-05,0.0137412678450346,0.005,BUY,3500,False,0,196700.0,0.001967,0.970033,0.972,-0.029966999999999966,
2026-02-06,0.011551749892532825,0.005,HOLD,3500,False,1,0.0,0.0,0.949033,0.951,-0.02164874803228345,
2026-02-09,0.009763834998011589,0.005,HOLD,3500,True,2,0.0,0.0,0.908783,0.91075,-0.042411591588490616,
2026-02-10,0.003533592913299799,0.005,HOLD,3500,True,3,0.0,0.0,0.938533,0.9405,0.03273608771290837,
2026-02-11,0.0021695690229535103,0.005,SELL,0,True,0,277200.0,0.002772,0.935761,0.9405,-0.0029535455865696836,-0.06518635327210348
2026-02-12,0.002455062698572874,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-02-13,0.0028633223846554756,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-02-23,0.00775662437081337,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-02-24,0.007435333915054798,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-02-25,0.0056643192656338215,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-02-26,0.006007013842463493,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-02-27,0.005093857645988464,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-02,0.00265488144941628,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-03,-0.0037227042485028505,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-04,-0.002138488693162799,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-05,-0.004235413391143084,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-06,-0.005262401886284351,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-09,-0.00848960131406784,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-10,-0.00848960131406784,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-11,-0.004461095668375492,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-12,-0.0032218899577856064,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-13,-0.0016376752173528075,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-16,0.000980518525466323,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-17,0.0014088498428463936,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-18,-0.0012348726158961654,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-19,-0.0012348726158961654,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-20,-0.0016761836595833302,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-23,-0.003594399197027087,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-24,-0.003621195675805211,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-25,0.0005682334885932505,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-26,0.0009675390319898725,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-27,0.0029350626282393932,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-30,0.005498627666383982,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-03-31,0.005314457230269909,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-01,0.004906197544187307,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-02,0.004906197544187307,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-03,0.004330265335738659,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-06,0.0022183407563716173,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-07,0.0034219364169985056,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-08,0.0034835536498576403,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-09,0.003882859367877245,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-10,0.0047385250218212605,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-13,0.0065675461664795876,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-14,0.0066861663945019245,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-15,0.004906197544187307,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-16,0.006914970930665731,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-17,0.006504844408482313,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-20,0.005850048270076513,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-21,0.005889194551855326,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-22,0.007142283488065004,0.005,HOLD,0,False,0,0.0,0.0,0.935761,0.9405,0.0,
2026-04-23,0.010824221186339855,0.005,BUY,3800,False,0,183920.0,0.0018392,0.9377218,0.9443,0.002095406839994318,
2026-04-24,0.007142283488065004,0.005,HOLD,3800,False,1,0.0,0.0,0.9377218,0.9443,0.0,
2026-04-28,0.00657055014744401,0.005,HOLD,3800,True,2,0.0,0.0,0.9225218,0.9291,-0.016209498382142806,
2026-04-29,-0.0002651540853548795,0.005,HOLD,3800,True,3,0.0,0.0,0.9244218,0.931,0.002059571925563164,
2026-05-04,-0.001435801386833191,0.005,SELL,0,True,0,267330.0,0.0026733,0.9027485,0.912,-0.023445249776671173,-0.03582710611834183
2026-05-05,-0.005575512070208788,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-06,0.0012449345085769892,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-07,-0.00552906421944499,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-08,-0.005734850186854601,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-11,-0.005734850186854601,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-12,-0.005734850186854601,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-13,-0.005734850186854601,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-14,-0.005734850186854601,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-15,-0.006326375994831324,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-18,-0.005734850186854601,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-19,-0.007059174124151468,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-20,-0.006592022720724344,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-21,-0.007183548528701067,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-22,-0.0050095319747924805,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-25,-0.004160636104643345,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-26,-0.006038313265889883,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-27,-0.006038313265889883,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-28,-0.006038313265889883,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-05-29,-0.007134519517421722,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-01,-0.007475723512470722,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-02,-0.009691495448350906,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-03,-0.009140470065176487,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-04,-0.00869915820658207,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-05,-0.010791629552841187,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-08,-0.011914798989892006,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-09,-0.0004905470414087176,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-10,-0.00946546345949173,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-11,-0.00946546345949173,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-12,-0.010655563324689865,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-15,-0.0020488484296947718,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-16,-0.0020488484296947718,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-17,0.00023597280960530043,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-18,0.0019031655974686146,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-19,0.0037321867421269417,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-22,0.0024790982715785503,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-23,0.00348058738745749,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-24,0.0031078162137418985,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-25,0.0024280266370624304,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-26,0.0029370503034442663,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-29,0.005936472211033106,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-06-30,0.006856787949800491,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-07-01,0.004683383274823427,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-07-02,0.005192985758185387,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-07-03,0.003272786270827055,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-07-06,0.005369731690734625,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-07-07,0.0055477856658399105,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-07-08,0.0062882425263524055,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
2026-07-09,0.0055477856658399105,0.005,HOLD,0,False,0,0.0,0.0,0.9027485,0.912,0.0,
