date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-02,0.008028494194149971,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-03,0.007053983863443136,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,0.011530471965670586,0.005,BUY,1900,False,0,199082.0,0.00199082,0.96988918,0.97188,-0.030110819999999983,
2026-02-05,0.014741254970431328,0.005,HOLD,1900,False,1,0.0,0.0,0.96798918,0.96998,-0.001958986695778986,
2026-02-06,0.014741254970431328,0.005,HOLD,1900,True,2,0.0,0.0,0.95297918,0.95497,-0.015506371672460273,
2026-02-09,0.00991608202457428,0.005,HOLD,1900,True,3,0.0,0.0,0.88723918,0.88923,-0.06898366866734695,
2026-02-10,0.009499861858785152,0.005,SELL,0,True,0,273258.0,0.00273258,0.9107266,0.91545,0.02647247836823441,-0.08950604231506447
2026-02-11,0.008954535238444805,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-02-12,0.008188563399016857,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-02-13,0.007958962582051754,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-02-23,0.007350138854235411,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-02-24,0.004654050339013338,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-02-25,0.002898820908740163,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-02-26,0.0028544364031404257,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-02-27,0.00258637429215014,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-03-02,0.004919215105473995,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-03-03,0.004792988765984774,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-03-04,0.004792988765984774,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-03-05,0.004792988765984774,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-03-06,0.004792988765984774,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-03-09,0.007977146655321121,0.005,HOLD,0,False,0,0.0,0.0,0.9107266,0.91545,0.0,
2026-03-10,0.011405776254832745,0.005,BUY,2200,False,0,179652.0,0.00179652,0.91751008,0.92403,0.007448426344415449,
2026-03-11,0.01061282679438591,0.005,HOLD,2200,False,1,0.0,0.0,0.89683008,0.90335,-0.02253926191197808,
2026-03-12,0.01061282679438591,0.005,HOLD,2200,True,2,0.0,0.0,0.89463008,0.90115,-0.002453084535255501,
2026-03-13,0.01061282679438591,0.005,HOLD,2200,True,3,0.0,0.0,0.88715008,0.89367,-0.00836099765391296,
2026-03-16,0.007507847622036934,0.005,SELL,0,True,0,263868.0,0.00263868,0.8875914,0.89675,0.0004974581076517826,-0.02570416355630644
2026-03-17,0.01061282679438591,0.005,BUY,2100,False,0,170646.0,0.00170646,0.89008494,0.90095,0.0028093332134584426,
2026-03-18,0.01061282679438591,0.005,HOLD,2100,False,1,0.0,0.0,0.87643494,0.8873,-0.015335615048154838,
2026-03-19,0.011665870435535908,0.005,HOLD,2100,True,2,0.0,0.0,0.85774494,0.86861,-0.021325028415685954,
2026-03-20,0.010872920975089073,0.005,HOLD,2100,True,3,0.0,0.0,0.83086494,0.84173,-0.03133798725761061,
2026-03-23,0.010501944459974766,0.005,SELL,0,True,0,243495.0,0.00243495,0.84186999,0.85517,0.013245293513046708,-0.053479307690304845
2026-03-24,0.00971145462244749,0.005,HOLD,0,False,0,0.0,0.0,0.84186999,0.85517,0.0,
2026-03-25,0.01061282679438591,0.005,BUY,2100,False,0,164010.0,0.0016401,0.82762989,0.84257,-0.016914844535555917,
2026-03-26,0.00841207429766655,0.005,HOLD,2100,False,1,0.0,0.0,0.84736989,0.86231,0.023851241042055715,
2026-03-27,0.006655089557170868,0.005,HOLD,2100,True,2,0.0,0.0,0.83917989,0.85412,-0.00966520063628884,
2026-03-30,-0.000229494966333732,0.005,HOLD,2100,True,3,0.0,0.0,0.83812989,0.85307,-0.0012512215944545657,
2026-03-31,0.0064498730935156345,0.005,SELL,0,True,0,250677.0,0.00250677,0.85326312,0.87071,0.018055948344712913,0.013865482862699697
2026-04-01,0.006793531123548746,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-02,0.0033649029210209846,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-03,0.006793531123548746,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-06,0.0036049894988536835,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-07,0.00017636152915656567,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-08,0.006730550434440374,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-09,0.003301922930404544,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-10,0.007079928182065487,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-13,0.0005463221459649503,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-14,0.0005463221459649503,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-15,-0.0004976525669917464,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-16,-0.0004098863573744893,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-17,0.0030208632815629244,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-20,9.812122152652591e-05,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-21,-0.0004976525669917464,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-22,-0.0004976525669917464,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-23,-0.00028859067242592573,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-24,-0.0004976525669917464,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-28,-0.0004976525669917464,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-04-29,-0.0004976525669917464,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-04,-0.0004976525669917464,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-05,-0.0004976525669917464,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-06,-0.0004976525669917464,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-07,-0.0004976525669917464,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-08,-0.0008102953433990479,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-11,-0.0007577466312795877,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-12,-0.0007577466312795877,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-13,-0.0013759736903011799,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-14,-0.0011669117957353592,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-15,-0.0009053009562194347,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-18,-0.0030060429126024246,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-19,-0.0009053009562194347,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-20,-0.0009053009562194347,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-21,-0.0009053009562194347,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-22,-0.0009053009562194347,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-25,-0.0009053009562194347,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-26,-0.0011143628507852554,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-27,-0.0009053009562194347,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-28,-0.0004833535640500486,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-05-29,-0.0011143628507852554,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-01,-0.0011143628507852554,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-02,-0.0011143628507852554,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-03,-0.0006924154586158693,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-04,0.0005017348448745906,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-05,0.0002529027115087956,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-08,-0.0011143628507852554,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-09,4.223910582368262e-05,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-10,-0.0002483032876625657,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-11,-0.0002483032876625657,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-12,-0.0008542689029127359,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
2026-06-15,-0.0008542689029127359,0.005,HOLD,0,False,0,0.0,0.0,0.85326312,0.87071,0.0,
