item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
"Tiền mặt, vàng bạc, đá quý",Cash and precious metals,cash_and_precious_metals,12509837000000.0,12065997000000.0,13075066000000.0,10523745000000.0
Tài sản cố định,Fixed assets,fixed_assets,12790867000000.0,12961150000000.0,13123069000000.0,12010249000000.0
Tài sản cố định hữu hình,Tangible fixed assets,tangible_fixed_assets,7242138000000.0,7373844000000.0,7540809000000.0,6844000000000.0
Nguyên giá TSCĐ hữu hình,Cost,cost,17979616000000.0,17915468000000.0,17858282000000.0,17045564000000.0
Hao mòn TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-10737478000000.0,-10541624000000.0,-10317473000000.0,-10201564000000.0
Tài sản cố định thuê tài chính,Finance leased assets,finance_leased_assets,0.0,0.0,0.0,0.0
Nguyên giá TSCĐ thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Hao mòn TSCĐ thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
Tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,5548729000000.0,5587306000000.0,5582260000000.0,5166249000000.0
Nguyên giá TSCĐ vô hình,Cost,cost,8824302000000.0,8774292000000.0,8684772000000.0,8182041000000.0
Hao mòn TSCĐ vô hình,Accumulated amortization,accumulated_amortization,-3275573000000.0,-3186986000000.0,-3102512000000.0,-3015792000000.0
Bất động sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0,0.0
Nguyên giá bất động sản đầu tư,Historical cost,historical_cost,0.0,0.0,0.0,0.0
Hao mòn bất động sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
"Góp vốn, đầu tư dài hạn",Investment in other entities and long term investments,investment_in_other_entities_and_long_term_investments,4681899000000.0,4663231000000.0,4373644000000.0,4049117000000.0
Đầu tư vào công ty con,Investment in subsidiaries,investment_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào công ty liên doanh,Investment in associate companies,investment_in_associate_companies,4603155000000.0,4584370000000.0,4294797000000.0,3969661000000.0
Đầu tư dài hạn khác,Other Long-term investments,other_long_term_investments,182941000000.0,182996000000.0,183050000000.0,183050000000.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,-104197000000.0,-104135000000.0,-104203000000.0,-103594000000.0
TỔNG TÀI SẢN,TOTAL ASSETS,total_assets,3440843537000000.0,3388221517000000.0,3330825720000000.0,3071970196000000.0
TỔNG NỢ PHẢI TRẢ,TOTAL LIABILITIES,total_liabilities,3242065527000000.0,3197598357000000.0,3157272818000000.0,2903983495000000.0
VỐN CHỦ SỞ HỮU,OWNER'S EQUITY,owners_equity,198778010000000.0,190623160000000.0,173552902000000.0,167986701000000.0
Vốn điều lệ,Charter capital,charter_capital,72800652000000.0,72800652000000.0,70213619000000.0,70213619000000.0
Thặng dư vốn cổ phần,Capital surplus,capital_surplus,26309607000000.0,26309607000000.0,18875728000000.0,18875728000000.0
Vốn khác,Owner's other capital,owners_other_capital,1127596000000.0,1000084000000.0,1000084000000.0,1000084000000.0
Cổ phiếu Quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản,Difference upon assets revaluation,difference_upon_assets_revaluation,0.0,0.0,0.0,0.0
Chênh lệch tỷ giá hối đoái,Foreign currency difference reserve,foreign_currency_difference_reserve,-455692000000.0,-419960000000.0,-597397000000.0,-234953000000.0
Lợi nhuận chưa phân phối,Retained Earnings,retained_earnings,59497575000000.0,51588024000000.0,44786285000000.0,50816786000000.0
Lợi ích của cổ đông thiểu số (trước 2015),Minority interest (Before 2015),minority_interest_before_2015,0.0,0.0,0.0,0.0
NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,LIABILITIES AND SHAREHOLDER'S EQUITY,liabilities_and_shareholders_equity,3440843537000000.0,3388221517000000.0,3330825720000000.0,3071970196000000.0
Tiền gửi tại Ngân hàng nhà nước Việt Nam,Balances with the SBV,balances_with_the_sbv,117294507000000.0,64702210000000.0,123629833000000.0,48303371000000.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Placements with and loans to other credit institutions,placements_with_and_loans_to_other_credit_institutions,458250460000000.0,528622820000000.0,457353489000000.0,453483597000000.0
Chứng khoán kinh doanh,"Trading securities, net",trading_securities_net,24701404000000.0,31703495000000.0,30152464000000.0,24553325000000.0
Chứng khoán kinh doanh,Trading securities,trading_securities,24758606000000.0,31745944000000.0,30183811000000.0,24608059000000.0
Dự phòng giảm giá chứng khoán kinh doanh,Less: Provision for diminution in value of trading securities,less_provision_for_diminution_in_value_of_trading_securities,-57202000000.0,-42449000000.0,-31347000000.0,-54734000000.0
Các công cụ tài chính phái sinh và các tài sản tài chính khác,Derivatives and other financial assets,derivatives_and_other_financial_assets,755982000000.0,172522000000.0,0.0,0.0
Cho vay khách hàng,"Loans and advances to customers, net",loans_and_advances_to_customers_net,2467112319000000.0,2392549378000000.0,2338009521000000.0,2197470752000000.0
Cho vay khách hàng,Loans and advances to customers,loans_and_advances_to_customers,2501807043000000.0,2429610156000000.0,2372955074000000.0,2237119279000000.0
Dự phòng rủi ro cho vay khách hàng,Less: Provision for losses on loans and advances to customers,less_provision_for_losses_on_loans_and_advances_to_customers,-34694724000000.0,-37060778000000.0,-34945553000000.0,-39648527000000.0
Chứng khoán đầu tư,Investment securities,investment_securities,274907315000000.0,277863951000000.0,285463101000000.0,261755305000000.0
Chứng khoán đầu tư sẵn sàng để bán,Available-for-sales securities,available_for_sales_securities,174011299000000.0,172150748000000.0,171882436000000.0,144811922000000.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Held-to-maturity securities,held_to_maturity_securities,100956425000000.0,105773897000000.0,113629492000000.0,118044532000000.0
Dự phòng giảm giá chứng khoán đầu tư,Provision for diminution in value of investment securities,provision_for_diminution_in_value_of_investment_securities,-60409000000.0,-60694000000.0,-48827000000.0,-1101149000000.0
