year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2698946,RATIO_TTM,BMP,2018,81860938,4469607214800.0,0.0,9.763394891,1.762700291,1.2104664528,12.4476884508,5.6475736089,1.1078816793,4.8945337944,7.3857349992,0.0,0.0226983133,0.0915170967,0.1872013804,0.1619161108,35.0230834952,64.7883061834,18.0997899985,0.2493225559,0.173208791,0.1531685848,0.1239800772,1.3059849166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639567713848.0,756089591717.0,0.2466312528,143.4743432906,4.8301209606,0.0915170967,0.0,,,,,,,0.0,
2018,2,2713369,RATIO_TTM,BMP,2018,81860938,4625142997000.0,0.0,9.8727033764,1.9482636807,1.2114047256,19.1438220711,5.4776762493,0.8900314534,3.0890191007,4.5630623899,0.0,0.0240798734,0.1539245367,0.1908143765,0.16614457,34.6174137055,63.0156013825,17.2381647912,0.2400910227,0.1730608792,0.1521668719,0.1227024331,1.3540446246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660746401680.0,795424547794.0,0.2717837871,136.6677575507,4.5380181046,0.1539245367,0.0,,,,,,,0.0,
2018,3,2715542,RATIO_TTM,BMP,2018,81860938,3945697211600.0,0.031120332,8.5062980925,1.5850099544,0.9975686789,16.5886293408,4.5793632375,0.9905697147,3.7568484724,5.9392513234,0.0,0.0229234238,0.1172560886,0.1882769085,0.1663516323,34.4943069999,64.4257446228,15.0102372197,0.234233383,0.1662101907,0.145120283,0.1172741265,1.4184853663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657413469386.0,810946745440.0,0.2581687746,131.3155331077,4.3316488454,0.1172560886,0.0,,,,,,,0.0,
2018,4,2716999,RATIO_TTM,BMP,2018,81860938,3880208461200.0,0.0316455696,9.0741721644,1.5814009632,0.9899406571,31.5649153028,4.6724166094,1.14993037,3.4565977198,5.0389294886,0.0,0.0238930274,0.1461274832,0.1744375018,0.1504491835,36.9047357686,57.0116439582,18.1386450211,0.2224814588,0.1552083035,0.1351963458,0.1090943217,1.3790743748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608360276908.0,780780325937.0,0.242154868,126.7828745577,4.3749261823,0.1461274832,0.0,,,,,,,0.0,
2018,5,12237540,RATIO_YEAR,BMP,2018,81860938,3880208461200.0,0.0757575758,10.9946061728,1.7615605666,1.1027187067,35.160918312,5.0828377323,1.14993037,2.8217501683,5.0389294886,0.0,0.0238930274,0.1461274832,0.1744375018,0.1504491835,36.9047357686,57.0116439582,18.1386450211,0.2224814588,0.1552083035,0.1351963458,0.1090943217,1.3790743748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608360276908.0,780780325937.0,0.242154868,126.7828745577,4.3749261823,0.1461274832,0.0,,,,,,,0.0,12237540.0
2019,1,2723453,RATIO_TTM,BMP,2019,81860938,4117605181400.0,0.0,9.5185655632,1.6177869904,0.9746615042,6.974986226,4.6095125442,1.7972981252,5.2288976379,7.2021060602,0.0,0.0224795679,0.1000092143,0.1754435259,0.1554528065,36.6061994179,61.8466539112,13.2660032464,0.2158561461,0.1491694165,0.1276230662,0.1023958387,1.5181555073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630188798470.0,806447175806.0,0.2421545747,126.4103822657,4.8501362563,0.1000092143,0.0,,,,,,,0.0,
2019,2,2726371,RATIO_TTM,BMP,2019,81860938,4346815807800.0,0.0,10.5726893173,1.7973639445,1.0114317733,7.872774024,5.1713557297,1.1207378834,3.3775371496,4.8522815191,0.0,0.0236124116,0.1457322419,0.1659956394,0.1473276704,36.6422807362,60.4823399352,13.0580516599,0.2177902764,0.1387202753,0.1193606984,0.0956645696,1.5400442504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596176135145.0,775217020782.0,0.2408262547,124.2215294033,5.4743836158,0.1457322419,0.0,,,,,,,0.0,
2019,3,2730574,RATIO_TTM,BMP,2019,81860938,3716486585200.0,0.0440528634,8.9394471336,1.4640803264,0.8547154957,5.9119912785,4.696678373,0.9371914777,3.6243069707,5.414210054,0.0,0.0222203747,0.118504522,0.1670272998,0.1482075685,35.9939854764,57.4501983784,12.3424897893,0.2214388158,0.1371015845,0.1196763854,0.095611673,1.5500991036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596147141655.0,743284557481.0,0.2297424607,117.0609060518,5.9535768222,0.118504522,0.0,,,,,,,0.0,
2019,4,2734130,RATIO_TTM,BMP,2019,81860938,3781975335600.0,0.0865800866,8.9457824883,1.5316083451,0.8719574323,3.9241717423,4.5102908006,0.8768548293,2.9309421083,4.2004002058,0.0,0.0225854983,0.1541433204,0.1717537211,0.1493318269,33.1021683354,55.7793913737,13.1898775703,0.2277905134,0.1385522471,0.1220281427,0.0974713429,1.5320587822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600948121869.0,788520610693.0,0.2379942061,109.0843450544,5.7935546573,0.1541433204,0.0,,,,,,,0.0,
2019,5,12244961,RATIO_YEAR,BMP,2019,81860938,3781975335600.0,0.0946969697,11.2348916731,1.7504095373,0.9965227798,4.4847677054,5.1546124705,0.8768548293,1.8758051679,4.2004002058,0.0,0.0225854983,0.1541433204,0.1717537211,0.1493318269,33.1021683354,55.7793913737,13.1898775703,0.2277905134,0.1385522471,0.1220281427,0.0974713429,1.5320587822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600948121869.0,788520610693.0,0.2379942061,109.0843450544,5.7935546573,0.1541433204,0.0,,,,,,,0.0,12244961.0
