item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
LỢI NHUẬN TRƯỚC THUẾ,NET PROFIT/(LOSS) BEFORE TAX,net_profit_loss_before_tax,145755154902.0,117146949642.0,119843069074.0,269150710349.0
Khấu hao tài sản cố định,Depreciation and amortization,depreciation_and_amortization,2509842745.0,2046043269.0,2198035225.0,2291061142.0
Các khoản dự phòng,Provisions,provisions,-442525600.0,53978400.0,-98480800.0,-254176000.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,0.0,0.0,0.0,0.0
"Lãi, lỗ hoạt động đầu tư",Profit/(loss) from investing activities,profit_loss_from_investing_activities,-2154064223.0,-760847910.0,-2152877756.0,-2337553532.0
Chi phí lãi vay,Interest expense,interest_expense,215247696635.0,189160821019.0,131099121462.0,104891591688.0
Dự thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,-40574887006.0,-216266277494.0,-57017575205.0,-62261777941.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Operating profit/(loss) before changes in WC,operating_profit_loss_before_changes_in_wc,-874101584203.0,-2163757866148.0,79097717712.0,-1662458301431.0
"(-) Tăng, (+) giảm các khoản phải thu khác",Increase/(decrease) in receivables,increase_decrease_in_receivables,2420427637.0,-3072652956.0,1945375955.0,-1689799042.0
Tăng/giảm hàng tồn kho (Trước năm 2016),Increase/(decrease) in inventories (Before 2016),increase_decrease_in_inventories_before_2016,0.0,0.0,0.0,0.0
"(+) Tăng, (-) giảm các khoản phải trả, phải nộp khác",(Increase)/decrease in payables,increase_decrease_in_payables,-464457563.0,-236414651.0,-528596120563.0,-571833882001.0
Tăng/giảm chi phí trả trước,Increase/(decrease) in prepaid expenses,increase_decrease_in_prepaid_expenses,-3137234723.0,9633613767.0,-4816225222.0,3895677920.0
Tiền lãi vay đã trả,Interest paid,interest_paid,-198652900488.0,-193968260202.0,-124064606364.0,-99383520677.0
Thuế TNDN CTCK đã nộp,Business Income Tax paid,business_income_tax_paid,-25362324636.0,-34322174500.0,-42057858605.0,-28117460392.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,other_receipts_from_operating_activities,-500000000.0,1400000000.0,-200000000.0,0.0
Tiền chi khác cho hoạt động kinh doanh,Other payments on operating activitie,other_payments_on_operating_activitie,-273406729.0,0.0,-876000000.0,0.0
Lưu chuyển thuần từ hoạt động kinh doanh,Net cash inflows/(outflows) from operating activities,net_cash_inflows_outflows_from_operating_activities,-541583718804.0,-2111321344449.0,303043596050.0,-1389092457215.0
"Tiền chi để mua sắm, xây dựng TSCĐ, BĐSĐT và các tài sản dài hạn khác",Purchases of fixed assets and other long term assets,purchases_of_fixed_assets_and_other_long_term_assets,-10630248600.0,0.0,-950667879.0,-4695012231.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ, BĐSĐT và các tài sản dài hạn khác",Proceeds from disposal of fixed assets,proceeds_from_disposal_of_fixed_assets,0.0,18362727.0,0.0,0.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác (Trước năm 2016)","Loans granted, purchases of debt instruments (Before 2016)",loans_granted_purchases_of_debt_instruments_before_2016,0.0,0.0,0.0,0.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Trước năm 2016)","Collection of loans, proceeds from sales of debts instruments (Before 2016)",collection_of_loans_proceeds_from_sales_of_debts_instruments_before_2016,0.0,0.0,0.0,0.0
"Tiền chi đầu tư góp vốn vào công ty con, công ty liên doanh, liên kết và đầu tư khác",Investments in other entities,investments_in_other_entities,0.0,0.0,0.0,0.0
"Tiền thu hồi các khoản đầu tư góp vốn vào công ty con, công ty liên doanh, liên kết và đầu tư khác",Proceeds from divestment in other entities,proceeds_from_divestment_in_other_entities,0.0,0.0,0.0,0.0
Tiền thu về cổ tức lợi nhuận được chia từ các khoản đầu tư tài chính dài hạn,Dividends and interest received,dividends_and_interest_received,2154064223.0,742485183.0,2204800898.0,2337553532.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash inflows/(outflows) from investing activities,net_cash_inflows_outflows_from_investing_activities,-8476184377.0,760847910.0,1254133019.0,-2357458699.0
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",Proceeds from issue of shares,proceeds_from_issue_of_shares,0.0,0.0,0.0,0.0
"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",Payments for share returns and repurchases,payments_for_share_returns_and_repurchases,0.0,0.0,0.0,0.0
Tiền vay gốc,Proceeds from borrowings,proceeds_from_borrowings,3184770000000.0,9442267188713.0,4179110000000.0,4970148000000.0
Tiền chi trả nợ gốc vay,Repayment of borrowings,repayment_of_borrowings,-2569500000000.0,-7846260000000.0,-4178690000000.0,-3212697564663.0
Tiền chi trả nợ thuê tài chính,Finance lease principal payments,finance_lease_principal_payments,0.0,0.0,0.0,0.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",Dividends paid,dividends_paid,0.0,0.0,0.0,0.0
Lưu chuyển thuần từ hoạt động tài chính,Net cash inflows/(outflows) from financing activities,net_cash_inflows_outflows_from_financing_activities,615270000000.0,1596007188713.0,420000000.0,1757450435337.0
LƯU CHUYỂN TIỀN THUẦN TRONG KỲ,NET CASH INFLOWS/(OUTFLOWS),net_cash_inflows_outflows,65210096819.0,-514553307826.0,304717729069.0,366000519423.0
TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN ĐẦU KỲ,CASH AND CASH EQUIVALENTS AT THE BEGINNING OF PERIOD,cash_and_cash_equivalents_at_the_beginning_of_period,549552617227.0,1064105925053.0,759388195984.0,393387676561.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Effect of foreign exchange differences,effect_of_foreign_exchange_differences,0.0,0.0,0.0,0.0
