year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,4,2716756,RATIO_TTM,BSRC,2018,3100499616,36136323024480.0,0.0,10.0213719628,1.1558517211,0.3227833462,6.690614882,5.9808200004,0.4398409193,1.1304606803,1.8347596455,0.2331403227,0.322881652,0.6958497726,0.109710397,0.061918974,31.7834882687,30.080258419,23.6536755356,0.0450033415,0.0352804381,0.033820457,0.031771538,1.9223825437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3949724551947.0,6598063695777.0,0.0951539535,85.8475988109,3.9411127372,0.6958497726,0.0,,,,,,,0.0,
2018,5,12238293,RATIO_YEAR,BSRC,2018,3100499616,36136323024480.0,0.0,17.1207348271,1.9393119181,0.5415725727,11.2256519963,9.8512857859,0.4398409193,1.1241953612,1.8347596455,0.2331403227,0.322881652,0.6958497726,0.109710397,0.061918974,31.7834882687,30.080258419,23.6536755356,0.0450033415,0.0352804381,0.033820457,0.031771538,1.9223825437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3949724551947.0,6598063695777.0,0.0951539535,85.8475988109,3.9411127372,0.6958497726,0.0,,,,,,,0.0,12238293.0
2019,2,2726266,RATIO_TTM,BSRC,2019,3100499616,29460947351232.0,0.0,32.0893495533,0.9228337422,0.2754081067,11.7661478325,8.9311004508,0.4481335695,1.1866191066,1.9027439635,0.1961342513,0.304588408,0.6491828954,0.0287742251,0.0169516168,30.3608083839,32.1972901997,25.0710403657,0.0204689231,0.0101793691,0.0086530345,0.0080618545,1.9751283448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088907149127.0,3744043923547.0,0.02607209,88.1479821934,3.970371541,0.6491828954,0.0,,,,,,,0.0,
2019,3,2730875,RATIO_TTM,BSRC,2019,3100499616,22804174675680.0,0.0,72.6292680259,0.7021127128,0.2210471741,4.3907131191,8.3182398555,0.6811863012,1.2535793892,2.0077243896,0.1759610708,0.2555269005,0.5986615157,0.0098231404,0.0060091086,29.7316114365,31.7483960409,25.0025000154,0.0116987525,0.0007342456,0.0029032789,0.0025851818,1.9744073284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75747922171.0,2740729369951.0,0.0018528946,86.7687153455,3.9149495079,0.5986615157,0.0,,,,,,,0.0,
2019,4,2735242,RATIO_TTM,BSRC,2019,3100499616,20016825520896.0,0.0,6.8696157317,0.5890315845,0.1946712214,4.0543538023,3.6126876262,0.6466512371,1.4230289746,2.0822874402,0.1524757373,0.1849588139,0.5735193257,0.0890652406,0.0545681718,32.8277407041,33.2648591397,24.1259205248,0.0386366112,0.0279042703,0.0297051427,0.0279409897,1.9256178112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2869221788579.0,5539005082664.0,0.0711046286,90.4933852542,3.9431227347,0.5735193257,0.0,,,,,,,0.0,
2019,5,12245401,RATIO_YEAR,BSRC,2019,3100499616,20016825520896.0,0.0,22.7832314754,1.7841562321,0.5896523754,12.2804969957,10.5752538856,0.6466512371,1.4187264954,2.0822874402,0.1524757373,0.1849588139,0.5735193257,0.0890652406,0.0545681718,32.8277407041,33.2648591397,24.1259205248,0.0386366112,0.0279042703,0.0297051427,0.0279409897,1.9256178112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2869221788579.0,5539005082664.0,0.0711046286,90.4933852542,3.9431227347,0.5735193257,0.0,,,,,,,0.0,12245401.0
2020,1,2748325,RATIO_TTM,BSRC,2020,3100499616,21629085321216.0,0.0,-222.6830355298,0.6833334155,0.2212996075,201.8723013484,8.8097654576,0.7510424085,1.28414634,2.2239526262,0.151073958,0.2651512456,0.5021961071,-0.0029835994,-0.0018866721,28.3207404348,35.1607613137,22.4100499322,0.0102911166,-0.0008719069,-7.526e-06,-0.0014771783,1.898466425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85217273083.0,2587572146837.0,-0.002124432,86.047020835,3.8894691209,0.5021961071,0.0,,,,,,,0.0,
2020,2,2751822,RATIO_TTM,BSRC,2020,3100499616,22463119717920.0,0.0,-10.5869817318,0.7583855276,0.2686040404,10.3880011504,63.6636503416,0.6491190296,1.1972257925,1.764513488,0.139232676,0.3320706451,0.6216234686,-0.0663720673,-0.0421739125,29.9580859255,37.6558216264,20.8698195271,-0.0157016031,-0.02745751,-0.0242141328,-0.0258344713,1.6622774571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296247418060.0,376911636132.0,-0.058104758,89.1759275802,3.4141192486,0.6216234686,0.0,,,,,,,0.0,
2020,3,2753869,RATIO_TTM,BSRC,2020,3100499616,37339316875488.0,0.0,-14.6632141672,1.2533046158,0.535602212,22.0644778318,-2266.8335358526,1.0711322121,1.2947615548,2.1722467104,0.1221671581,0.2185602624,0.4367370495,-0.0813951604,-0.0530389813,28.3090988894,41.5737476416,17.1385831571,-0.0254292116,-0.0380888314,-0.035641761,-0.0371093062,1.4520514009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2655349274093.0,-15601959230.0,-0.0730495119,88.6800230391,2.9204385399,0.4367370495,0.0,,,,,,,0.0,
2020,4,2757690,RATIO_TTM,BSRC,2020,3100499616,46888855692768.0,0.0,-16.6340872433,1.5108162451,0.8089988533,110.3478095004,-90.9235129202,0.6268583026,1.0589585873,1.4699228201,0.0972852682,0.4182067954,0.7993163908,-0.0865762349,-0.0514955999,54.755844909,51.3804659745,42.6741615347,-0.038386147,-0.0525541952,-0.0492144774,-0.0493128237,1.0588176963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3045994520518.0,-494004045623.0,-0.0691392467,149.9327515535,2.4546961578,0.7993163908,0.0,,,,,,,0.0,
