item,item_en,item_id,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,26820125963784.0,29237942444059.0,23070461526118.0,27843441970673.0,23012446889456.0,28889737207217.0,17991039747422.0,13735896960230.0,9097968959922.0,17134510012534.0,21048655068878.0,27859886072961.0,17683055031137.0,34522481246651.0,34783091199100.0,52391131816173.0,39570169484985.0,40429748620195.0,34065891416777.0,33669033433011.0,37755693648206.0,41932747445582.0,30689342319179.0,24423588755537.0,31945856725324.0,35968276079519.0,31894592097760.0,36771954932170.0,35290234805794.0,37625367271578.0,45919538260329.0,58716465944268.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,-1260000.0,-2000000.0,0.0,-109000.0,0.0,0.0,0.0,0.0,0.0,0.0,-3821670051.0,-30865767646.0,0.0,0.0,-3109915557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,26820125963784.0,29237942444059.0,23070460266118.0,27843439970673.0,23012446889456.0,28889737098217.0,17991039747422.0,13735896960230.0,9097968959922.0,17134510012534.0,21048655068878.0,27859886072961.0,17679233361086.0,34491615479005.0,34783091199100.0,52391131816173.0,39567059569428.0,40429748620195.0,34065891416777.0,33669033433011.0,37755693648206.0,41932747445582.0,30689342319179.0,24423588755537.0,31945856725324.0,35968276079519.0,31894592097760.0,36771954932170.0,35290234805794.0,37625367271578.0,45919538260329.0,58716465944268.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-25096167684364.0,-30068987336292.0,-22214227244999.0,-27402985375238.0,-22271196124650.0,-27074791749012.0,-19981871052542.0,-15614373032136.0,-8816395335400.0,-15762995537833.0,-19008418257187.0,-25985682623404.0,-17035690835799.0,-31316764780071.0,-32171267741552.0,-41493443324904.0,-38913015728948.0,-38702997674464.0,-31994381792095.0,-32491365008361.0,-33925168600833.0,-39404042832083.0,-29433738639800.0,-23925431761250.0,-33415461176332.0,-35761362572351.0,-31512257003126.0,-35755595753209.0,-34281707958038.0,-33918669817033.0,-36412959508264.0,-50110213662875.0
Lợi nhuận gộp,Gross Profit,gross_profit,1723958279420.0,-831044892233.0,856233021119.0,440454595435.0,741250764806.0,1814945349205.0,-1990831305120.0,-1878476071906.0,281573624522.0,1371514474701.0,2040236811691.0,1874203449557.0,643542525287.0,3174850698934.0,2611823457548.0,10897688491269.0,654043840480.0,1726750945731.0,2071509624682.0,1177668424650.0,3830525047373.0,2528704613499.0,1255603679379.0,498156994287.0,-1469604451008.0,206913507168.0,382335094634.0,1016359178961.0,1008526847756.0,3706697454545.0,9506578752065.0,8606252281393.0
Doanh thu hoạt động tài chính,Financial income,financial_income,137605503140.0,205436718906.0,100806324714.0,109165440241.0,164818827274.0,158147041880.0,116767611355.0,244458923074.0,133101872301.0,171897360672.0,199744393353.0,285649911428.0,290582996105.0,240899309956.0,356119368929.0,314072740123.0,345497425923.0,648187699510.0,809925714997.0,468665046623.0,419867846446.0,959360620094.0,520333176015.0,745783066229.0,553741907200.0,410499457531.0,464519353041.0,445323795272.0,552907003729.0,454599674839.0,529221264918.0,583159473988.0
Chi phí tài chính,Financial expenses,financial_expenses,-384042479957.0,-135127006657.0,-104578462766.0,-124453157046.0,-44761421794.0,-103786063632.0,-244412270597.0,-75705375607.0,-93971658677.0,-84921272341.0,-132166208307.0,-156237348452.0,-147646450190.0,-183208813851.0,-189425865921.0,-254558696791.0,-237588865831.0,-238852082464.0,-638914578983.0,154683857125.0,-318860173788.0,-351076303392.0,-256078265390.0,-138040456003.0,-125430021099.0,-280366999976.0,-102819368758.0,-121829206631.0,-163753501370.0,-92722022225.0,-250612691281.0,-280498044439.0
Chi phí lãi vay,Interest expenses,interest_expenses,-113899273655.0,-104947531693.0,-99053406600.0,-93255580452.0,-86351521431.0,-80864981770.0,-80738196287.0,-87302180256.0,-82084560127.0,-75876681833.0,-89766445956.0,-113689898315.0,-103426256989.0,-99928770097.0,-85801279592.0,-75037300893.0,-42634825046.0,-49739455302.0,-112512851933.0,-44107520637.0,-46300034063.0,-84734352983.0,-57327128549.0,-50277169549.0,-70403725514.0,-82785402843.0,-65276351184.0,-60629761937.0,-73463292384.0,-74272918788.0,-84053146935.0,-91664323076.0
Chi phí bán hàng,Selling expenses,selling_expenses,-178602706084.0,-196516546403.0,-174992934253.0,-192200069820.0,-171696283924.0,-176219382443.0,-164323981412.0,-150442157609.0,-94989142286.0,-141812387913.0,-193843857653.0,-155763982860.0,-207630307140.0,-223619935161.0,-248873204725.0,-191900215623.0,-156502065623.0,-319760666234.0,-325325728724.0,-176117290426.0,-176396640176.0,-356282487093.0,-147940996871.0,-125273609397.0,-164343838625.0,-214508107802.0,-156767119055.0,-188956940979.0,-195072820474.0,-283576358372.0,-277470970446.0,-226930443265.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-52558515777.0,-117861427300.0,-59976994352.0,-127984660625.0,-89916650279.0,-102913263482.0,-65782385424.0,-61842050472.0,-66048507666.0,-75070555102.0,-67340096354.0,-99936594135.0,-84272413263.0,-154597175817.0,-87548975565.0,-96089163167.0,-94844374378.0,-225101334081.0,-88510953990.0,-158042223925.0,-136611904983.0,-242747839673.0,-111190934713.0,-144808128034.0,-128663064192.0,-176714015180.0,-126044194829.0,-190010930821.0,-145723355513.0,-289630373295.0,-272277081450.0,-233283535921.0
