item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu hoạt động tài chính,Income from financial activities,income_from_financial_activities,2850457413635.0,2671147481360.0,1731458217486.0,1781607480695.0,1790337351874.0,1966624235976.0,1988533501064.0,2127739745191.0,2087563964106.0,2817598398733.0,2291491559094.0,2299064465083.0,2203837906712.0,2360452787017.0,2036662846475.0,2308649729771.0,2351503416186.0,2435901803816.0,2473697567053.0,2661697661117.0,3124947998167.0,3612279381928.0,3513790934942.0,3295561442982.0,3258485105958.0,3116372526598.0,3105166130634.0,3209303332534.0,3231774542958.0,3406655634725.0,3585078998859.0,3791151964886.0,3990462560963.0,4439788534356.0
Chi phí hoạt động tài chính,Financial expenses,financial_expenses,-407269812994.0,-470849806143.0,-323004870478.0,-495673376679.0,-445488110736.0,-587035305063.0,-535614182139.0,-633255368660.0,-808767667451.0,-239683650408.0,-372369855511.0,-332862108656.0,-278049086652.0,-261786478174.0,-189458746536.0,-328765894443.0,-324595759020.0,-563893051225.0,-432433022412.0,-521175730685.0,-630740688975.0,-877391778137.0,-664919220777.0,-663716222100.0,-397249915948.0,-562542548882.0,-526399663630.0,-629539261479.0,-669175521896.0,-698468039390.0,-680720920700.0,-870926154323.0,-1032090983314.0,-1202171036966.0
Chi phí bán hàng,Selling expenses,selling_expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-613857036591.0,-538338010467.0,-534089020968.0,-586595577174.0,-631013614758.0,-602701340794.0,-490313416481.0,-596018525734.0,-456801637809.0,-483613455743.0,-145656508986.0,-318254974293.0,-251903847099.0,-367319670841.0,-409320319252.0,-510804669416.0,-542517984753.0,-356079374892.0,-265450351478.0,-379237326167.0,-719063793596.0
Chi phí quản lý doanh nghiệp,General and administrative expenses,general_and_administrative_expenses,-794731910574.0,-967445541831.0,-871590925014.0,-825007200359.0,-934942556127.0,-931764718013.0,-799444745224.0,-893845154284.0,-978340615350.0,-869724047313.0,-848443961226.0,-863756524132.0,-1149006141053.0,-965201980556.0,-1066874143825.0,-835928136222.0,-1225391000167.0,-947029471915.0,-1010246268112.0,-810291839266.0,-1162973178524.0,-1010301046680.0,-1063597979571.0,-1250500755505.0,-1346082764030.0,-1388900736660.0,-1428780746812.0,-1560836151613.0,-1817227824086.0,-1962485175332.0,-1858906018853.0,-1574507117578.0,-1915397585907.0,-2232009927712.0
"Phần lợi nhuận từ đầu tư vào công ty liên kết, liên doanh",Shares of the profit of associates and joint ventures,shares_of_the_profit_of_associates_and_joint_ventures,16117981945.0,18894129976.0,-20113182981.0,34280609235.0,19674273154.0,17764664121.0,12026466264.0,15359561121.0,21313398902.0,-994938302.0,14692167267.0,7959780674.0,3692266177.0,24500488398.0,27938072517.0,14495050307.0,5195911384.0,30887015071.0,21451458694.0,10638337904.0,20957973108.0,24980814042.0,20513516304.0,36843129133.0,20710028395.0,12317732918.0,25099443985.0,35957841680.0,22420822912.0,25782529285.0,29284526436.0,26608608608.0,29203284702.0,21244380193.0
Tổng lợi nhuận kế toán trước thuế,Profit before tax,profit_before_tax,540480264726.0,388908658696.0,134651664182.0,295940732812.0,521200773067.0,310467034973.0,423682329193.0,127683224768.0,186950208411.0,616922536783.0,554539245009.0,549635705345.0,592916377788.0,532183627311.0,579427611517.0,662670473201.0,625185203966.0,422714028519.0,505671854280.0,434868536186.0,657200063290.0,507100069960.0,547809167968.0,447565861396.0,741864806625.0,534481375377.0,687154006506.0,699671288788.0,847199226845.0,829522737469.0,951533710460.0,901080341465.0,1005994186985.0,1283361167338.0
Thuế thu nhập doanh nghiệp – hiện thời,Corporate income tax - current,corporate_income_tax_current,-77186660185.0,-63183937925.0,-32714831458.0,-63283769955.0,-105654682627.0,-53679774575.0,-64149317994.0,-26964854931.0,-57009404742.0,-68443025895.0,-69734012075.0,-72721017020.0,-95296108864.0,-68184103893.0,-106633285576.0,-109537638804.0,-125297305290.0,-80807465094.0,-93401938495.0,-83894642500.0,-111996868181.0,-85485020442.0,-86376081981.0,-76999864640.0,-123747118226.0,-92139062753.0,-129847526777.0,-118793503363.0,-161053294361.0,-146354562400.0,-164517835966.0,-158278797543.0,-191819153967.0,-236578595317.0
Thuế thu nhập doanh nghiệp – hoãn lại,Corporate income tax - deferred,corporate_income_tax_deferred,-18547118465.0,9640966285.0,-4883508705.0,4543787404.0,-2495601870.0,965773149.0,-2816514512.0,5378134883.0,-15302563276.0,-6669776771.0,-11497152575.0,-2364101185.0,1259195119.0,457688928.0,671198061.0,-1204211600.0,669523224.0,-1303411614.0,-2042016997.0,1227486083.0,997640169.0,-104108146.0,-1087869587.0,-853107257.0,-1217506083.0,-740338681.0,2348448706.0,-4866266789.0,608541096.0,854022119.0,-694714016.0,1596172873.0,1442613950.0,580150174.0
Chi phí thuế thu nhập doanh nghiệp trong năm,Corporate Income Tax For The Year,corporate_income_tax_for_the_year,-95733778650.0,-53542971640.0,-37598340163.0,-58739982551.0,-108150284497.0,-52714001426.0,-66965832506.0,-21586720048.0,-72311968018.0,-75112802666.0,-81231164650.0,-75085118205.0,-94036913745.0,-67726414965.0,-105962087515.0,-110741850404.0,-124627782066.0,-82110876708.0,-95443955492.0,-82667156417.0,-110999228012.0,-85589128588.0,-87463951568.0,-77852971897.0,-124964624309.0,-92879401434.0,-127499078071.0,-123659770152.0,-160444753265.0,-145500540281.0,-165212549982.0,-156682624670.0,-190376540017.0,-235998445143.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Profit after tax,profit_after_tax,444746486076.0,335365687056.0,97053324019.0,237200750261.0,413050488570.0,257753033547.0,356716496687.0,106096504720.0,114638240393.0,541809734117.0,473308080359.0,474550587140.0,498879464043.0,464457212346.0,473465524002.0,551928622797.0,500557421900.0,340603151811.0,410227898788.0,352201379769.0,546200835278.0,421510941372.0,460345216400.0,369712889499.0,616900182316.0,441601973943.0,559654928435.0,576011518636.0,686754473580.0,684022197188.0,786321160478.0,744397716795.0,815617646968.0,1047362722195.0
