date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2023-05-24,0.0026217573322355747,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-25,0.004831323865801096,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-26,0.0042731259018182755,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-29,0.004320223815739155,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-30,0.004320223815739155,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-05-31,0.0016188075533136725,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-01,0.0008820347720757127,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-02,0.0008820347720757127,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-05,0.001023425837047398,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-06,0.0023869231808930635,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-07,0.0029324775096029043,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-08,0.0009647744009271264,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-09,0.0019677244126796722,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-12,0.0007927014376036823,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-13,0.0019677244126796722,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-14,0.0019677244126796722,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-15,0.0019677244126796722,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-16,0.0019677244126796722,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-19,-0.0007073610322549939,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-20,0.0016395075945183635,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-21,0.0015741115203127265,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-22,0.0015741115203127265,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-06-23,0.0015741115203127265,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
