item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,684593144243.0,912160168082.0,626186550745.0,501688387689.0,578087339995.0,459900761550.0,449333719729.0,365354631216.0,490961037995.0,660957595711.0,1826188440637.0,2812101722323.0,968791345796.0,1026249618127.0,260598234336.0,660608171038.0,752216132942.0,1047539221903.0,2209161685297.0,1892773537068.0,776820626587.0,868899153560.0,761191914602.0,769870446844.0,903666792442.0,748321552082.0,732208153912.0,798299432242.0,721287742607.0,756871501402.0,740098660112.0,844955537736.0,859077794790.0,795507343898.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-4109846015.0,-4574333211.0,-4142649015.0,-4122377739.0,-5237361852.0,-5251621728.0,-5124954612.0,-17690067736.0,-18939309404.0,-5124940154.0,-5124940154.0,-381717250164.0,-5242931789.0,-25176154683.0,-1858161435.0,-16382266640.0,-40467688213.0,-52590556211.0,-25336536216.0,-35305128280.0,-28769786830.0,-25612278936.0,-29125302936.0,-37308646936.0,-25612278936.0,-49027062066.0,-25648642572.0,-54464990984.0,-25664376336.0,-25725661436.0,-25612278936.0,-25943523596.0,-25612278936.0,-43423952950.0
Doanh thu thuần,Net sales,net_sales,680483298228.0,907585834871.0,622043901730.0,497566009950.0,572849978143.0,454649139822.0,444208765117.0,347664563480.0,472021728591.0,655832655557.0,1821063500483.0,2430384472159.0,963548414007.0,1001073463444.0,258740072901.0,644225904398.0,711748444729.0,994948665692.0,2183825149081.0,1857468408788.0,748050839757.0,843286874624.0,732066611666.0,732561799908.0,878054513506.0,699294490016.0,706559511340.0,743834441258.0,695623366271.0,731145839966.0,714486381176.0,819012014140.0,833465515854.0,752083390948.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-514685660876.0,-696467388490.0,-404217017541.0,-324352170931.0,-403257077295.0,-313089422625.0,-306286820114.0,-222027066898.0,-288180891239.0,-393345143423.0,-1484088814467.0,-2066603927602.0,-649414382656.0,-641502973865.0,-189240683953.0,-585692895004.0,-452747195902.0,-542696407498.0,-1854610940189.0,-1553968814964.0,-472394654442.0,-641622185268.0,-466340874674.0,-323314511259.0,-406602007526.0,-296110301232.0,-287621955919.0,-373202069965.0,-270936337536.0,-311772996374.0,-366473200957.0,-349297601853.0,-385022856192.0,-287309686717.0
Lợi nhuận gộp,Gross Profit,gross_profit,165797637352.0,211118446381.0,217826884189.0,173213839019.0,169592900848.0,141559717197.0,137921945003.0,125637496582.0,183840837352.0,262487512134.0,336974686016.0,363780544557.0,314134031351.0,359570489579.0,69499388948.0,58533009394.0,259001248827.0,452252258194.0,329214208892.0,303499593824.0,275656185315.0,201664689356.0,265725736992.0,409247288649.0,471452505980.0,403184188784.0,418937555421.0,370632371293.0,424687028735.0,419372843592.0,348013180219.0,469714412287.0,448442659662.0,464773704231.0
Doanh thu hoạt động tài chính,Financial income,financial_income,140096034074.0,152704740407.0,154914773415.0,152379954995.0,134610076561.0,99148431893.0,781784105206.0,712423528265.0,575075939802.0,251619483406.0,289194276532.0,228810453965.0,188081268262.0,333515276941.0,373958611498.0,175829451013.0,915696410290.0,202468039877.0,177432519016.0,226374672881.0,217289837969.0,462514812963.0,270620945474.0,576017380304.0,532309602418.0,236609058454.0,179202972567.0,184765385380.0,170165679287.0,231991326970.0,181275237236.0,246234369207.0,90897905725.0,144907782575.0
Chi phí tài chính,Financial expenses,financial_expenses,-135231630012.0,-184790268393.0,-185550841337.0,-182907931123.0,-157550079518.0,-320477817235.0,-260456731158.0,-347921191674.0,-251761943081.0,-322463570745.0,-308318713971.0,-214657190142.0,-286313883512.0,-393549666845.0,-278034272414.0,-481136659030.0,-361777596292.0,-322080978136.0,-322910709589.0,-352178531586.0,-342451263655.0,-456016249794.0,-371770485124.0,-489852520090.0,-450842243809.0,-367347996961.0,-347349782104.0,-364542717959.0,-345197325058.0,-377188644841.0,-303084225005.0,-412787637025.0,-329384564835.0,-393342680822.0
Chi phí lãi vay,Interest expenses,interest_expenses,-135552843935.0,-175767946147.0,-183349180966.0,-176565458439.0,-156832597752.0,-200118826508.0,-182434868230.0,-183179506135.0,-228400999259.0,-214968152535.0,-255078504213.0,-161834247116.0,-261881812774.0,-294690232038.0,-273155031843.0,-390853151493.0,-290288681217.0,-267149574298.0,-267936223616.0,-293781001862.0,-287948146109.0,-364115607769.0,-267933201112.0,-394309628517.0,-376603741870.0,-295366252939.0,-314192377447.0,-313395434645.0,-298670688008.0,-314309854969.0,-323779021991.0,-342105668395.0,-342134139835.0,-363668220232.0
Chi phí bán hàng,Selling expenses,selling_expenses,-8454736666.0,-5186331010.0,-7590635579.0,-13790594007.0,-8574608725.0,-9373615875.0,-10324647901.0,-10422343691.0,-8240825799.0,-9719129950.0,-65947810661.0,-79950720734.0,-9721654938.0,-24022744196.0,-9757491809.0,-18662604362.0,-17642478776.0,-18635542142.0,-18644646209.0,-21943038405.0,-15751536354.0,-17560409921.0,-12914420640.0,-33696979833.0,-24460075463.0,-17108474015.0,-19535884940.0,-22656852999.0,-21487101350.0,-20709467665.0,-23215519496.0,-17349663520.0,-20732829248.0,-18010376831.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-126367062082.0,-129795303627.0,-130323601658.0,-131815111474.0,-113555657601.0,-102504613596.0,-124023157203.0,-153933307199.0,-123125928272.0,-134828599506.0,-153930477161.0,-192212436896.0,-121019121422.0,-142856911485.0,-109889075880.0,-126388079066.0,-102215625636.0,-138743010825.0,-87928336611.0,-133088694570.0,-86124986397.0,-102925114468.0,-68132450599.0,-202329279562.0,-177227584060.0,-126741464358.0,-96950886815.0,-138300458212.0,-99413810894.0,-131181434666.0,-109546011686.0,-149639204172.0,-104277007863.0,-102273018748.0
