entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2023-06-08,2023-06-14,28.01,28.84,500,4,415000.0,343730.0,0.024494388588050604,fixed_horizon_exit
2023-07-05,2023-07-11,30.45,30.57,400,4,48000.0,-13044.0,-0.0010687983638634061,fixed_horizon_exit
2023-07-12,2023-07-18,29.9,31.05,500,4,575000.0,498525.0,0.03327959465684017,fixed_horizon_exit
2023-07-19,2023-07-25,30.77,30.25,500,4,-260000.0,-336145.0,-0.021805268241547455,fixed_horizon_exit
2023-10-16,2023-10-24,31.41,29.87,800,6,-1232000.0,-1353944.0,-0.05377433607792374,fixed_horizon_exit
2024-05-21,2024-05-27,50.86,50.86,1900,4,0.0,-483170.0,-0.00499001996007984,fixed_horizon_exit
2024-05-31,2024-06-06,50.45,56.02,1900,4,10583000.0,10071976.0,0.10486539309883701,fixed_horizon_exit
2024-06-11,2024-06-17,56.02,56.02,1900,4,0.0,-532190.0,-0.00499001996007984,fixed_horizon_exit
2024-06-18,2024-06-24,56.02,52.17,1900,4,-7315000.0,-7825245.0,-0.07337253376146671,fixed_horizon_exit
2024-06-25,2024-07-01,53.15,51.76,1800,4,-2502000.0,-2972844.0,-0.031011917838828458,fixed_horizon_exit
2024-07-02,2024-07-08,51.84,52.83,1800,4,1782000.0,1310094.0,0.014011906742071412,fixed_horizon_exit
2024-07-09,2024-07-15,53.24,49.14,1800,4,-7380000.0,-7837020.0,-0.08161550677757932,fixed_horizon_exit
2024-07-16,2024-07-22,48.89,44.31,1800,4,-8244000.0,-8659278.0,-0.09820224553960191,fixed_horizon_exit
2024-07-24,2024-07-30,43.08,45.05,1900,4,3743000.0,3322511.0,0.040510668542209916,fixed_horizon_exit
2024-07-31,2024-08-06,45.7,41.77,1800,4,-7074000.0,-7464078.0,-0.09055652371405984,fixed_horizon_exit
2024-08-07,2024-08-13,41.69,41.69,1800,4,0.0,-375210.0,-0.00499001996007984,fixed_horizon_exit
2024-08-14,2024-08-20,41.61,43.08,1800,4,2646000.0,2263572.0,0.03016173852727134,fixed_horizon_exit
2024-08-21,2024-08-27,43.65,42.83,1800,4,-1476000.0,-1864422.0,-0.02368207456793172,fixed_horizon_exit
2024-08-28,2024-09-05,42.75,42.42,1800,4,-594000.0,-976968.0,-0.012670798753370452,fixed_horizon_exit
2024-09-06,2024-09-12,42.18,41.85,1800,4,-594000.0,-971838.0,-0.012774593061387892,fixed_horizon_exit
2024-09-16,2024-09-20,41.11,41.85,1800,4,1332000.0,958014.0,0.012920643752630958,fixed_horizon_exit
2024-09-23,2024-09-27,42.18,41.61,1800,4,-1026000.0,-1402542.0,-0.01843610077143011,fixed_horizon_exit
2024-09-30,2024-10-04,41.77,41.11,1800,4,-1188000.0,-1560366.0,-0.020711987564253825,fixed_horizon_exit
2024-10-08,2024-10-14,40.75,42.59,1800,4,3312000.0,2935314.0,0.039938038034360725,fixed_horizon_exit
2024-10-15,2024-10-21,42.51,42.34,1800,4,-306000.0,-687672.0,-0.008969123620554704,fixed_horizon_exit
2024-10-22,2024-10-28,42.42,43.24,1700,4,1394000.0,1029248.0,0.014244024915750771,fixed_horizon_exit
2025-05-23,2025-05-29,30.36,30.86,2500,4,1250000.0,866750.0,0.011396837418706724,fixed_horizon_exit
2025-05-30,2025-06-05,32.27,31.5,2400,4,-1848000.000000015,-2229696.000000015,-0.028732123605284196,fixed_horizon_exit
2025-06-16,2025-06-20,33.59,32.55,2200,4,-2288000.000000015,-2650626.000000015,-0.035797116692486024,fixed_horizon_exit
2025-07-10,2025-07-16,39.09,37.86,1800,4,-2214000.0,-2559168.0,-0.03629885279326229,fixed_horizon_exit
2025-08-28,2025-09-05,36.82,36.09,1900,4,-1387000.0,-1732629.0,-0.024717268342185808,fixed_horizon_exit
