item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,4311468974567.0,8301624600777.0,8123852900595.0,7823910821456.0,4249357248869.0,5788423806902.0,6224636596791.0,7470610599603.0,3553806855145.0,3971457955191.0,2806614620474.0,4296193969617.0,2568570806591.0,2550411691809.0,1070493725258.0,2918246718909.0,1912515365227.0,3282372691072.0,3113499095895.0,6230300955142.0,3129647408956.0,3616408985094.0,4123955806852.0,5659931201010.0,4665851979469.0,6595436049789.0,4758908674959.0,6885665264256.0,5002815167852.0,8237240542216.0,7451776029867.0,10007270938232.0,6409807842662.0,10471548506121.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31112346115.0,0.0,0.0,0.0,0.0,0.0,0.0,-1739604226.0,0.0,0.0,0.0,-1728598544.0,0.0,0.0,0.0,-16266742.0,0.0,-68123651.0,0.0,-30433204.0,0.0,-23462311.0,-391395760.0,-367141016.0
Doanh thu thuần,Net sales,net_sales,4311468974567.0,8301624600777.0,8123852900595.0,7823910821456.0,4249357248869.0,5788423806902.0,6224636596791.0,7470610599603.0,3553806855145.0,3971457955191.0,2775502274359.0,4296193969617.0,2568570806591.0,2550411691809.0,1070493725258.0,2918246718909.0,1912515365227.0,3280633086846.0,3113499095895.0,6230300955142.0,3129647408956.0,3614680386550.0,4123955806852.0,5659931201010.0,4665851979469.0,6595419783047.0,4758908674959.0,6885597140605.0,5002815167852.0,8237210109012.0,7451776029867.0,10007247475921.0,6409416446902.0,10471181365105.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-4025790889849.0,-7737681296715.0,-7549309370919.0,-7415063466943.0,-3976069360216.0,-5604507464032.0,-5970988142148.0,-7133356144584.0,-3359431753523.0,-3727867622901.0,-2607443276140.0,-4035990482174.0,-2448565004580.0,-2415698730227.0,-1053673961474.0,-2921264670090.0,-1845882873876.0,-3065297751864.0,-3080631946684.0,-6058401813694.0,-3074047619031.0,-3513696515380.0,-4023750584758.0,-5490741851140.0,-4445080228261.0,-6373071000982.0,-4553479113980.0,-6688421294937.0,-4846798612951.0,-7980689781573.0,-7129974971420.0,-9636224250576.0,-6122334130792.0,-10005194055523.0
Lợi nhuận gộp,Gross Profit,gross_profit,285678084718.0,563943304062.0,574543529676.0,408847354513.0,273287888653.0,183916342870.0,253648454643.0,337254455019.0,194375101622.0,243590332290.0,168058998219.0,260203487443.0,120005802011.0,134712961582.0,16819763784.0,-3017951181.0,66632491351.0,215335334982.0,32867149211.0,171899141448.0,55599789925.0,100983871170.0,100205222094.0,169189349870.0,220771751208.0,222348782065.0,205429560979.0,197175845668.0,156016554901.0,256520327439.0,321801058447.0,371023225345.0,287082316110.0,465987309582.0
Doanh thu hoạt động tài chính,Financial income,financial_income,84028960243.0,79965191355.0,79079565310.0,78022708199.0,72718790612.0,71937996018.0,50681177687.0,68626410168.0,62272428080.0,61607288439.0,48663517659.0,55788364701.0,68163938552.0,47280517877.0,77391947420.0,84224857888.0,75559833076.0,152296695446.0,83086415876.0,70014234486.0,84526213279.0,94537349918.0,101489837356.0,67237017015.0,41635377001.0,69462720566.0,70940749056.0,57358739823.0,55608449642.0,72101673973.0,77362742922.0,88126851214.0,103931427893.0,137665787954.0
Chi phí tài chính,Financial expenses,financial_expenses,-2808141.0,-43354951.0,0.0,-210344909.0,-654317.0,-4539234.0,-93965726.0,-10068602.0,-2659557.0,-29686800951.0,0.0,29111572126.0,-993470434.0,-235626634.0,-2368600522.0,-9330415488.0,-11870506552.0,-47468653519.0,-43900398627.0,-59406255773.0,-31800886843.0,-35362219809.0,-32498449715.0,-30684765381.0,-11371155126.0,-30392242701.0,-38991566759.0,-34318224424.0,-44514794695.0,-87454944707.0,-49568376104.0,-60371052004.0,-105358119202.0,-134388144700.0
Chi phí lãi vay,Interest expenses,interest_expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-949965938.0,-41095890.0,-119634264.0,-10933617733.0,-19068338308.0,-24570257604.0,-24600118487.0,-24801387791.0,-25383104023.0,-24162532713.0,-21791086301.0,-20556559299.0,-25031975995.0,-31884779805.0,-38223972759.0,-33446132367.0,-39349649589.0,-44548526469.0,-60656523151.0,-110469101980.0,-135292384200.0
Chi phí bán hàng,Selling expenses,selling_expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36014510.0,0.0,-4588182.0,0.0,0.0,-212864364.0,-852507639.0,0.0,-207010272.0,-168845328.0,-737790811.0,-318388116.0,-264808235.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-135519188221.0,-124842711241.0,-124581287870.0,-120274025934.0,-127273935027.0,-95129564580.0,-102450378499.0,-134125265344.0,-109492160290.0,-70664315573.0,-102921546891.0,-222821186874.0,-120158737317.0,-121996582012.0,-90427942065.0,-183714774550.0,-88581221945.0,-360131384197.0,-103459539202.0,-182585996015.0,-72415714182.0,-120408151236.0,-83006545439.0,-122354263549.0,-180672930088.0,-194844525939.0,-118096537525.0,-100871342061.0,-101598578522.0,-10785893723.0,-155802642200.0,-114091414259.0,-135021807323.0,-271297962295.0
