year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2699060,RATIO_TTM,CTD,2018,78288344,11821539944000.0,0.0,7.089821781,1.5425451455,0.4361608967,40.0029161851,6.7023079745,0.18936689,1.5617869006,1.8982398406,0.0,0.0,0.8874804796,0.2328884554,0.1156628397,63.3968349281,26.6253083967,48.0699351862,0.0708414924,0.0547778963,0.0750161414,0.0605930382,1.90884701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484679378643.0,1571780909298.0,0.1935650293,142.8842402872,37.0221319059,0.8874804796,0.0,,,,,,,0.0,
2018,2,2713576,RATIO_TTM,CTD,2018,78288344,12095549148000.0,0.0,7.2170192267,1.5898305224,0.4139175293,-13.5111012208,7.150053546,0.0761241242,1.5575353484,1.8050519347,0.0,0.0,1.0143739338,0.2253253229,0.1119082063,67.9753686308,25.9085428332,47.3205446792,0.0679940464,0.0518927469,0.0701822302,0.0567311029,1.9726076273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516416257537.0,1609623896163.0,0.1993166926,145.7975945492,38.9728180623,1.0143739338,0.0,,,,,,,0.0,
2018,3,2715590,RATIO_TTM,CTD,2018,75478873,10793478839000.0,0.0,6.4864888945,1.3355770236,0.3633541369,-25.6473892018,6.2156311057,0.1369220061,1.7523610041,1.9568673378,0.0,0.0,0.8689510904,0.2157058969,0.1085828988,73.8655032109,24.7021864119,50.4332225489,0.0671056129,0.0500044699,0.0688813752,0.0556716743,1.9504155408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485388862459.0,1582051231217.0,0.1838009103,153.8308263313,39.3037302571,0.8689510904,0.0,,,,,,,0.0,
2018,4,2717008,RATIO_TTM,CTD,2018,76378873,9127275323500.0,0.0,6.1992688692,1.1462835943,0.3195728766,-10.0262496286,5.7444720682,0.0624573436,1.5681110312,1.7311957879,0.0,0.0,1.1127882343,0.1978374013,0.0923785931,93.609491622,22.6510506012,71.3115492683,0.0641791755,0.0464900281,0.0655783636,0.052883831,1.7468211249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327795059703.0,1421756991966.0,0.1667561939,192.351200931,38.8730735813,1.1127882343,0.0,,,,,,,0.0,
2018,5,12237580,RATIO_YEAR,CTD,2018,76378873,9127275323500.0,0.0437956204,3.7405840637,0.6740749871,0.187925644,-5.7472644315,3.3862919586,0.0624573436,1.0853441637,1.7311957879,0.0,0.0,1.1127882343,0.1978374013,0.0923785931,93.609491622,22.6510506012,71.3115492683,0.0641791755,0.0464900281,0.0655783636,0.052883831,1.7468211249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327795059703.0,1421756991966.0,0.1667561939,192.351200931,38.8730735813,1.1127882343,0.0,,,,,,,0.0,12237580.0
2019,1,2723554,RATIO_TTM,CTD,2019,76378873,8592623212500.0,0.0,6.2069612682,1.0476712911,0.3015088222,-37.1765413095,5.6335728165,0.0871043184,1.7515173546,1.9765748049,0.0,0.0,0.8364411361,0.1769275014,0.0904414336,90.205360903,21.640166149,58.6874928269,0.0638842883,0.0464459081,0.0618247699,0.0494390071,1.8293537613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323650116832.0,1419325241065.0,0.1613884599,176.7502884735,38.108419187,0.8364411361,0.0,,,,,,,0.0,
2019,2,2726295,RATIO_TTM,CTD,2019,76292573,6660341622900.0,0.0,6.0973497812,0.8303838078,0.2563094859,18.0897355575,5.5161420515,0.099137496,1.6788856662,1.8653765174,0.0,0.0,0.9447089538,0.1369662678,0.0706123821,100.8166116971,21.6765322325,66.7647561556,0.0554383265,0.0374568365,0.0532350924,0.042518006,1.6607641966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973336302301.0,1071411257773.0,0.1213515388,197.1205197666,34.4996781332,0.9447089538,0.0,,,,,,,0.0,
2019,3,2730677,RATIO_TTM,CTD,2019,76292573,4081652655500.0,0.0,5.1564345845,0.4988445251,0.1694593122,-6.3433548948,4.0774275354,0.1426229114,1.7590020155,1.9834635008,0.0,0.0,0.8219549828,0.0982926624,0.0509962535,109.6640420637,23.4910182381,68.9564689863,0.0464869539,0.0280064327,0.0416062408,0.0330655402,1.5422537296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674572136639.0,775592250885.0,0.0820045733,212.2166299839,30.6749177978,0.8219549828,0.0,,,,,,,0.0,
2019,4,2734904,RATIO_TTM,CTD,2019,76292573,4707251754100.0,0.0,6.8787415249,0.5593572571,0.1983418089,-14.4285645092,5.4297483622,0.1038601748,1.6991703916,1.9100990057,0.0,0.0,0.9126034719,0.0865250873,0.043055717,130.7191972204,24.6968647384,83.5427221431,0.0441623854,0.024823128,0.0375312799,0.0299547361,1.4374115781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589127997735.0,697641961639.0,0.0695585996,245.5133822841,32.7761117338,0.9126034719,0.0,,,,,,,0.0,
2019,5,12244991,RATIO_YEAR,CTD,2019,76292573,4707251754100.0,0.0437956204,8.2326965491,0.6451179007,0.2287515711,-16.0187466593,6.6340276763,0.1038601748,1.2448920565,1.9100990057,0.0,0.0,0.9126034719,0.0865250873,0.043055717,130.7191972204,24.6968647384,83.5427221431,0.0441623854,0.024823128,0.0375312799,0.0299547361,1.4374115781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589127997735.0,697641961639.0,0.0695585996,245.5133822841,32.7761117338,0.9126034719,0.0,,,,,,,0.0,12244991.0
