date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-03,-0.0018467477057129145,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,-0.0018467477057129145,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-05,-0.0018467477057129145,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-06,-0.0018467477057129145,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-09,-0.0018467477057129145,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-10,-0.0018467477057129145,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-11,-0.0013269349001348019,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-12,-0.0018467477057129145,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-13,0.001259712385945022,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-23,0.001259712385945022,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-24,0.001259712385945022,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-25,0.001259712385945022,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-26,0.0018037310801446438,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-27,0.0018037310801446438,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-02,0.001259712385945022,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-03,0.001259712385945022,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-04,0.0005826083943247795,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-05,0.001259712385945022,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-06,0.001259712385945022,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-09,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-10,-0.004050350282341242,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-11,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-12,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-13,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-16,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-17,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-18,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-19,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-20,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-23,-0.004741117358207703,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-24,-0.004741117358207703,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-25,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-26,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-27,0.002901251194998622,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-30,-0.002813830506056547,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-31,0.0007600188255310059,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-01,0.0013384482590481639,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-02,0.0022873354610055685,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-03,0.0013384482590481639,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-06,0.0025485472287982702,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-07,0.0025485472287982702,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-08,-0.00042153679532930255,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-09,7.815657590981573e-05,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-10,0.0013384482590481639,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-13,0.000798502005636692,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-14,0.000798502005636692,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-15,0.001652683480642736,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-16,-0.0018731990130618215,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-17,0.0019505659583956003,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-20,0.0019505659583956003,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-21,-0.0025328192859888077,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-22,-0.0025328192859888077,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-23,-0.0007039771880954504,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-24,-0.0007039771880954504,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-28,-0.0017866605194285512,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-29,-0.0007039771880954504,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-04,-0.0007039771880954504,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-05,-0.0007039771880954504,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-06,0.0014508727472275496,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-07,-0.0007039771880954504,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-08,0.0019505659583956003,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-11,0.0019505659583956003,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-12,0.0019505659583956003,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-13,0.0019505659583956003,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-14,0.002494585234671831,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-15,0.0022788671776652336,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-18,0.002409936161711812,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-19,0.0021653324365615845,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-20,0.000600511790253222,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-21,0.001259712385945022,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-22,0.0007600188255310059,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
