year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2698820,RATIO_TTM,DBC,2018,82818465,2062179778500.0,0.0,10.4784726711,0.8206648984,0.3592135933,7.2991507207,11.4210272648,0.0302685756,0.3760669528,1.0033165421,0.4481454101,1.3829376881,1.8078820705,0.0808516143,0.0286544822,23.1451651923,159.401835433,31.5181001896,0.1331876148,0.0583508867,0.0473362369,0.0342825552,0.8358327441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334981806993.0,476269003498.0,0.0559432727,230.9892193809,2.9507555068,1.8078820705,0.0,,,,,,,0.0,
2018,2,2713616,RATIO_TTM,DBC,2018,82818465,2368608099000.0,0.0,7.5779140639,0.9560751375,0.3761344917,2.9414546013,8.2802621754,0.0339477673,0.2976285173,0.949144631,0.4852798569,1.4306572361,2.0099223168,0.1258956001,0.0442231521,18.4544683918,146.9769831329,33.6373457586,0.1527752004,0.0802918495,0.0620856988,0.0496377275,0.890918145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505616818639.0,699406636845.0,0.083964674,213.4604215008,2.6960991988,2.0099223168,0.0,,,,,,,0.0,
2018,3,2715388,RATIO_TTM,DBC,2018,82818465,2227816708500.0,0.0,7.1714470309,0.8466861563,0.3441451488,3.9955492518,8.2488263334,0.0448612886,0.3620781177,1.0041342412,0.5407488863,1.3879739194,1.8983155219,0.122742645,0.0426620986,16.5331147223,141.8284988969,36.9246945071,0.1467085072,0.0721957971,0.0531879719,0.0479902777,0.8889737821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467358042388.0,694397551154.0,0.0743811936,206.9485866557,2.3843971727,1.8983155219,0.0,,,,,,,0.0,
2018,4,2727314,RATIO_TTM,DBC,2018,91100311,2040646966400.0,0.0,5.6649786504,0.7429913899,0.3057467141,8.9243632584,6.9389520278,0.0368083431,0.2624808791,0.9253570838,0.4686497988,1.4555563579,2.0402064641,0.1372548682,0.0469691592,14.4307132995,154.7678513338,48.5050525935,0.1616234513,0.0807590873,0.0589362767,0.0539734592,0.8702269578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539010817948.0,798506033981.0,0.0799214728,228.0870880943,2.3198857854,2.0402064641,0.0,,,,,,,0.0,
2018,5,12237676,RATIO_YEAR,DBC,2018,91100311,2040646966400.0,0.0,14.1532990355,1.7368629989,0.7147325823,20.8613442255,10.7927366611,0.0368083431,0.1217787598,0.9253570838,0.4686497988,1.4555563579,2.0402064641,0.1372548682,0.0469691592,14.4307132995,154.7678513338,48.5050525935,0.1616234513,0.0807590873,0.0589362767,0.0539734592,0.8702269578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539010817948.0,798506033981.0,0.0799214728,228.0870880943,2.3198857854,2.0402064641,0.0,,,,,,,0.0,12237676.0
2019,1,2723539,RATIO_TTM,DBC,2019,91099828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348544194,0.2460482911,0.9351225255,0.5311250903,1.6032188015,2.1402739105,0.1393714467,0.0460875614,10.6130572862,157.3146850704,50.0333132173,0.1625948763,0.0813945617,0.0575072529,0.0528377037,0.8722476212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570114124554.0,844220639748.0,0.079160245,227.4954000562,2.2921479778,2.1402739105,0.0,,,,,,,0.0,
2019,2,2725767,RATIO_TTM,DBC,2019,91099828,2277495700000.0,0.0,7.7204378227,0.8279003878,0.3265297991,6.6415227111,8.3861297257,0.056595788,0.2562249759,0.9184454597,0.5200374296,1.7084613856,2.4415175906,0.1083065407,0.0345731725,10.0192396474,170.5110547092,56.1848171523,0.1565014179,0.0733208391,0.0466109257,0.042295837,0.8174131287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511401704439.0,799226738016.0,0.0686372766,245.8068894552,2.2327317115,2.4415175906,0.0,,,,,,,0.0,
2019,3,2730897,RATIO_TTM,DBC,2019,91099828,2049746130000.0,0.0,12.763536523,0.7398969823,0.2958412592,-6240.5695958533,9.0872818356,0.0340787294,0.2955495774,0.8860171969,0.5325068806,1.6887145484,2.3457998699,0.0582182023,0.0179571189,11.5932093883,178.3369404285,58.3352703793,0.1445300894,0.0609240252,0.0286753289,0.0231795206,0.7746975962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422114160776.0,722818893258.0,0.0566704166,257.1268129413,2.1694675185,2.3457998699,0.0,,,,,,,0.0,
2019,4,2733909,RATIO_TTM,DBC,2019,104763911,2744814468200.0,0.0190839695,7.8222842685,0.90708957,0.3819267024,4.8266124958,7.9172562758,0.0342941145,0.259275303,0.908331118,0.4676965796,1.5377111356,2.1698809352,0.1057188351,0.0340130744,9.1928672916,176.7236452531,55.6132183232,0.1623192575,0.0841937557,0.0480121198,0.0424572912,0.8011126808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605080077534.0,917429862599.0,0.078796667,251.5665657824,1.8459962419,2.1698809352,0.0,,,,,,,0.0,
2019,5,12245003,RATIO_YEAR,DBC,2019,104763911,2744814468200.0,0.0086805556,18.1863270692,1.7341123031,0.7301415598,10.6111786167,10.6112874945,0.0342941145,0.119564492,0.908331118,0.4676965796,1.5377111356,2.1698809352,0.1057188351,0.0340130744,9.1928672916,176.7236452531,55.6132183232,0.1623192575,0.0841937557,0.0480121198,0.0424572912,0.8011126808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605080077534.0,917429862599.0,0.078796667,251.5665657824,1.8459962419,2.1698809352,0.0,,,,,,,0.0,12245003.0
