date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2023-01-19,0.003303857520222664,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-01-27,0.0012132100528106093,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-01-30,0.003303857520222664,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-01-31,0.0041233873926103115,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-01,0.0005222712643444538,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-02,0.0005222712643444538,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-03,0.0005222712643444538,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-06,0.0005222712643444538,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-07,-0.000758583948481828,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-08,0.0005222712643444538,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-09,0.0007575158961117268,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-10,0.0005222712643444538,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-13,-0.000758583948481828,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-14,0.0014190574875101447,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-15,0.0007575158961117268,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-16,0.0007575158961117268,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-17,0.0007575158961117268,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-20,0.0007575158961117268,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-21,0.0007575158961117268,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-22,0.0012132100528106093,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-23,0.0015104812337085605,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-24,0.0005222712643444538,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-27,0.00118381273932755,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-28,-0.000758583948481828,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-01,0.0012132100528106093,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-02,0.0007575158961117268,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-03,0.0007575158961117268,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-06,0.0007575158961117268,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-07,0.00041150033939629793,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-08,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-09,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-10,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-13,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-14,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-15,3.665429539978504e-05,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-16,-0.0006542846676893532,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-17,-0.0006542846676893532,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-20,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-21,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-22,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-23,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-24,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-27,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-28,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-29,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-30,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-31,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-03,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-04-04,-0.0004190400359220803,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
