date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-02,-0.0025222748517990112,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-03,7.883438229328021e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,7.883438229328021e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-05,7.883438229328021e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-06,7.883438229328021e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-09,-0.0008516086963936687,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-10,7.883438229328021e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-11,-0.0008516086963936687,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-12,7.883438229328021e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-13,7.883438229328021e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-23,7.883438229328021e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-24,-0.0008516086963936687,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-25,7.883438229328021e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-26,8.205903577618301e-05,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-27,-0.0007774331024847925,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-02,-0.003307591425254941,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-03,0.0006606215611100197,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-04,0.0004018052713945508,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-05,0.005187166854739189,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
