item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1276495225167.0,1371619259065.0,1759820460227.0,1585601320567.0,1372871569395.0,2010584118890.0,2629391514043.0,2587619725416.0,2356748734644.0,2556474575147.0,3654806805407.0,4112257191486.0,5063160650544.0,4346197073691.0,3868090616310.0,8073416257401.0,7104074671123.0,4824513808147.0,5942279715157.0,4267569167184.0,3941909518357.0,4622642232477.0,5552963637293.0,4977453423124.0,5001986652599.0,5063705158748.0,6379719131252.0,6138656789788.0,5574849606573.0,5871961675342.0,7503657776055.0,8292356974631.0,8613230691036.0,7561449421475.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-11978546839.0,999374489.0,-17669730613.0,-24881038230.0,-1077190844.0,-8429872129.0,-14843812534.0,-87813225824.0,-46033588263.0,25501628114.0,-30532521799.0,-95080110104.0,-56363167518.0,-128656438708.0,-42966499102.0,-151862738926.0,-95374478750.0,85650124803.0,122941156782.0,-192446478211.0,18017694815.0,-26835644599.0,-140198821366.0,-128476692380.0,-16990810310.0,-55696077566.0,-153753359295.0,-278803118505.0,-55532905210.0,-140518656284.0,-113020393406.0,-302208307454.0,-113048216191.0,-288120220864.0
Doanh thu thuần,Net sales,net_sales,1264516678328.0,1372618633554.0,1742150729614.0,1560720282337.0,1371794378551.0,2002154246761.0,2614547701509.0,2499806499592.0,2310715146381.0,2581976203261.0,3624274283608.0,4017177081382.0,5006797483026.0,4217540634983.0,3825124117208.0,7921553518475.0,7008700192373.0,4910163932950.0,6065220871939.0,4075122688973.0,3959927213172.0,4595806587878.0,5412764815927.0,4848976730744.0,4984995842289.0,5008009081182.0,6225965771957.0,5859853671283.0,5519316701363.0,5731443019058.0,7390637382649.0,7990148667177.0,8500182474845.0,7273329200611.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1192249369149.0,-1290898279873.0,-1638802516225.0,-1448852826499.0,-1291073165975.0,-1881040684173.0,-2435405295676.0,-2333602507296.0,-2167451178344.0,-2416432847947.0,-3392968899988.0,-3762649951561.0,-4687768893045.0,-3912418968345.0,-3551152990708.0,-7308629016293.0,-6542247545540.0,-4589935783866.0,-5659264721725.0,-3605299884815.0,-3699193603241.0,-4202830110568.0,-5027924690216.0,-4328031420137.0,-4596867287530.0,-4543685362989.0,-5623902702514.0,-5252262615178.0,-5038591228140.0,-5244114859351.0,-6740074211089.0,-7297770414240.0,-7696772601834.0,-6330122094422.0
Lợi nhuận gộp,Gross Profit,gross_profit,72267309179.0,81720353681.0,103348213389.0,111867455838.0,80721212576.0,121113562588.0,179142405833.0,166203992296.0,143263968037.0,165543355314.0,231305383620.0,254527129821.0,319028589981.0,305121666638.0,273971126500.0,612924502182.0,466452646833.0,320228149084.0,405956150214.0,469822804158.0,260733609931.0,392976477310.0,384840125711.0,520945310607.0,388128554759.0,464323718193.0,602063069443.0,607591056105.0,480725473223.0,487328159707.0,650563171560.0,692378252937.0,803409873011.0,943207106189.0
Doanh thu hoạt động tài chính,Financial income,financial_income,4412464837.0,6411989461.0,8968434125.0,12611747012.0,11684023215.0,12630172615.0,21342665154.0,14706561401.0,14373516472.0,27553942584.0,20806711141.0,21634387426.0,24899826731.0,38901809831.0,48472524156.0,67855981891.0,73276796017.0,29651346468.0,38241857040.0,67876618447.0,37004086646.0,44646004862.0,46744473084.0,66159157488.0,24003831108.0,40689723537.0,73964655031.0,55527645571.0,51315006435.0,77471469586.0,69747360563.0,78686589213.0,73880719533.0,84603953954.0
Chi phí tài chính,Financial expenses,financial_expenses,-7565591744.0,-7211868003.0,-11052774257.0,-12985517095.0,-11865111712.0,-18042870158.0,-19040261604.0,-3679475841.0,-12636189420.0,-9460548019.0,-12002124713.0,-3188235941.0,-5480357972.0,-6495657099.0,-8635717257.0,-21755746541.0,-15388422713.0,-24987945300.0,-30156690248.0,-73499848935.0,-26572395303.0,-45568525713.0,-38443397263.0,-27869955580.0,-21882210311.0,-47883329019.0,-26200858507.0,-66548037243.0,-104322331032.0,-8776009143.0,-78000736507.0,-155109149548.0,-83077298153.0,-50914405744.0
Chi phí lãi vay,Interest expenses,interest_expenses,-7388550638.0,-6582580512.0,-5774339935.0,-12373313496.0,-11655150828.0,-15389230889.0,-11719631596.0,-8827440057.0,-10484684730.0,-7787194598.0,-6391747055.0,-2354417033.0,-5532572260.0,-5914316293.0,-8434105895.0,-12005528257.0,-13822439606.0,-21826082442.0,-21773196287.0,-41567513759.0,-24134120926.0,-44523722854.0,-30677435765.0,-22876778293.0,-17944782198.0,-25479681475.0,-29504126967.0,-27948658982.0,-27424302462.0,-34269680909.0,-49507405009.0,-39880822264.0,-49909623855.0,-54063603666.0
Chi phí bán hàng,Selling expenses,selling_expenses,-28327413551.0,-32886462673.0,-33436569045.0,-41241673949.0,-29322333582.0,-55106531880.0,-89471437292.0,-72956052224.0,-64100135621.0,-111052874370.0,-124848449483.0,-146566474288.0,-181496853133.0,-163900150194.0,-151075359030.0,-211810541046.0,-231965017873.0,-117019910873.0,-149563583463.0,-223219460189.0,-118380985240.0,-241457452611.0,-212929104676.0,-370634010173.0,-214375310661.0,-286032281116.0,-427776368620.0,-356519188081.0,-236797923707.0,-376646733236.0,-409441974471.0,-345644102646.0,-493568022163.0,-528081144671.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-17396081596.0,-18800080157.0,-23887016394.0,-29132815887.0,-23376234288.0,-16555429925.0,-24588472718.0,-34835035509.0,-28177778054.0,-9684933973.0,-17601609596.0,-12748857307.0,-20574394780.0,-25006892437.0,-26760418962.0,-41362222905.0,-24712718186.0,-32897217330.0,-37973614708.0,-40238001394.0,-45549452313.0,-40020389196.0,-48940968794.0,-64143985259.0,-54586596678.0,-58512917931.0,-66551412455.0,-64965764211.0,-55341692076.0,-55464644073.0,-55092365417.0,-58027691426.0,-53857199144.0,-66818725920.0
