date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-03,-0.00033286443795077503,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,-0.00033286443795077503,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-05,-0.00033286443795077503,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-06,-0.00033286443795077503,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-09,-0.0006054872646927834,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-10,-0.0006054872646927834,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-11,-0.0006054872646927834,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-12,-0.0006054872646927834,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-13,-0.0006054872646927834,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-23,-0.00033286443795077503,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-24,-0.0006054872646927834,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-25,-0.0006054872646927834,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-26,-0.0006054872646927834,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-27,-0.0006054872646927834,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-02,0.0055633243173360825,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-03,0.0018179683247581124,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-04,0.007209107279777527,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-05,0.007209107279777527,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-06,0.0010517301270738244,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-09,0.00983437616378069,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-10,-0.001839405158534646,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-11,-0.001839405158534646,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-12,0.003671877086162567,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-13,-0.0066336337476968765,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-16,0.006771530956029892,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-17,-0.0006054872646927834,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
