year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2697875,RATIO_TTM,DXG,2018,342321356,8386873222000.0,0.0,9.0913357547,1.8200520233,2.4123894264,-8.5952013346,6.9760076219,0.3099156305,1.4671661837,2.2174665148,0.3818311464,0.503235497,1.2406991697,0.2083259311,0.0945105623,67.1483117023,587.8131274201,61.1632964577,0.5585100912,0.3874628523,0.4534990853,0.3727017545,0.3579983795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347046950516.0,1365770166549.0,0.1867555081,1052.9599933228,59.556534558,1.2406991697,0.0,,,,,,,0.0,
2018,2,2712904,RATIO_TTM,DXG,2018,349821356,10039872917200.0,0.0,10.0140808283,2.3958290917,2.5434601129,-5.313345731,7.2653042275,0.1337861538,1.2565110532,1.9416970089,0.3441502977,0.5172550352,1.3802313369,0.207127327,0.0910695207,76.1371683651,668.4945994481,66.6347279723,0.5779704865,0.4134172935,0.4607824495,0.3712712696,0.3667617636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631893918010.0,1653935418894.0,0.2061669045,1142.8726880459,61.9946628469,1.3802313369,0.0,,,,,,,0.0,
2018,3,2715824,RATIO_TTM,DXG,2018,349821356,8115855459200.0,0.0,7.6706244826,1.8000806285,1.8280605134,-10.6842486115,6.3190654806,0.164820164,1.2621456701,2.0235076545,0.394352056,0.5024388354,1.3984057012,0.2055177963,0.0888867485,79.5795758539,612.9516343893,63.5633056543,0.5134129306,0.351255333,0.4025903281,0.3235326778,0.3788800404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559432792844.0,1583399319892.0,0.1852573656,1071.9978235724,66.0458192027,1.3984057012,0.0,,,,,,,0.0,
2018,4,2717016,RATIO_TTM,DXG,2018,349821356,7696069832000.0,0.0,6.5354673309,1.5393172926,1.6567367186,-8.2656683513,5.7435076785,0.2908749594,1.4089768259,2.3088367891,0.3862492534,0.4622966677,1.2146324205,0.2171627347,0.0982304192,78.361171057,722.2100764916,80.5897802511,0.562883718,0.3950303359,0.452452176,0.3708668672,0.387220927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835041752267.0,1859468767394.0,0.2024334291,1153.9945532628,66.490774655,1.2146324205,0.0,,,,,,,0.0,
2018,5,12237647,RATIO_YEAR,DXG,2018,349821356,7696069832000.0,0.0,5.8341449228,1.3338616148,1.4356088412,-7.1573173678,4.5045712924,0.2908749594,1.3786388139,2.3088367891,0.3862492534,0.4622966677,1.2146324205,0.2171627347,0.0982304192,78.361171057,722.2100764916,80.5897802511,0.562883718,0.3950303359,0.452452176,0.3708668672,0.387220927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835041752267.0,1859468767394.0,0.2024334291,1153.9945532628,66.490774655,1.2146324205,0.0,,,,,,,0.0,12237647.0
2019,1,2722670,RATIO_TTM,DXG,2019,349821356,6699078967400.0,0.0,5.677222117,1.2826780716,1.3506241547,-459.8108304359,4.8843592533,0.2417213976,1.4263547613,2.19601574,0.3172094957,0.4013143442,1.1676032259,0.1972212254,0.0864890272,90.3203208707,720.8072592652,85.8524668655,0.5672419224,0.3961709494,0.432322073,0.3513709417,0.367554285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965002969307.0,1991255602553.0,0.2118352253,1232.1587004673,65.5722583178,1.1676032259,0.0,,,,,,,0.0,
2019,2,2725618,RATIO_TTM,DXG,2019,519784611,8524467620400.0,0.0,5.5611150436,1.5613002186,1.6918248566,-21.1510746853,6.657397691,0.1343340941,1.417837956,2.1371355196,0.3018416467,0.4177828172,1.187719235,0.2023744061,0.090594969,92.5604272683,714.0802222294,85.4558084133,0.5469008397,0.3677682956,0.4485066361,0.369528543,0.3504558219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853045789924.0,1883199642816.0,0.1792860435,1259.9396756106,61.4446797451,1.187719235,0.0,,,,,,,0.0,
2019,3,2730915,RATIO_TTM,DXG,2019,518796292,6692472166800.0,0.0,4.3913544202,1.1527217922,1.285401281,-24.8166886661,4.7500422229,0.1911058687,1.3222100711,2.0094845956,0.2867789284,0.4352658937,1.3028657637,0.1910040822,0.0860317946,93.429971387,838.9161412815,96.5198163765,0.6053967804,0.4236831339,0.490485308,0.3952073916,0.3355165927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2205916255785.0,2239660001044.0,0.1966333521,1426.1014661254,58.6893805642,1.3028657637,0.0,,,,,,,0.0,
2019,4,2735292,RATIO_TTM,DXG,2019,518796292,5473300880600.0,0.0,4.5099047999,0.7831373495,0.9414685987,-3.3336119905,4.4056542733,0.1090199275,1.4120237909,2.3453552412,0.3615729623,0.4767897894,1.1544107132,0.1577132849,0.0723917022,100.2859704415,762.9470920881,118.1572808044,0.5304138631,0.3610533812,0.41085092,0.3244505783,0.3459512398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099011897191.0,2138004414166.0,0.1540270651,1338.0388589491,26.5809386477,1.1544107132,0.0,,,,,,,0.0,
2019,5,12245027,RATIO_YEAR,DXG,2019,518796292,5473300880600.0,0.0,8.3953375128,1.4174765726,1.7040557232,-6.0194605137,6.320426059,0.1090199275,1.3490709071,2.3453552412,0.3615729623,0.4767897894,1.1544107132,0.1577132849,0.0723917022,100.2859704415,762.9470920881,118.1572808044,0.5304138631,0.3610533812,0.41085092,0.3244505783,0.3459512398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099011897191.0,2138004414166.0,0.1540270651,1338.0388589491,26.5809386477,1.1544107132,0.0,,,,,,,0.0,12245027.0
