entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2023-09-11,2023-09-15,14.44,15.12,6900,4,4692000.0,4179744.0,0.04186640569276959,fixed_horizon_exit
2023-09-18,2023-09-22,15.26,13.15,6800,4,-14348000.0,-14823796.0,-0.1425700368594397,fixed_horizon_exit
2023-09-25,2023-09-29,12.63,12.98,7000,4,2450000.0,2000600.0,0.0225834949262204,fixed_horizon_exit
2023-10-18,2023-10-24,10.63,11.68,8500,4,8925000.0,8446450.0,0.09329412670425846,fixed_horizon_exit
2023-10-25,2023-10-31,11.37,11.48,8700,4,957000.0,459534.0,0.004636285915416309,fixed_horizon_exit
2023-11-01,2023-11-07,11.78,12.94,8400,4,9744000.0,9220008.0,0.09299058927984438,fixed_horizon_exit
2023-11-17,2023-11-23,13.01,13.62,8300,4,5063000.0,4507896.0,0.04166302291650366,fixed_horizon_exit
2023-11-24,2023-11-30,13.62,13.52,8300,4,-830000.0,-1392740.0,-0.012295526421459577,fixed_horizon_exit
2023-12-01,2023-12-07,13.69,13.62,8200,4,-574000.0,-1133568.0,-0.010077726213023186,fixed_horizon_exit
2023-12-15,2023-12-21,13.49,13.49,8200,4,0.0,-553090.0,-0.00499001996007984,fixed_horizon_exit
2023-12-22,2023-12-28,13.49,13.92,8200,4,3526000.0,2962332.0,0.026726384147938372,fixed_horizon_exit
2023-12-29,2024-01-05,13.95,14.21,8100,4,2106000.0,1534707.0,0.013554968915216162,fixed_horizon_exit
2024-01-08,2024-01-12,14.28,13.38,8000,4,-7200000.0,-7749600.0,-0.0677007329878059,fixed_horizon_exit
2024-04-16,2024-04-23,12.8,11.9,8300,4,-7470000.0,-7978790.0,-0.07495165918163672,fixed_horizon_exit
2024-07-17,2024-07-23,9.71,10.29,10200,4,5916000.0,5403042.0,0.05444414980543547,fixed_horizon_exit
2024-07-24,2024-07-30,10.11,9.96,10300,4,-1545000.0,-2061030.0,-0.019752779307853137,fixed_horizon_exit
2024-07-31,2024-08-06,9.96,9.49,10300,4,-4841000.0,-5339417.0,-0.05194330215071864,fixed_horizon_exit
2024-08-07,2024-08-13,9.46,9.46,10300,4,0.0,-487190.0,-0.00499001996007984,fixed_horizon_exit
2024-08-14,2024-08-20,9.42,11.29,10200,4,19074000.0,18536358.0,0.19253319263807842,fixed_horizon_exit
2024-08-21,2024-08-27,11.26,11.4,10200,4,1428000.0,849456.0,0.007381329702938705,fixed_horizon_exit
2024-08-28,2024-09-05,11.4,11.11,10200,4,-2958000.0,-3530526.0,-0.030301677347060265,fixed_horizon_exit
2024-09-06,2024-09-12,11.04,11.01,10200,4,-306000.0,-868122.0,-0.007693851427579623,fixed_horizon_exit
