date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2023-02-15,0.0022211747709661722,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-16,0.0006025128532201052,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-17,-0.002425410319119692,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-20,-0.00317525677382946,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-21,-0.009780865162611008,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-22,-0.003508996218442917,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-23,-0.003936259541660547,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-24,0.0032485525589436293,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-27,-1.677513137110509e-05,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-02-28,0.0031784658785909414,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-03-01,0.013553916476666927,0.005,BUY,6900,False,0,196788.0,0.00196788,1.00079212,1.00276,0.0007921200000000628,
2023-03-02,0.007075377739965916,0.005,HOLD,6900,False,1,0.0,0.0,0.98216212,0.98413,-0.01861525448461765,
2023-03-03,0.006154507864266634,0.005,HOLD,6900,True,2,0.0,0.0,0.99527212,0.99724,0.01334810183882884,
2023-03-06,0.00040610780706629157,0.005,HOLD,6900,True,3,0.0,0.0,1.06289212,1.06486,0.06794121792540508,
2023-03-07,-0.01946178637444973,0.005,SELL,0,True,0,329130.0,0.0032913,1.10790082,1.11316,0.04234550163002426,0.10944310537410452
2023-03-08,-0.01428010780364275,0.005,HOLD,0,False,0,0.0,0.0,1.10790082,1.11316,0.0,
2023-03-09,-0.0058192117139697075,0.005,HOLD,0,False,0,0.0,0.0,1.10790082,1.11316,0.0,
2023-03-10,-0.0014787170803174376,0.005,HOLD,0,False,0,0.0,0.0,1.10790082,1.11316,0.0,
2023-03-13,-0.0002908571914304048,0.005,HOLD,0,False,0,0.0,0.0,1.10790082,1.11316,0.0,
2023-03-14,0.00599170895293355,0.005,HOLD,0,False,0,0.0,0.0,1.10790082,1.11316,0.0,
