item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,102493000000.0,110000000.0,88765000000.0,66900000000.0,59352000000.0,23471000000.0,122398000000.0,79241000000.0,90223000000.0,-4819000000.0,105429000000.0,284972000000.0,117844000000.0,65282000000.0,111703000000.0,116160000000.0,144751000000.0,89818000000.0,97803000000.0,122972000000.0,106116000000.0,93252000000.0,143193000000.0,66746000000.0,164327000000.0,146360000000.0,226565000000.0,166521000000.0,305567000000.0,292557000000.0,306463000000.0,199638000000.0,330256000000.0,369027000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,0.0,-19827000000.0,-17592000000.0,-14068000000.0,0.0,-15618000000.0,-24468000000.0,-15727000000.0,0.0,-17138000000.0,-20859000000.0,-57167000000.0,0.0,-34936000000.0,-22320000000.0,-23665000000.0,0.0,-45135000000.0,-19147000000.0,-25277000000.0,-20766000000.0,-18516000000.0,-28063000000.0,-13584000000.0,-33201000000.0,-28473000000.0,-45765000000.0,-35513000000.0,-65087000000.0,-50613000000.0,-52674000000.0,-41514000000.0,-63625000000.0,-79434000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25400000000.0,0.0,25400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,0.0,-19827000000.0,-17592000000.0,-14068000000.0,0.0,-15618000000.0,-24468000000.0,-15727000000.0,0.0,-17138000000.0,-20859000000.0,-57167000000.0,0.0,-34936000000.0,-22320000000.0,-23665000000.0,0.0,-70535000000.0,-19147000000.0,123000000.0,-20766000000.0,-18516000000.0,-28063000000.0,-13584000000.0,-33201000000.0,-28473000000.0,-45765000000.0,-35513000000.0,-65087000000.0,-50613000000.0,-52674000000.0,-41514000000.0,-63625000000.0,-79434000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,102493000000.0,-19717000000.0,71173000000.0,52832000000.0,59352000000.0,7853000000.0,97930000000.0,63514000000.0,90223000000.0,-21957000000.0,84570000000.0,227805000000.0,117844000000.0,30346000000.0,89383000000.0,92495000000.0,144751000000.0,19283000000.0,78656000000.0,123095000000.0,85350000000.0,74736000000.0,115130000000.0,53162000000.0,131126000000.0,117887000000.0,180800000000.0,131008000000.0,240480000000.0,241944000000.0,253789000000.0,158124000000.0,266631000000.0,289593000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,102493000000.0,-19717000000.0,71173000000.0,52832000000.0,59352000000.0,7853000000.0,97930000000.0,63514000000.0,90223000000.0,-21957000000.0,84570000000.0,227805000000.0,117844000000.0,30346000000.0,89383000000.0,92495000000.0,144751000000.0,19283000000.0,78656000000.0,123095000000.0,85350000000.0,74736000000.0,115130000000.0,53162000000.0,131126000000.0,117887000000.0,180800000000.0,131008000000.0,240480000000.0,241944000000.0,253789000000.0,158124000000.0,266631000000.0,289593000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,410.0,-95.0,301.0,211.0,237.0,18.0,406.0,254.0,361.0,-118.0,324.0,-819.0,445.0,15.0,293.0,287.0,449.0,22.0,233.0,335.0,236.0,207.0,318.0,137.0,181.0,162.0,249.0,112.0,302.0,304.0,319.0,199.0,344.0,373.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,231749000000.0,235675000000.0,275490000000.0,303183000000.0,298944000000.0,303378000000.0,366928000000.0,392664000000.0,490271000000.0,234676000000.0,363912000000.0,1473665000000.0,397665000000.0,411109000000.0,468556000000.0,494202000000.0,708011000000.0,495598000000.0,636848000000.0,826298000000.0,865741000000.0,924252000000.0,1082858000000.0,1120768000000.0,1124546000000.0,1052270000000.0,1088922000000.0,1011041000000.0,1223751000000.0,1286929000000.0,1515885000000.0,1475405000000.0,1593694000000.0,2051558000000.0
