date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-03,0.001959932502359152,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,0.0024266433902084827,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-05,0.002163010649383068,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-06,0.002041543833911419,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-09,0.001777910627424717,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-10,0.001777910627424717,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-11,0.002163010649383068,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-12,0.002163010649383068,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-13,0.0013405772624537349,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-23,0.001751901931129396,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-24,0.001751901931129396,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-25,0.0025179744698107243,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-26,0.0010015838779509068,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-27,0.0010015838779509068,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-02,0.0010015838779509068,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-03,0.0010015838779509068,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-04,0.0017676565330475569,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-05,0.0008338135667145252,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-06,0.0017676565330475569,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-09,-5.1934621296823025e-06,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-10,0.003687886521220207,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-11,0.004286027979105711,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-12,0.0008202237659133971,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-13,0.000885167857632041,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-16,0.006948762107640505,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-17,0.005771365016698837,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-18,0.005507731810212135,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-19,0.007595933973789215,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-20,0.0106555987149477,0.005,BUY,7300,False,0,197100.0,0.001971,0.961529,0.9635,-0.03847100000000003,
2026-03-23,0.010534131899476051,0.005,HOLD,7300,False,1,0.0,0.0,0.979779,0.98175,0.018980186765037876,
2026-03-24,0.0106555987149477,0.005,HOLD,7300,True,2,0.0,0.0,1.027229,1.0292,0.04842928864570473,
2026-03-25,0.0106555987149477,0.005,HOLD,7300,True,3,0.0,0.0,1.030879,1.03285,0.003553248594033054,
2026-03-26,0.0106555987149477,0.005,SELL,0,True,0,313170.0,0.0031317,1.0532973,1.0584,0.02174678114502293,0.05397353441265617
2026-03-27,0.0106555987149477,0.005,BUY,7500,False,0,209250.0,0.0020925,1.0924548,1.09965,0.03717611352464312,
2026-03-30,0.0106555987149477,0.005,HOLD,7500,False,1,0.0,0.0,1.0699548,1.07715,-0.020595817785779347,
2026-03-31,0.0106555987149477,0.005,HOLD,7500,True,2,0.0,0.0,1.0399548,1.04715,-0.028038567610519594,
2026-04-01,0.002358828904107213,0.005,HOLD,7500,True,3,0.0,0.0,1.0362048,1.0434,-0.003605925949858535,
2026-04-02,0.0010428732493892312,0.005,SELL,0,True,0,299250.0,0.0029925,0.9994623,1.00965,-0.03545872398969774,-0.05135249214831985
2026-04-03,-7.802736945450306e-06,0.005,HOLD,0,False,0,0.0,0.0,0.9994623,1.00965,0.0,
2026-04-06,-0.0013562155654653907,0.005,HOLD,0,False,0,0.0,0.0,0.9994623,1.00965,0.0,
2026-04-07,-4.190660547465086e-05,0.005,HOLD,0,False,0,0.0,0.0,0.9994623,1.00965,0.0,
2026-04-08,0.000841800938360393,0.005,HOLD,0,False,0,0.0,0.0,0.9994623,1.00965,0.0,
2026-04-09,0.000841800938360393,0.005,HOLD,0,False,0,0.0,0.0,0.9994623,1.00965,0.0,
2026-04-10,0.001894827582873404,0.005,HOLD,0,False,0,0.0,0.0,0.9994623,1.00965,0.0,
2026-04-13,-4.190660547465086e-05,0.005,HOLD,0,False,0,0.0,0.0,0.9994623,1.00965,0.0,
2026-04-14,0.0010104161920025945,0.005,HOLD,0,False,0,0.0,0.0,0.9994623,1.00965,0.0,
2026-04-15,0.0012740493984892964,0.005,HOLD,0,False,0,0.0,0.0,0.9994623,1.00965,0.0,
