year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2699069,RATIO_TTM,FPT,2018,613554396,26566905346800.0,0.0,8.7630467058,1.9245976182,0.6986803404,9.5535771899,6.8293945632,0.2922991955,1.3977829515,1.5100191904,0.0353952864,0.3946482906,0.7993679377,0.2311204592,0.1121954873,49.3859686399,34.8165666461,32.6373216803,0.2512438556,0.0833733027,0.115349829,0.0955833507,1.4112428964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3170220362899.0,4242880876661.0,0.1635366381,129.519197432,7.5629509602,0.7993679377,0.0,,,,,,,0.0,
2018,2,2713910,RATIO_TTM,FPT,2018,613554396,25155730236000.0,0.0243902439,8.0738975063,2.1387875485,0.7497542675,8.9032332122,6.5361769675,0.3411362263,1.300807019,1.4080321812,0.0291571262,0.4592398917,0.8930549401,0.2298127561,0.117174098,53.8718371806,29.5458494097,32.9873584364,0.2718914107,0.0922235608,0.1343867588,0.1109643388,1.2659209195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3094281842034.0,4203137047230.0,0.1527107061,129.2799246721,6.4588054342,0.8930549401,0.0,,,,,,,0.0,
2018,3,2716011,RATIO_TTM,FPT,2018,613554396,26505549907200.0,0.0231481481,8.1434833081,2.2325216266,0.9217132799,9.2019958813,7.3809406585,0.2980629372,1.1913408723,1.3070021461,0.0213220029,0.495513872,0.9824389761,0.2354154541,0.1244352955,59.4661703199,23.1825635117,34.3245633155,0.3130500103,0.1094082093,0.1626731676,0.1345525551,1.1017608384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3146233015605.0,4313081825014.0,0.1485216357,130.4452581552,5.3563361905,0.9824389761,0.0,,,,,,,0.0,
2018,4,2717390,RATIO_TTM,FPT,2018,616621596,30553600081800.0,0.0201816347,11.6044385987,2.4435468424,1.3161975389,8.4735199955,8.371182923,0.2716550038,1.1809025594,1.2736762983,0.0248253163,0.4714501492,1.0140186822,0.187066446,0.0957024994,84.6044899697,30.5455943997,60.3178155698,0.3757669087,0.1344800371,0.1661790092,0.1393151402,0.8478786408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3121757296917.0,4286449299991.0,0.1435909114,188.9430933979,3.9475378281,1.0140186822,0.0,,,,,,,0.0,
2018,5,12237684,RATIO_YEAR,FPT,2018,616621596,30553600081800.0,0.0214592275,23.9168656242,4.5861469818,2.4636895059,15.9380840278,14.0514626212,0.2716550038,0.7163909787,1.2736762983,0.0248253163,0.4714501492,1.0140186822,0.187066446,0.0957024994,84.6044899697,30.5455943997,60.3178155698,0.3757669087,0.1344800371,0.1661790092,0.1393151402,0.8478786408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3121757296917.0,4286449299991.0,0.1435909114,188.9430933979,3.9475378281,1.0140186822,0.0,,,,,,,0.0,12237684.0
2019,1,2722807,RATIO_TTM,FPT,2019,678276312,32421607713600.0,0.0,11.8322510721,2.4770216743,1.3436642492,9.5882150198,8.745029054,0.2107300132,1.2158953271,1.3312048006,0.0223315656,0.4462818077,0.8508182178,0.187294231,0.0968427628,75.2463157299,35.0538579573,47.329648628,0.379078699,0.1352851504,0.1670955885,0.1396499119,0.855334178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3264328925656.0,4473307925781.0,0.1453089179,170.2132050254,3.9842143467,0.8508182178,0.0,,,,,,,0.0,
2019,2,2726340,RATIO_TTM,FPT,2019,678276312,39204370833600.0,0.0173010381,13.3380377083,2.9448058899,1.5385785117,12.3561323545,9.457146938,0.2182620296,1.1576186747,1.2644861151,0.017591052,0.4777655688,0.9218550717,0.1944310763,0.100209183,75.4485452815,35.0734300099,47.8432369596,0.3816324947,0.1422938097,0.168918868,0.1411561295,0.8716569725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3625774856174.0,4881708506520.0,0.1552347021,169.3529465925,3.96281366,0.9218550717,0.0,,,,,,,0.0,
2019,3,2730520,RATIO_TTM,FPT,2019,678276312,38322611628000.0,0.017699115,12.0830594228,2.8220254113,1.4434553356,11.9985839157,8.886838031,0.2097027003,1.1040154679,1.1965324619,0.0267999904,0.5324274127,0.9861279617,0.2030132131,0.1045045737,73.8301153437,33.5044744636,46.9001585643,0.3846213295,0.1480715672,0.1740917323,0.1456251458,0.876741122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3931184444566.0,5223017664979.0,0.1578555784,165.7958355842,3.8895550026,0.9861279617,0.0,,,,,,,0.0,
2019,4,2734211,RATIO_TTM,FPT,2019,681668102,34560572771400.0,0.0197238659,10.9693595133,2.4749405959,1.246910649,8.8214903769,7.7532410565,0.2144661235,1.0989127488,1.1786655898,0.0208204699,0.4680796054,0.9878319533,0.1986016686,0.0992965713,74.8943355596,29.5270730921,55.2913150771,0.386479959,0.1496137088,0.1682915618,0.1411306343,0.877796348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4146837205963.0,5501450664844.0,0.1681421008,168.8172084532,3.9578967666,0.9878319533,0.0,,,,,,,0.0,
2019,5,12245046,RATIO_YEAR,FPT,2019,681668102,34560572771400.0,0.0214592275,22.1147943947,4.5283990101,2.281023221,16.2162308309,12.2936748829,0.2144661235,0.6203875535,1.1786655898,0.0208204699,0.4680796054,0.9878319533,0.1986016686,0.0992965713,74.8943355596,29.5270730921,55.2913150771,0.386479959,0.1496137088,0.1682915618,0.1411306343,0.877796348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4146837205963.0,5501450664844.0,0.1681421008,168.8172084532,3.9578967666,0.9878319533,0.0,,,,,,,0.0,12245046.0
2020,1,2749001,RATIO_TTM,FPT,2020,783905110,34922972650500.0,0.0,10.6802569925,2.3692261841,1.2176324853,8.5918268349,7.6258056778,0.245704483,1.159708679,1.236096358,0.0441824114,0.5609376073,0.9520886482,0.1956760869,0.0996313385,70.6327087463,29.5469663498,45.9205706699,0.3854901833,0.1519415883,0.1689775803,0.1413739231,0.8775793069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4357843600253.0,5745180368768.0,0.1583495375,156.9871503723,3.9666706773,0.9520886482,0.0,,,,,,,0.0,
2020,2,2752459,RATIO_TTM,FPT,2020,783905110,41390189808000.0,0.0189393939,12.3415216618,2.7668582374,1.4354084978,7.8988598778,8.824492402,0.2460278533,1.1578845028,1.2344039429,0.0448662581,0.5794974526,1.005884623,0.1947649313,0.0981369059,69.0134717049,28.4684987356,45.5147646093,0.3884111784,0.1518992391,0.1717806757,0.1440190057,0.8464424442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4380034218058.0,5803294105067.0,0.1548870652,152.9886443354,3.9266060022,1.005884623,0.0,,,,,,,0.0,
2020,3,2754141,RATIO_TTM,FPT,2020,783905110,52521642370000.0,0.0149253731,15.8258042228,3.4868441615,1.7935340391,8.4943306986,10.6958229749,0.2321488713,1.1415481286,1.2113821796,0.0414196012,0.6055153763,1.0767077663,0.1876700821,0.0934613973,66.5792823303,27.5073314723,45.2009289893,0.3898369357,0.1495618708,0.1697427157,0.1414336334,0.8263781832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4379752442610.0,5828684472903.0,0.1500402395,148.6046881492,3.9804167683,1.0767077663,0.0,,,,,,,0.0,
2020,4,2757823,RATIO_TTM,FPT,2020,789114878,65496534874000.0,0.0120481928,18.3919782379,4.1459614557,2.1956304212,10.2640781964,12.3565715696,0.2095350786,1.0875346681,1.1452189168,0.0364295942,0.6847487291,1.2430973497,0.199859458,0.0941855175,69.6055950903,27.9071104707,55.370733354,0.3960274507,0.1543636558,0.1764460596,0.1482965411,0.7941168928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4604729678588.0,6095337155480.0,0.1469006608,159.7664896951,3.7736139338,1.2430973497,0.0,,,,,,,0.0,
2020,5,12249441,RATIO_YEAR,FPT,2020,789114878,65496534874000.0,0.0215053763,20.6078792304,4.6313697942,2.4441789218,11.5007141236,13.2830801422,0.2095350786,0.4896823159,1.1297232327,0.0364295942,0.6847487291,1.2430973497,0.199859458,0.0941855175,69.6055950903,27.9071104707,55.370733354,0.3960274507,0.1543636558,0.1764460596,0.1482965411,0.7941168928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4604729678588.0,6095337155480.0,0.1469006608,159.7664896951,3.7736139338,1.2430973497,0.0,,,,,,,0.0,12249441.0
2021,1,2761316,RATIO_TTM,FPT,2021,907469273,78133104405300.0,0.0,21.0479281538,4.6814369436,2.5379292535,13.0048694838,15.051003421,0.2247770130634308,1.1436351537704468,1.2149723768234253,0.0848611444234848,0.8352190256118774,1.25411057472229,0.1986926645040512,0.09247589111328125,62.291297912597656,28.87016487121582,45.79838943481445,0.3925783336162567,0.15048269927501678,0.17915332317352295,0.15059183537960052,0.770164430141449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4632784928768.0,6148557111296.0,0.1279441863298416,144.03465270996094,3.9348347187042236,1.25411057472229,0.0,,,,,,,0.0,
2021,3,2766952,RATIO_TTM,FPT,2021,907551649,79955300276900.0,0.0113507378,19.8599175213,4.7078132375,2.3782126916,15.0130068526,14.0960731119,0.2103721692,1.1085022892,1.1840134061,0.0894774814,0.8739300862,1.3737729673,0.2039699037,0.0884844578,60.3206451214,32.0270918192,45.1617816362,0.3883578864,0.1549308457,0.1791232716,0.1498389681,0.7411425578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5208761325183.0,6782810176201.0,0.136763133,144.6451343929,4.0231012043,1.3737729673,0.0,,,,,,,0.0,
2021,4,2765124,RATIO_TTM,FPT,2021,907551649,104368439635000.0,0.0086956522,24.0258423086,5.8173326389,2.9269896842,17.8451100002,17.0031297998,0.2103721692,1.1085022892,1.1840134061,0.0894774814,0.8739300862,1.3737729673,0.2039699037,0.0884844578,60.3206451214,32.0270918192,45.1617816362,0.3883578864,0.1549308457,0.1791232716,0.1498389681,0.7411425578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5208761325183.0,6782810176201.0,0.136763133,144.6451343929,4.0231012043,1.3737729673,0.0,,,,,,,0.0,
2021,5,12262888,RATIO_YEAR,FPT,2021,907551649,104368439635000.0,0.0260078023,16.0904068468,3.8906214,1.9572652758,11.9510931788,11.9661858417,0.1820444874,0.4132920387,1.1800089976,0.1072140292,0.938265176,1.5071424935,0.2167424308,0.0909003243,60.2733772777,25.0930897234,47.1495774312,0.3823054061,0.1518632427,0.1777255456,0.15001996,0.747278981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5415027516223.0,7058943201555.0,0.1304394203,137.620563446,3.8102163592,1.5071424935,0.0,,,,,,,0.0,12262888.0
2022,1,2770110,RATIO_TTM,FPT,2022,1097026572,90504692190000.0,0.0,19.3016588404,4.7014883596,2.3942287334,18.8145649595,15.0838897902,0.1820444874,1.1293609169,1.1800089976,0.1072140292,0.938265176,1.5071424935,0.2167424308,0.0909003243,60.2733772777,25.0930897234,47.1495774312,0.3823054061,0.1518632427,0.1777255456,0.15001996,0.747278981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5415027516223.0,7058943201555.0,0.1304394203,137.620563446,3.8102163592,1.5071424935,0.0,,,,,,,0.0,
2022,2,2777484,RATIO_TTM,FPT,2022,1097026572,80082939756000.0,0.0136986301,16.2049442826,4.0943398103,2.0400416513,16.8800262028,13.264402749,0.1716182096,1.1491377693,1.2217132483,0.0915113454,0.9338306335,1.404593247,0.223164695,0.0919584394,58.3054732692,30.1030767709,37.6861325284,0.3857113152,0.1486084623,0.1792324649,0.153725103,0.7343030372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5833705663176.0,7582533147723.0,0.1288527303,132.7481929968,3.9213986148,1.404593247,0.0,,,,,,,0.0,
2022,3,2779699,RATIO_TTM,FPT,2022,1097026572,87762125760000.0,0.0125,16.6715161989,4.4112021489,2.1056713484,14.6961003063,13.2881857747,0.1302289333,1.1527451052,1.2289931657,0.0865703425,0.762007896,1.29163753,0.228420619,0.0950511804,57.6943847975,29.3391240595,38.2071989644,0.3898819874,0.1493459784,0.1781552398,0.1539373676,0.755324685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6224580369248.0,8015842349776.0,0.1468530585,132.1107379415,3.8785732595,1.29163753,0.0,,,,,,,0.0,
2022,4,2783173,RATIO_TTM,FPT,2022,1097026572,87323315131200.0,0.0125628141,16.4103429545,4.1490721109,1.9841911453,17.2425017899,12.2950674214,0.2626375232,1.1815069652,1.2616739557,0.0582829731,0.4883307418,1.0369991223,0.227053325,0.1008104799,58.8934088341,25.4583395255,41.3039624886,0.3900809562,0.1543883258,0.1741050941,0.147498594,0.8355048736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6794557295869.0,8627621794997.0,0.1800440751,128.717012179,3.9238599532,1.0369991223,0.0,,,,,,,0.0,
