item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,4756965340838.0,5479349328640.0,6047729557924.0,6975082049864.0,5672126363409.0,6834181383787.0,7138804848615.0,8146869581144.0,6645014371789.0,6997263488982.0,7578691043196.0,8700729240329.0,7605674678535.0,8625504443301.0,8687049614341.0,10714772437502.0,9731832420600.0,10096707659064.0,11148779552748.0,13053462794764.0,11683021258544.0,12484515133084.0,13761831884948.0,14695806584757.0,14093297397476.0,15245892288520.0,15972397069700.0,17651065378939.0,16064980391264.0,16658335760739.0,17225507121683.0,20258865670867.0,12485836704352.0,13810340987151.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-6196729221.0,-5086604540.0,-11670624489.0,-22635461291.0,-5646747345.0,-8262859189.0,-34430711072.0,-26681706948.0,-14449460351.0,-17260990645.0,-25562539124.0,-34024627352.0,-19347008581.0,16202841520.0,38122342631.0,-10716804222.0,-1578576209.0,-647568105.0,-220532395.0,-11036523655.0,-1642375241.0,-150868182.0,-86909091.0,-5393881434.0,-368983777.0,-665872500.0,-69575353943.0,-43247573048.0,-6839448804.0,-33622720672.0,-20985896381.0,-33415777986.0,-5839497577.0,-21837525952.0
Doanh thu thuần,Net sales,net_sales,4750768611617.0,5474262724100.0,6036058933435.0,6952446588573.0,5666479616064.0,6825918524598.0,7104374137543.0,8120187874196.0,6630564911438.0,6980002498337.0,7553128504072.0,8666704612977.0,7586327669954.0,8641707284821.0,8725171956972.0,10704055633280.0,9730253844391.0,10096060090959.0,11148559020353.0,13042426271109.0,11681378883303.0,12484364264902.0,13761744975857.0,14690412703323.0,14092928413699.0,15245226416020.0,15902821715757.0,17607817805891.0,16058140942460.0,16624713040067.0,17204521225302.0,20225449892881.0,12479997206775.0,13788503461199.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-2895208284813.0,-3473590126697.0,-3740388690646.0,-4381235841117.0,-3387149316396.0,-4247788982478.0,-4321648868311.0,-5049159596679.0,-4006186532912.0,-4258247824386.0,-4554350312294.0,-5195783662734.0,-4691800715286.0,-5201526141916.0,-5474243222947.0,-6609687457941.0,-5776932551838.0,-6253371741649.0,-6789073328096.0,-7801152486947.0,-7113499882609.0,-7850539957865.0,-8265376008841.0,-9058549143162.0,-8582462733612.0,-9593869093122.0,-9743866051351.0,-11230248103366.0,-9756793038194.0,-10603672997092.0,-10685654746292.0,-13178174806719.0,-8235107316087.0,-9509874280985.0
Lợi nhuận gộp,Gross Profit,gross_profit,1855560326804.0,2000672597403.0,2295670242789.0,2571210747456.0,2279330299668.0,2578129542120.0,2782725269232.0,3071028277517.0,2624378378526.0,2721754673951.0,2998778191778.0,3470920950243.0,2894526954668.0,3440181142905.0,3250928734025.0,4094368175339.0,3953321292553.0,3842688349310.0,4359485692257.0,5241273784162.0,4567879000694.0,4633824307037.0,5496368967016.0,5631863560161.0,5510465680087.0,5651357322898.0,6158955664406.0,6377569702525.0,6301347904266.0,6021040042975.0,6518866479010.0,7047275086162.0,4244889890688.0,4278629180214.0
Doanh thu hoạt động tài chính,Financial income,financial_income,153492560984.0,112699870321.0,124076383785.0,216866279123.0,153577698004.0,164115058319.0,165793907640.0,206123383314.0,178339694711.0,202241950450.0,218188627566.0,223126152055.0,325440423279.0,240540286743.0,332266541305.0,372542134940.0,415786301903.0,506153596907.0,549704414876.0,526329659816.0,676476546426.0,623044115643.0,516203046415.0,520345470835.0,457092979986.0,569292544523.0,326689006856.0,582674583940.0,573331893191.0,1237012067887.0,613110473502.0,553701922193.0,415863869179.0,582702088944.0
Chi phí tài chính,Financial expenses,financial_expenses,-142295399439.0,-70016554956.0,-66603046663.0,-89173349173.0,-121303122605.0,-204225331566.0,-130422355652.0,-171720224922.0,-181045734457.0,-106159096432.0,-108899945949.0,-152060434779.0,-141136993354.0,-361830175777.0,-272888215242.0,-366884116683.0,-267572525432.0,-336841342151.0,-413926492214.0,-644381295008.0,-496815340139.0,-287498451679.0,-406428287129.0,-527556384763.0,-334065273301.0,-337927906368.0,-308178806879.0,-831375395433.0,-311343769364.0,-531385256080.0,-352575079871.0,-476744596151.0,-367211384721.0,-300452278414.0
Chi phí lãi vay,Interest expenses,interest_expenses,-46408615422.0,-55088753336.0,-62035657522.0,-74811405467.0,-72702857836.0,-72389484923.0,-100505919296.0,-120746859238.0,-99625907809.0,-101366297422.0,-85791923680.0,-98553625985.0,-99817213604.0,-124530447801.0,-120148949616.0,-138051289994.0,-145819741163.0,-176780202333.0,-166542329315.0,-156583283497.0,-147985668274.0,-212364005360.0,-265654864395.0,-206644073232.0,-137833720086.0,-150125422101.0,-128825950601.0,-134854268998.0,-152389538333.0,-216761295705.0,-233582914481.0,-207025852637.0,-179461207664.0,-212582739626.0
Chi phí bán hàng,Selling expenses,selling_expenses,-422707405722.0,-451959254396.0,-507534958450.0,-665496334471.0,-488586048888.0,-566455497992.0,-559023139084.0,-727169234250.0,-620220561506.0,-683173737264.0,-627451667728.0,-858582754238.0,-852114921328.0,-829919009383.0,-804023830463.0,-1225942020370.0,-1007092497146.0,-1013823056754.0,-1131402372888.0,-1481341041915.0,-1101871534159.0,-1238296534096.0,-1434174354947.0,-1316156285395.0,-1368948625743.0,-1588212329172.0,-1563862943636.0,-1594938073232.0,-1828785929282.0,-1790295896888.0,-1916582832643.0,-2026995981641.0,-1002337155317.0,-1149052845981.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-770426481175.0,-829766036904.0,-900927435586.0,-1057696129042.0,-980588763923.0,-931280807507.0,-1031084693003.0,-1309144643796.0,-954039290004.0,-935997082261.0,-1178990862353.0,-1355121201405.0,-961763590894.0,-1115156026481.0,-1071115122466.0,-1406871909119.0,-1530572234992.0,-1248160216741.0,-1461418832201.0,-1761816901184.0,-1592492464630.0,-1475558757945.0,-1773504449852.0,-1979944371544.0,-1823471776014.0,-1712658095576.0,-1807957864952.0,-1729950878232.0,-1877437056836.0,-1913677311579.0,-1647276732839.0,-1898934296550.0,-1210282662926.0,-1282590328398.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,771385943104.0,879551998573.0,1057301204429.0,1086434591271.0,937234021911.0,1164535589481.0,1347402673251.0,1135574754296.0,1127536485672.0,1268042508885.0,1369402467106.0,1423198361419.0,1380037491735.0,1523659692592.0,1583035594235.0,1739745644406.0,1772700579087.0,1836170115757.0,1993657541909.0,1978262144383.0,2096933282136.0,2189766371273.0,2438361031885.0,2386698290464.0,2515527123032.0,2640452963597.0,2948226004570.0,2920874681756.0,2993843378813.0,3129408582030.0,3346375732746.0,3482048271187.0,2747763827050.0,2885793042568.0
