entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2024-08-26,2024-08-30,138.67,139.05,700,4,266000.0,-220143.0,-0.002263375462963163,fixed_horizon_exit
2024-09-04,2024-09-10,139.05,137.53,700,4,-1064000.0,-1547483.0,-0.01586679212592435,fixed_horizon_exit
2024-09-11,2024-09-17,137.68,136.99,700,4,-483000.0,-963431.0,-0.009976633021000417,fixed_horizon_exit
2024-09-18,2024-09-24,136.99,136.08,700,4,-637000.0,-1114554.0,-0.011599692796318452,fixed_horizon_exit
2024-09-25,2024-10-01,135.62,134.86,700,4,-532000.0,-1005074.0,-0.01056594965208942,fixed_horizon_exit
2024-10-02,2024-10-08,134.48,134.94,700,4,322000.0,-149646.0,-0.0015865057511390069,fixed_horizon_exit
2024-10-09,2024-10-15,134.86,135.62,700,4,532000.0,58394.0,0.0006173327377574674,fixed_horizon_exit
2024-10-16,2024-10-22,135.16,131.05,700,4,-2876999.999999985,-3341428.999999985,-0.035246686266413446,fixed_horizon_exit
2024-10-23,2024-10-29,130.9,130.44,600,4,-276000.0,-667872.0,-0.00848661729253487,fixed_horizon_exit
2024-10-30,2024-11-05,131.2,131.43,600,4,138000.0,-256014.0,-0.0032457189279976634,fixed_horizon_exit
2024-11-06,2024-11-12,131.36,127.32,600,4,-2424000.0,-2810808.0,-0.03559172762878628,fixed_horizon_exit
2024-11-13,2024-11-19,127.32,125.72,600,4,-960000.0,-1339080.0,-0.017494072489642142,fixed_horizon_exit
2024-11-20,2024-11-26,125.72,132.27,600,4,3930000.0,3541050.0,0.046849905026091626,fixed_horizon_exit
2024-11-27,2024-12-03,131.89,136.38,600,4,2694000.0,2290248.0,0.028883623306121098,fixed_horizon_exit
2024-12-04,2024-12-10,136.23,138.29,600,4,1236000.0,823602.0,0.010056009247012838,fixed_horizon_exit
2024-12-11,2024-12-17,138.36,141.64,600,4,1968000.0,1547016.0,0.01859795875147652,fixed_horizon_exit
2024-12-18,2024-12-24,139.81,139.81,600,4,0.0,-419430.0,-0.00499001996007984,fixed_horizon_exit
2024-12-25,2024-12-31,139.58,142.33,600,4,1650000.0,1226310.0,0.014613629883090961,fixed_horizon_exit
2025-01-02,2025-01-08,142.86,140.57,600,4,-1374000.0,-1798458.0,-0.020939710946300035,fixed_horizon_exit
2025-01-09,2025-01-15,140.19,140.42,600,4,138000.0,-282984.0,-0.0033575761665911347,fixed_horizon_exit
2025-01-16,2025-01-22,140.65,151.24,600,4,6354000.0,5912988.0,0.06992754625835425,fixed_horizon_exit
2025-01-23,2025-02-05,152.38,143.24,600,4,-5484000.0,-5924688.0,-0.06467233533982042,fixed_horizon_exit
2025-02-06,2025-02-12,144.23,144.76,600,4,318000.0,-115644.0,-0.0013336704528957755,fixed_horizon_exit
2025-02-13,2025-02-19,145.53,143.62,600,4,-1146000.0,-1579152.0,-0.01804897042992281,fixed_horizon_exit
2025-02-20,2025-02-26,143.62,140.57,600,4,-1830000.0,-2255370.0,-0.026120645493583228,fixed_horizon_exit
2025-02-27,2025-03-05,140.5,138.67,600,4,-1098000.0,-1516206.0,-0.017949936426080223,fixed_horizon_exit
2025-04-10,2025-04-16,108.12,108.95,800,4,664000.0,229528.0,0.002648328943297275,fixed_horizon_exit
2025-04-17,2025-04-23,109.72,128.08,800,4,14688000.000000015,14205056.000000015,0.16151000951069078,fixed_horizon_exit
2025-04-25,2025-05-06,125.41,131.96,800,4,5240000.0,4722640.0,0.04697804773198201,fixed_horizon_exit
2025-05-07,2025-05-13,131.96,133.34,800,4,1104000.0,572848.0,0.0054155102949602464,fixed_horizon_exit
2025-07-08,2025-07-14,142.17,143.93,700,4,1232000.0,730709.0,0.007327751474612848,fixed_horizon_exit
2025-07-18,2025-07-24,144.76,150.48,700,4,4004000.0,3485328.0,0.03432648381049451,fixed_horizon_exit
2025-07-25,2025-07-31,150.48,147.15,700,4,-2331000.0,-2850687.0,-0.027008781480101995,fixed_horizon_exit
2025-08-01,2025-08-07,146.57,144.29,700,4,-1596000.0,-2104207.0,-0.020468103841440405,fixed_horizon_exit
