item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,4033672501176.0,3786391142602.0,3725610394363.0,4421774930725.0,4119016675693.0,4078674874439.0,4509670882097.0,4281594113848.0,4141484039783.0,3246782503535.0,3459135307901.0,3957701485002.0,4691663774913.0,4381599886916.0,5019530159014.0,8526711600207.0,7812554814796.0,6237039893673.0,7736201879408.0,8490914208402.0,7787292450606.0,7200294097364.0,8265642407244.0,8722384641151.0,9067798718464.0,9271968644263.0,10409521466747.0,11492340452585.0,11699603508367.0,11425724005809.0,13147235158901.0,14959486967490.0,15161533505512.0,15672972277033.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-149365873284.0,-222545410011.0,-172943513295.0,-155970750495.0,-101362233561.0,-93499100134.0,-85418264638.0,-74717200582.0,-48516813098.0,-42570317932.0,-26964568754.0,-20483802760.0,-26678247905.0,-22303764374.0,-26271611785.0,-49290388904.0,-26918551329.0,-23843488885.0,-27053762998.0,-33094236397.0,-34423987774.0,-29480018263.0,-29690355694.0,-32369617914.0,-26143511710.0,-32458501461.0,-33842435041.0,-44692302663.0,-29758054020.0,-35379342822.0,-37318397949.0,-46725401008.0,-44624414782.0,-46972007451.0
Doanh thu thuần,Net sales,net_sales,3884306627892.0,3563845732591.0,3552666881068.0,4265804180230.0,4017654442132.0,3985175774305.0,4424252617459.0,4206876913266.0,4092967226685.0,3204212185603.0,3432170739147.0,3937217682242.0,4664985527008.0,4359296122542.0,4993258547229.0,8477421211303.0,7785636263467.0,6213196404788.0,7709148116410.0,8457819972005.0,7752868462832.0,7170814079101.0,8235952051550.0,8690015023237.0,9041655206754.0,9239510142802.0,10375679031706.0,11447648149922.0,11669845454347.0,11390344662987.0,13109916760952.0,14912761566482.0,15116909090730.0,15626000269582.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3395908659764.0,-3066210124842.0,-3057907171462.0,-3703002842354.0,-3538305298456.0,-3441223765938.0,-3869543153074.0,-3695763821769.0,-3529435646990.0,-2741202734059.0,-2955945062698.0,-3398539598104.0,-4079497989907.0,-3754373404973.0,-4298601407879.0,-7210975343723.0,-6552878920893.0,-5269999737649.0,-6512534168606.0,-7127210550265.0,-6566487926207.0,-6089480457291.0,-6864645329325.0,-7167392446231.0,-7234315234523.0,-7428520238832.0,-8485409054180.0,-9373187059702.0,-9345344170911.0,-9119245339487.0,-10570480925388.0,-12038093550897.0,-12121981259843.0,-12465247611789.0
Lợi nhuận gộp,Gross Profit,gross_profit,488397968128.0,497635607749.0,494759709606.0,562801337876.0,479349143676.0,543952008367.0,554709464385.0,511113091497.0,563531579695.0,463009451544.0,476225676449.0,538678084138.0,585487537101.0,604922717569.0,694657139350.0,1266445867580.0,1232757342574.0,943196667139.0,1196613947804.0,1330609421740.0,1186380536625.0,1081333621810.0,1371306722225.0,1522622577006.0,1807339972231.0,1810989903970.0,1890269977526.0,2074461090220.0,2324501283436.0,2271099323500.0,2539435835564.0,2874668015585.0,2994927830887.0,3160752657793.0
Doanh thu hoạt động tài chính,Financial income,financial_income,10039381400.0,7812781199.0,8445430279.0,16568624371.0,9553795373.0,14613844640.0,24832032447.0,31741419848.0,23424409854.0,15769018450.0,13334860110.0,18020220309.0,32514672680.0,48938004162.0,52715365660.0,63412939667.0,50469467254.0,44029492034.0,45107410173.0,34140128381.0,16544379251.0,9500831018.0,21296100900.0,32916313358.0,25258430458.0,19212815963.0,26144077215.0,36297974502.0,37867028926.0,62203017431.0,83164889763.0,104529805659.0,141720888275.0,170881500481.0
Chi phí tài chính,Financial expenses,financial_expenses,-25800946505.0,-26427344905.0,-18958651617.0,-29385874925.0,-34804043647.0,-32917771276.0,-39285574761.0,-43648360414.0,-51678883602.0,-41862091790.0,-21868389075.0,-18201622457.0,-27456309617.0,-34492956138.0,-38116670842.0,-46179553095.0,-54657102810.0,-60606782472.0,-63437281890.0,-77618363820.0,-86375871735.0,-76239325755.0,-65328866643.0,-64318495317.0,-60630739879.0,-54683780014.0,-59533018577.0,-78945085083.0,-88652946810.0,-93661543757.0,-99878828439.0,-106489868745.0,-149784564806.0,-210504623826.0
Chi phí lãi vay,Interest expenses,interest_expenses,-22338766505.0,-21746894905.0,-23381571528.0,-28203274925.0,-32165243647.0,-30465911276.0,-35035276676.0,-40207790657.0,-44337261459.0,-32969342623.0,-20978331458.0,-16550160453.0,-20429624172.0,-34997277074.0,-36834001230.0,-39968274285.0,-46336598711.0,-48999379168.0,-60488767728.0,-75703159202.0,-85392975060.0,-72775999745.0,-62847983566.0,-63900415235.0,-60442704271.0,-54565750239.0,-59532523977.0,-78887852765.0,-88583551190.0,-93659853494.0,-99878724220.0,-106473793465.0,-149775192055.0,-210142043503.0
Chi phí bán hàng,Selling expenses,selling_expenses,-306802964530.0,-337231513639.0,-309632482502.0,-298631643303.0,-313297522398.0,-335822030856.0,-353821582872.0,-405464020005.0,-390743399507.0,-362893987160.0,-388324633962.0,-417514003563.0,-420911537868.0,-467711739129.0,-443603370397.0,-734919088949.0,-732369557300.0,-775221298075.0,-865250901647.0,-886455840659.0,-913156107116.0,-960626754205.0,-1029100634591.0,-1266785303160.0,-1380389454377.0,-1361854674621.0,-1319828226072.0,-1465138634655.0,-1588176219469.0,-1660264728160.0,-1789875275186.0,-1979890023211.0,-1998431032175.0,-2115263328605.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-92807251491.0,-46541511055.0,-82470124090.0,-108982072905.0,-66060916433.0,-77080236509.0,-102357311648.0,-114416361750.0,-101989670704.0,-96710086690.0,-92554958451.0,-113332358140.0,-131890068397.0,-116704660493.0,-206581025979.0,-134331742514.0,-293643992434.0,-95858178559.0,-210175932537.0,-287660781126.0,-205361136774.0,-256147066909.0,-296758174980.0,-318212427056.0,-302491919959.0,-320141297329.0,-337801765639.0,-405398867143.0,-418474686684.0,-373675482496.0,-410557487570.0,-475036963022.0,-522133726412.0,-447031646793.0
