item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
LỢI NHUẬN TRƯỚC THUẾ,NET PROFIT/(LOSS) BEFORE TAX,net_profit_loss_before_tax,105615773366.0,184445014063.0,164302317602.0,88603960896.0
Khấu hao tài sản cố định,Depreciation and amortization,depreciation_and_amortization,3264704258.0,3232866679.0,3593685937.0,3719654950.0
Các khoản dự phòng,Provisions,provisions,7750000.0,0.0,2615000.0,0.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,0.0,0.0,0.0,0.0
"Lãi, lỗ hoạt động đầu tư",Profit/(loss) from investing activities,profit_loss_from_investing_activities,-2046296.0,0.0,0.0,-74373685.0
Chi phí lãi vay,Interest expense,interest_expense,0.0,0.0,0.0,0.0
Dự thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,-39956979584.0,-14127047133.0,-53129719028.0,17589404463.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Operating profit/(loss) before changes in WC,operating_profit_loss_before_changes_in_wc,1692683140576.0,-1937287922697.0,1509266740939.0,-2146373272373.0
"(-) Tăng, (+) giảm các khoản phải thu khác",Increase/(decrease) in receivables,increase_decrease_in_receivables,-1108913673.0,-2577192502.0,-1189780586.0,303903739.0
Tăng/giảm hàng tồn kho (Trước năm 2016),Increase/(decrease) in inventories (Before 2016),increase_decrease_in_inventories_before_2016,0.0,0.0,0.0,0.0
"(+) Tăng, (-) giảm các khoản phải trả, phải nộp khác",(Increase)/decrease in payables,increase_decrease_in_payables,-4287911374.0,-494074174956.0,-599816197193.0,1098313817502.0
Tăng/giảm chi phí trả trước,Increase/(decrease) in prepaid expenses,increase_decrease_in_prepaid_expenses,798331258.0,-617345905.0,-97752847.0,1791968991.0
Tiền lãi vay đã trả,Interest paid,interest_paid,0.0,0.0,0.0,0.0
Thuế TNDN CTCK đã nộp,Business Income Tax paid,business_income_tax_paid,-24529958144.0,-54735285838.0,-15000000000.0,-24073651907.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,other_receipts_from_operating_activities,370000.0,0.0,0.0,779290770.0
Tiền chi khác cho hoạt động kinh doanh,Other payments on operating activitie,other_payments_on_operating_activitie,-518744610.0,-34153108019.0,-6732554.0,-329538896.0
Lưu chuyển thuần từ hoạt động kinh doanh,Net cash inflows/(outflows) from operating activities,net_cash_inflows_outflows_from_operating_activities,1805838766470.0,-1825532312432.0,1688957089302.0,-1957689131975.0
"Tiền chi để mua sắm, xây dựng TSCĐ, BĐSĐT và các tài sản dài hạn khác",Purchases of fixed assets and other long term assets,purchases_of_fixed_assets_and_other_long_term_assets,-1637410656.0,-3057793200.0,-315693800.0,-354456000.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ, BĐSĐT và các tài sản dài hạn khác",Proceeds from disposal of fixed assets,proceeds_from_disposal_of_fixed_assets,2046296.0,0.0,0.0,91902089.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác (Trước năm 2016)","Loans granted, purchases of debt instruments (Before 2016)",loans_granted_purchases_of_debt_instruments_before_2016,0.0,0.0,0.0,0.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Trước năm 2016)","Collection of loans, proceeds from sales of debts instruments (Before 2016)",collection_of_loans_proceeds_from_sales_of_debts_instruments_before_2016,0.0,0.0,0.0,0.0
"Tiền chi đầu tư góp vốn vào công ty con, công ty liên doanh, liên kết và đầu tư khác",Investments in other entities,investments_in_other_entities,0.0,0.0,0.0,0.0
"Tiền thu hồi các khoản đầu tư góp vốn vào công ty con, công ty liên doanh, liên kết và đầu tư khác",Proceeds from divestment in other entities,proceeds_from_divestment_in_other_entities,0.0,0.0,0.0,0.0
Tiền thu về cổ tức lợi nhuận được chia từ các khoản đầu tư tài chính dài hạn,Dividends and interest received,dividends_and_interest_received,0.0,0.0,0.0,0.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash inflows/(outflows) from investing activities,net_cash_inflows_outflows_from_investing_activities,-1635364360.0,-3057793200.0,-315693800.0,-262553911.0
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",Proceeds from issue of shares,proceeds_from_issue_of_shares,0.0,0.0,0.0,0.0
