year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2697892,RATIO_TTM,FPTS,2018,109313640,1448405730000.0,0.0,7.021379385,0.8149681251,3.9429673122,-8.27335347,6.5072708616,0.462400091,3.1418905678,3.1418905678,0.0,0.0789131278,0.40925716,0.1350559,0.1159961934,0.0,0.0,1.4156648956,0.7314103433,0.6095573523,0.6919082405,0.5615653401,0.2065586764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223914197593.0,234704637506.0,0.1284500349,13.7329128078,2.0419309782,0.40925716,0.0,,,,,,,0.0,
2018,2,2713530,RATIO_TTM,FPTS,2018,109313560,1847399164000.0,0.0,8.2234806515,1.1492642046,4.5839870522,-3.7955013575,9.1238771574,0.3188446496,3.2977054755,3.2977054755,0.0,0.3516722685,0.3816884191,0.143393055,0.1149547531,0.0,0.0,1.3146814405,0.7225529236,0.609272109,0.6877181088,0.5574257974,0.2062243148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245543622176.0,256341888749.0,0.1130098743,13.6163540781,2.2608958362,0.3816884191,0.0,,,,,,,0.0,
2018,3,2715233,RATIO_TTM,FPTS,2018,109313434,1792740317600.0,0.0,7.7031872065,1.0826849463,4.2413470733,1353.6665704777,6.577348521,0.5394274362,2.4320042105,2.4320042105,0.0,0.2881941413,0.6141543347,0.1447353812,0.1038127713,0.0,0.0,0.9170872629,0.7126890573,0.5989841696,0.679616421,0.5505958411,0.1885462322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253179721421.0,264247979095.0,0.1186949688,12.8991954977,2.37901378,0.6141543347,0.0,,,,,,,0.0,
2018,4,2716772,RATIO_TTM,FPTS,2018,109313374,1830999014500.0,0.0,3.7368954896,0.9270052638,2.6336066743,-58.253856719,4.0208099535,1.3803574078,4.3582397062,4.3582397062,0.0,0.2415986619,0.2665768925,0.2777685321,0.2279943828,0.0,0.0,1.2356071394,0.8045685914,0.7318864691,0.7809512505,0.7047599395,0.3235064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508839614004.0,520263173212.0,0.2074883745,8.397189787,3.9263896622,0.2665768925,0.0,,,,,,,0.0,
2018,5,12237689,RATIO_YEAR,FPTS,2018,109313374,1830999014500.0,0.0087873462,13.3420787691,3.1490597627,8.9464268784,-197.8892207349,11.9921880093,1.3803574078,1.407028571,4.3582397062,0.0,0.2415986619,0.2665768925,0.2777685321,0.2279943828,0.0,0.0,1.2356071394,0.8045685914,0.7318864691,0.7809512505,0.7047599395,0.3235064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508839614004.0,520263173212.0,0.2074883745,8.397189787,3.9263896622,0.2665768925,0.0,,,,,,,0.0,12237689.0
2019,1,2723447,RATIO_TTM,FPTS,2019,120243678,1587216549600.0,0.0,2.994637257,0.7726192709,2.1964264052,-12.6204045162,3.3023555168,1.3517027042,6.7035253131,6.7035253131,0.0,0.1361513085,0.157901112,0.2907087438,0.216905764,0.0,0.0,0.4318893755,0.8282603547,0.7580856297,0.7982064055,0.7334539337,0.2957319527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547819883531.0,559629897816.0,0.2347096638,7.323561232,4.1223585784,0.157901112,0.0,,,,,,,0.0,
2019,2,2725449,RATIO_TTM,FPTS,2019,120243548,1376788624600.0,0.0,2.4034965236,0.6550398182,1.8334900056,4.8358412422,2.7666407123,1.3799054061,5.6504301018,5.6504301018,0.0,0.1720873473,0.1940609807,0.2942418004,0.2276987529,0.0,0.0,0.4523420679,0.8450278205,0.7767312826,0.8199307356,0.7628438853,0.2984866986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583256407700.0,595546106640.0,0.236755443,6.3802508303,4.3024472314,0.1940609807,0.0,,,,,,,0.0,
2019,3,2731369,RATIO_TTM,FPTS,2019,120243453,1436909263350.0,0.0,2.6341423389,0.6768705127,1.9855387071,-5.7110049317,2.975273727,1.2097963597,6.8128932371,6.8128932371,0.0,0.134958697,0.155683066,0.2643472853,0.2216667509,0.0,0.0,0.5208601717,0.8417602986,0.7688920716,0.8114390573,0.7537718431,0.2940767196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556437472749.0,569023907128.0,0.2309471263,6.0754785725,4.1962214702,0.155683066,0.0,,,,,,,0.0,
2019,4,2734116,RATIO_TTM,FPTS,2019,132266857,2400643454550.0,0.0275482094,10.1841944101,1.1371951784,6.2089033389,-9.3583816746,11.3139356336,1.2617300786,5.6348801876,5.6348801876,0.0,0.1712441122,0.1954660719,0.1048875974,0.0852856018,0.0,0.0,1.0195688664,0.7217743851,0.5871331432,0.6600959749,0.5542437226,0.1538774338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227012285462.0,239723979962.0,0.09181408,12.02156478,2.2642598495,0.1954660719,0.0,,,,,,,0.0,
2019,5,12245048,RATIO_YEAR,FPTS,2019,132266857,2400643454550.0,0.0087873462,35.0839687975,3.241031202,17.6955107038,-29.3383976466,29.838927027,1.2617300786,1.2841847489,5.6348801876,0.0,0.1712441122,0.1954660719,0.1048875974,0.0852856018,0.0,0.0,1.0195688664,0.7217743851,0.5871331432,0.6600959749,0.5542437226,0.1538774338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227012285462.0,239723979962.0,0.09181408,12.02156478,2.2642598495,0.1954660719,0.0,,,,,,,0.0,12245048.0
2020,1,2748348,RATIO_TTM,FPTS,2020,132267147,1732699625700.0,0.0,122.7301800512,0.8604185229,9.2269441731,3.2509701865,50.6428600693,5.3916401449,24.4812417156,24.4812417156,0.0,0.0248288425,0.0384534825,0.0067634751,0.0058960064,0.0,0.0,0.6699890155,0.4226144744,0.1438538035,0.2943860775,0.0751806395,0.078424531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27013865776.0,39408045882.0,0.0130894641,17.7913004135,1.1156250054,0.0384534825,0.0,,,,,,,0.0,
