entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2023-05-24,2023-05-30,16.44,16.56,6000,4,720000.0,224640.0,0.0022728266095546133,fixed_horizon_exit
2023-05-31,2023-06-06,16.56,16.78,6000,4,1320000.0,819240.0,0.008228711658807989,fixed_horizon_exit
2023-07-14,2023-07-20,18.29,18.29,5500,4,0.0,-502975.0,-0.00499001996007984,fixed_horizon_exit
2023-08-01,2023-08-07,18.37,18.68,5400,4,1674000.0,1172988.0,0.011801111983979781,fixed_horizon_exit
2023-08-08,2023-08-14,18.71,18.57,5400,4,-756000.0,-1258902.0,-0.012435311098807196,fixed_horizon_exit
2023-08-17,2023-08-23,18.6,18.03,5300,4,-3021000.0,-3504837.0,-0.03548226128388385,fixed_horizon_exit
2023-08-24,2023-08-30,18.03,21.38,5300,4,17755000.0,17223940.0,0.17988426917656644,fixed_horizon_exit
2023-08-31,2023-09-08,21.83,24.27,5200,4,12688000.0,12082356.0,0.10622502132702072,fixed_horizon_exit
2023-09-11,2023-09-15,24.04,25.15,5200,4,5772000.0,5129644.0,0.04095262054925092,fixed_horizon_exit
2023-09-18,2023-09-22,25.15,21.21,5200,4,-20488000.0,-21080436.0,-0.1608683229961548,fixed_horizon_exit
2023-09-27,2023-10-03,22.88,24.92,4800,4,9792000.0,9213504.0,0.08372590483368926,fixed_horizon_exit
2023-10-04,2023-10-10,24.92,26.19,4700,4,5969000.0,5365473.0,0.045718755106160074,fixed_horizon_exit
2023-10-11,2023-10-17,26.31,23.53,4700,4,-13066000.0,-13645087.0,-0.11012600416802275,fixed_horizon_exit
2023-10-18,2023-10-24,23.53,22.45,4700,4,-5076000.0,-5613727.0,-0.050659836298503715,fixed_horizon_exit
2023-10-25,2023-10-31,21.89,19.28,4800,4,-12528000.0,-13015776.0,-0.12362757354181542,fixed_horizon_exit
2023-11-10,2023-11-16,22.68,23.22,4000,4,2160000.0,1699920.0,0.01870069385039445,fixed_horizon_exit
2023-11-17,2023-11-23,22.62,23.81,4100,4,4879000.0,4400653.0,0.047355774745822234,fixed_horizon_exit
2023-11-24,2023-11-30,23.81,24.32,4100,4,2091000.0,1596622.0,0.016322667558624875,fixed_horizon_exit
2023-12-01,2023-12-07,24.95,23.93,4000,4,-4080000.0,-4566760.0,-0.04566778267113068,fixed_horizon_exit
2023-12-08,2023-12-14,23.93,24.1,3900,4,663000.0,194376.0,0.0020785841605547783,fixed_horizon_exit
2023-12-15,2023-12-21,24.13,24.95,3900,4,3198000.0,2717871.0,0.02882300049714082,fixed_horizon_exit
2023-12-22,2023-12-28,24.92,25.32,3900,4,1560000.0,1069380.0,0.010981247777318556,fixed_horizon_exit
2023-12-29,2024-01-05,25.49,24.89,3900,4,-2340000.0,-2830035.0,-0.028411204268591103,fixed_horizon_exit
2024-01-08,2024-01-12,24.95,24.21,3800,4,-2812000.0,-3277614.0,-0.034501338005352024,fixed_horizon_exit
2024-01-15,2024-01-19,24.21,25.71,3800,4,5700000.0,5222910.0,0.05665867768799452,fixed_horizon_exit
2024-01-22,2024-01-26,25.71,25.63,3800,4,-304000.0,-791578.0,-0.008086122581752092,fixed_horizon_exit
2024-01-29,2024-02-02,25.63,27.58,3800,4,7410000.0,6900800.0,0.0707130413383144,fixed_horizon_exit
2024-02-05,2024-02-16,27.61,28.24,3700,4,2331000.0,1813222.0,0.017713938295086756,fixed_horizon_exit
2024-02-19,2024-02-23,28.46,29.77,3700,4,4847000.0,4305949.0,0.040809806949698636,fixed_horizon_exit
2024-02-26,2024-03-01,29.99,32.88,3600,4,10404000.0,9832968.0,0.09089456964696815,fixed_horizon_exit
2024-03-04,2024-03-08,32.88,34.53,3600,4,5940000.0,5330340.0,0.044942050206157026,fixed_horizon_exit
2024-03-11,2024-03-15,34.53,34.3,3600,4,-828000.0,-1447056.0,-0.011617656664660832,fixed_horizon_exit
2024-03-18,2024-03-22,34.36,34.59,3600,4,828000.0,207036.0,0.0016704077293608359,fixed_horizon_exit
2024-03-25,2024-03-29,34.59,35.55,3600,4,3456000.0,2823012.0,0.022625174629059313,fixed_horizon_exit
2024-04-01,2024-04-05,35.61,32.32,3500,4,-11515000.0,-12103630.0,-0.09691877127519744,fixed_horizon_exit
2024-04-08,2024-04-12,32.49,32.43,3500,4,-210000.0000000149,-777945.0000000149,-0.006827526848427006,fixed_horizon_exit
2024-04-15,2024-04-22,32.32,29.82,3500,4,-8750000.0,-9289350.0,-0.08195551965376179,fixed_horizon_exit
2024-04-23,2024-05-02,30.22,30.9,3400,4,2312000.0,1791324.0,0.01739935086808514,fixed_horizon_exit
2024-05-03,2024-05-09,31.64,34.13,3300,4,8217000.0,7670289.0,0.0733151270152489,fixed_horizon_exit
2024-05-10,2024-05-16,34.59,36.9,3300,4,7623000.0,7029396.0,0.06145904202003625,fixed_horizon_exit
2024-05-17,2024-05-23,36.9,36.34,3300,4,-1848000.0,-2451306.0,-0.02009044242139028,fixed_horizon_exit
2024-05-24,2024-05-30,36.38,36.42,3200,4,128000.0,-454464.0,-0.003896001290437267,fixed_horizon_exit
2024-05-31,2024-06-06,36.82,37.7,3200,4,2816000.0,2218432.0,0.018790772610130093,fixed_horizon_exit
2024-06-07,2024-06-13,37.78,36.02,3200,4,-5632000.0,-6219584.0,-0.051343052381208995,fixed_horizon_exit
2024-06-14,2024-06-20,36.02,35.54,3100,4,-1488000.0,-2041846.0,-0.01824945334206656,fixed_horizon_exit
2024-06-21,2024-06-27,35.22,32.42,3200,4,-8960000.0,-9496640.0,-0.08409359588602466,fixed_horizon_exit
2024-06-28,2024-07-04,32.82,34.02,3100,4,3720000.0,3200130.0,0.0313906008823304,fixed_horizon_exit
2024-07-05,2024-07-11,34.42,34.3,3000,4,-360000.0,-875220.0,-0.008458968176372416,fixed_horizon_exit
2024-07-12,2024-07-18,34.9,31.58,3000,4,-9960000.0,-10453620.0,-0.09964426447963672,fixed_horizon_exit
2024-07-19,2024-07-25,31.58,30.5,3000,4,-3240000.0,-3703980.0,-0.039018227003876985,fixed_horizon_exit
2024-07-26,2024-08-01,30.5,29.66,3000,4,-2520000.0,-2969940.0,-0.03239357350872026,fixed_horizon_exit
2024-08-05,2024-08-09,30.42,33.14,2900,4,7888000.0,7423246.0,0.08397865675617863,fixed_horizon_exit
2024-08-12,2024-08-16,33.14,34.62,2900,4,4292000.0,3798594.0,0.039446152956609415,fixed_horizon_exit
2024-08-19,2024-08-23,34.42,34.94,2900,4,1508000.0,1004386.0,0.010042088977187983,fixed_horizon_exit
2024-08-26,2024-08-30,34.9,35.38,2800,4,1344000.0,851368.0,0.008694931054795853,fixed_horizon_exit
2024-09-04,2024-09-10,35.54,34.42,2800,4,-3136000.0,-3624152.0,-0.036346552814461114,fixed_horizon_exit
2024-09-11,2024-09-17,34.74,35.86,2800,4,3136000.0,2640232.0,0.027088597703843895,fixed_horizon_exit
2024-09-18,2024-09-24,36.34,36.58,2700,4,648000.0,155466.0,0.0015813172773879868,fixed_horizon_exit
2024-09-25,2024-10-01,36.66,36.22,2700,4,-1188000.0,-1679346.0,-0.016932311046210905,fixed_horizon_exit
2024-10-02,2024-10-08,36.22,35.54,2700,4,-1836000.0,-2319462.0,-0.023670494461105397,fixed_horizon_exit
2024-10-09,2024-10-15,35.62,34.9,2700,4,-1944000.0,-2419038.0,-0.025102518152913714,fixed_horizon_exit
2024-10-16,2024-10-22,35.06,33.54,2600,4,-3952000.0,-4395924.0,-0.04812793124532452,fixed_horizon_exit
2024-10-23,2024-10-29,33.62,33.22,2600,4,-1040000.0,-1473940.0,-0.016828330252047958,fixed_horizon_exit
2024-10-30,2024-11-05,33.22,34.5,2600,4,3328000.0,2886156.0,0.03334871497222292,fixed_horizon_exit
2024-11-06,2024-11-12,34.78,34.22,2600,4,-1456000.0,-1903772.0,-0.021010882203390802,fixed_horizon_exit
