entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2026-02-11,2026-02-24,29.25,29.39,3400,4,476000.0,-22678.0,-0.00022757902997423956,fixed_horizon_exit
2026-02-25,2026-03-03,29.39,28.27,3300,4,-3696000.0,-4169847.0,-0.04290805934914791,fixed_horizon_exit
2026-04-03,2026-04-09,24.39,24.97,3900,4,2262000.0,1779609.0,0.018671553981008872,fixed_horizon_exit
2026-04-10,2026-04-16,24.66,24.57,3900,4,-351000.0,-830817.0,-0.008621443244897067,fixed_horizon_exit
2026-04-17,2026-04-23,24.79,23.59,3800,4,-4560000.0,-5017330.0,-0.053155085552976336,fixed_horizon_exit
2026-05-06,2026-05-12,24.04,23.59,3800,4,-1710000.0,-2161630.0,-0.023615414761159876,fixed_horizon_exit
2026-06-16,2026-06-22,26.0,26.3,3400,4,1020000.0,574940.0,0.006490864424996161,fixed_horizon_exit
2026-06-23,2026-06-29,26.3,26.55,3400,4,850000.0,400350.0,0.0044682498121627464,fixed_horizon_exit
2026-07-02,2026-07-08,28.0,27.6,3200,4,-1280000.0,-1724160.0,-0.019204448246364414,fixed_horizon_exit
2026-07-10,2026-07-16,26.45,24.2,3300,4,-7425000.0,-7839150.0,-0.08963170068181218,fixed_horizon_exit
2026-08-03,2026-08-07,22.15,22.25,3600,4,360000.0,-39780.0,-0.0004978755806671082,fixed_horizon_exit
