item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2866435333169.0,3411284256276.0,3868424471536.0,3682053499832.0,3088030167794.0,4065554268927.0,3940118907855.0,4344453321851.0,3527232624408.0,3858109648672.0,4779103842011.0,5922691231036.0,4443570260810.0,8746535380929.0,6109246286649.0,9494605271698.0,8682132953597.0,9133174896709.0,7040178294029.0,7408216976042.0,6437793599844.0,8032002429124.0,7523251903377.0,8176548914842.0,6705383545678.0,8317520393866.0,8856405825519.0,10180900144880.0,7983324238134.0,10189022391629.0,9970053142414.0,11765773086811.0,10822863334187.0,14639723609629.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-25139076543.0,-33667976826.0,-38025995669.0,-32234999488.0,-23062115196.0,-29624916405.0,-37516193566.0,-33946495398.0,-27506507865.0,-45629348664.0,-30978874791.0,-34261449742.0,-30455745506.0,-45140208336.0,-66602686787.0,-67065684714.0,-36741853726.0,-63863063015.0,-26369325516.0,-46795047605.0,-27795038656.0,-36254573551.0,-36084473790.0,-71365321493.0,-45382316878.0,-69238061183.0,-147838477770.0,-45445641139.0,-66967341423.0,-69787544982.0,-128919837860.0,-129969983770.0,-101154258610.0,-159728832552.0
Doanh thu thuần,Net sales,net_sales,2841296256626.0,3377616279450.0,3830398475867.0,3649818500344.0,3064968052598.0,4035929352522.0,3902602714289.0,4310506826453.0,3499726116543.0,3812480300008.0,4748124967220.0,5888429781294.0,4413114515304.0,8701395172593.0,6042643599862.0,9427539586984.0,8645391099871.0,9069311833694.0,7013808968513.0,7361421928437.0,6409998561188.0,7995747855573.0,7487167429587.0,8105183593349.0,6660001228800.0,8248282332683.0,8708567347749.0,10135454503741.0,7916356896711.0,10119234846647.0,9841133304554.0,11635803103041.0,10721709075577.0,14479994777077.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-2437018071085.0,-2868100724332.0,-3198610835172.0,-2971283805671.0,-2518478598338.0,-3296168880356.0,-3165938113104.0,-3592895502204.0,-2920614492764.0,-3175281219493.0,-4191389624776.0,-5032897015073.0,-3897860483320.0,-7320563402526.0,-5082897322793.0,-7902600503474.0,-6815262173872.0,-7078679517131.0,-5687465753408.0,-6050266672985.0,-5141296562050.0,-6308121027394.0,-6092455108828.0,-6946193538868.0,-5460377613469.0,-6752458758134.0,-7048383934232.0,-7728899577003.0,-6318118433780.0,-7780467002243.0,-8009504055205.0,-8987898668073.0,-8719888724242.0,-11526044151898.0
Lợi nhuận gộp,Gross Profit,gross_profit,404278185541.0,509515555118.0,631787640695.0,678534694673.0,546489454260.0,739760472166.0,736664601185.0,717611324249.0,579111623779.0,637199080515.0,556735342444.0,855532766221.0,515254031984.0,1380831770067.0,959746277069.0,1524939083510.0,1830128925999.0,1990632316563.0,1326343215105.0,1311155255452.0,1268701999138.0,1687626828179.0,1394712320759.0,1158990054481.0,1199623615331.0,1495823574549.0,1660183413517.0,2406554926738.0,1598238462931.0,2338767844404.0,1831629249349.0,2647904434968.0,2001820351335.0,2953950625179.0
Doanh thu hoạt động tài chính,Financial income,financial_income,287042375908.0,81966906916.0,218966468249.0,170629663454.0,42287361830.0,125173240058.0,50779918053.0,122525701135.0,42961141889.0,321314760947.0,259256789680.0,62831581606.0,206999509257.0,312408289003.0,261123557566.0,377016420165.0,244959047310.0,146869059882.0,167554238856.0,166260716697.0,79170898881.0,105901335877.0,196872631080.0,68194338522.0,165289553974.0,1085863764872.0,30939502332.0,218198001654.0,89659642247.0,347021702744.0,756111130585.0,64202214488.0,131004743416.0,553833005052.0
Chi phí tài chính,Financial expenses,financial_expenses,-115831657120.0,-156027363021.0,-126835245562.0,-146605846419.0,-154571363316.0,-218148583277.0,-208393901782.0,-257392170712.0,-232062958618.0,-307537538793.0,-305733443250.0,-274705580264.0,-304792271970.0,-423522788475.0,-345603953309.0,-501464077784.0,-508025214671.0,-833210578674.0,-417762480741.0,-506788905424.0,-608149124816.0,-331865101974.0,-533786351023.0,-415402902598.0,-418077460162.0,-494372298705.0,-400400654020.0,-377052166385.0,-336244979886.0,-332615048501.0,-426825306433.0,-674349133954.0,-576058635016.0,-759942224024.0
Chi phí lãi vay,Interest expenses,interest_expenses,-98345983544.0,-134091683360.0,-115755155026.0,-111385777708.0,-115252666314.0,-169513544881.0,-166151478094.0,-165652207172.0,-171777683967.0,-192919321943.0,-195996772620.0,-193458100443.0,-220317527705.0,-313244278087.0,-246946834615.0,-329770966504.0,-368932485786.0,-347150498844.0,-317763973045.0,-340163319149.0,-343813819448.0,-350060650003.0,-358777816700.0,-326339204120.0,-302500682679.0,-273012420235.0,-244763713098.0,-256769371594.0,-244563130756.0,-272521446568.0,-323554153480.0,-357291573549.0,-404116016759.0,-570777684589.0
Chi phí bán hàng,Selling expenses,selling_expenses,-62064827000.0,-76533323051.0,-95132548254.0,-113670219051.0,-95382288602.0,-127233052136.0,-127006499813.0,-139572601778.0,-122828071360.0,-117622103817.0,-94428447643.0,-135537681796.0,-82260917081.0,-277513992385.0,-208491808832.0,-325762735083.0,-284081793890.0,-352668411581.0,-328172878673.0,-325035958021.0,-237000291140.0,-298161056599.0,-293470619719.0,-311205619370.0,-230850973773.0,-316095643314.0,-305388105185.0,-426302837484.0,-264907825132.0,-374751535952.0,-384263236128.0,-404398501234.0,-313964157807.0,-391113776540.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-110645554868.0,-158439893162.0,-163876148897.0,-165234273212.0,-147070856395.0,-177001943197.0,-190847621288.0,-219809807695.0,-158961477201.0,-160953493712.0,-133000387444.0,-186737742551.0,-131800495750.0,-359858836903.0,-317829493068.0,-476159473741.0,-433523870965.0,-402592651287.0,-452306975829.0,-364168821857.0,-364133505582.0,-315480130962.0,-375522901130.0,-520631350927.0,-327611803076.0,-392995771846.0,-442818591891.0,-586866370612.0,-425194768280.0,-458833481885.0,-567084708377.0,-616669094522.0,-472418688062.0,-565699264373.0
