item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
Lợi nhuận/(lỗ) trước thuế,Net profit/(loss) before tax,net_profit_loss_before_tax,1804942720001.0,806315423458.0,1177892569323.0,1252623797254.0
Khấu hao TSCĐ và BĐSĐT,Depreciation and amortization,depreciation_and_amortization,239040777448.0,693528771573.0,789506833758.0,619686162122.0
Chi phí dự phòng,Provisions,provisions,92508006882.0,-90048915346.0,-267432930585.0,59341246594.0
Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,8471952256.0,61538298847.0,-13403504737.0,-1197231406.0
Lãi/(lỗ) từ thanh lý tài sản cố định,Profit/loss from liquidating fixed assets,profit_loss_from_liquidating_fixed_assets,0.0,0.0,0.0,0.0
(Lãi)/lỗ từ hoạt động đầu tư,Profit/loss from investing activities,profit_loss_from_investing_activities,-246544907911.0,-94421104882.0,-62008155066.0,-139385452796.0
Chi phí lãi vay,Interest expense,interest_expense,579368127014.0,411400767848.0,362070338483.0,328245141913.0
Thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,0.0,0.0,0.0,0.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Operating profit/(loss) before changes in Working Capital,operating_profit_loss_before_changes_in_working_capital,2477786675690.0,1788313241498.0,1986625151176.0,2119313663681.0
(Tăng)/giảm các khoản phải thu,(Increase)/decrease in receivables,increase_decrease_in_receivables,4229164934206.0,-5438097908721.0,3394704213097.0,-3495633574185.0
(Tăng)/giảm hàng tồn kho,(Increase)/decrease in inventories,increase_decrease_in_inventories,-1921947925973.0,314964080355.0,-503748985969.0,249872170710.0
Tăng/(giảm) các khoản phải trả,Increase/(decrease) in payables,increase_decrease_in_payables,-364862394739.0,1356173700934.0,-907006924158.0,357282403349.0
(Tăng)/giảm chi phí trả trước,(Increase)/decrease in prepaid expenses,increase_decrease_in_prepaid_expenses,-8499869063.0,-97444504877.0,-7957275355.0,510762415.0
Tiền lãi vay đã trả,Interest paid,interest_paid,-517209675841.0,-342303320500.0,-375985249648.0,-274471714021.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate Income Tax paid,corporate_income_tax_paid,-129957068555.0,-1164184054822.0,-239299199120.0,-172386406481.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,other_receipts_from_operating_activities,0.0,0.0,0.0,0.0
Tiền chi khác cho hoạt động kinh doanh,Other payments on operating activities,other_payments_on_operating_activities,-62049849544.0,-25853482171.0,-29103645505.0,-14638494978.0
Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh,Net cash inflows/(outflows) from operating activities,net_cash_inflows_outflows_from_operating_activities,4094547548674.0,-2856708735614.0,2500594817802.0,-2825899056038.0
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",Purchases of fixed assets and other long term assets,purchases_of_fixed_assets_and_other_long_term_assets,-695314945271.0,-869452471421.0,-1856121177203.0,-1237064785001.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",Proceeds from disposal of fixed assets,proceeds_from_disposal_of_fixed_assets,753967943.0,234580342.0,21051317177.0,2862332398.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Loans granted, purchases of debt instruments",loans_granted_purchases_of_debt_instruments,-1887554133311.0,-2754319084662.0,-2022213355956.0,-1001076802801.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Collection of loans, proceeds from sales of debts instruments",collection_of_loans_proceeds_from_sales_of_debts_instruments,1631776670279.0,645773252980.0,729087114457.0,1211610586709.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Investments in other entities,investments_in_other_entities,-7060810000000.0,-8113002000000.0,-1945765460668.0,87057159607.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Proceeds from divestment in other entities,proceeds_from_divestment_in_other_entities,2769202558438.0,0.0,2326698879668.0,2584338950000.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Dividends and interest received,dividends_and_interest_received,172427420120.0,194397492868.0,58512394695.0,184680635572.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash inflows/(outflows) from investing activities,net_cash_inflows_outflows_from_investing_activities,-5069518461802.0,-10896368229893.0,-2688750287830.0,1832408076484.0
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",Proceeds from issue of shares,proceeds_from_issue_of_shares,-178000000.0,3475453330000.0,798020000000.0,32864100000.0
"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",Payments for share returns and repurchases,payments_for_share_returns_and_repurchases,0.0,0.0,0.0,0.0
Tiền thu được các khoản đi vay,Proceeds from loans,proceeds_from_loans,11541880380446.0,15240657733019.0,12134300883122.0,8796032385102.0
