date,raw_signal,executed_position,asset_return,executed_shares,liquidity_cap_shares,capital_utilization,turnover,transaction_cost,gross_strategy_return,net_strategy_return,transaction_cost_value,gross_pnl,net_pnl,equity_curve,drawdown
2023-08-23,0,0.0,0.020170109356014487,0,13000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-08-24,0,0.0,-0.003573130061934271,0,12900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-08-25,0,0.0,0.0016702457647339575,0,12600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-08-28,0,0.0,0.008970727101038856,0,11700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-08-29,0,0.0,0.03159851301115246,0,11500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-08-30,0,0.0,0.05728934462773072,0,11700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-08-31,0,0.0,0.014336917562723928,0,14300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-05,0,0.0,0.0,0,13500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-06,0,0.0,-0.0016525511258004277,0,13300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-07,0,0.0,0.014276846679081467,0,13400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-08,0,0.0,-0.04513680846814461,0,14100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-11,0,0.0,0.012432656444260282,0,14300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-12,0,0.0,-0.006009615384615419,0,14500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-13,0,0.0,-0.03459244532803174,0,15100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-14,0,0.0,-0.003088962108731552,0,15800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-15,0,0.0,-0.014023510002062256,0,16200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-18,0,0.0,-0.01677784515868197,0,16600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-19,0,0.0,0.010713563776025836,0,17000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-20,0,0.0,0.010765550239234534,0,17300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-21,0,0.0,0.007874015748031482,0,17600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-22,0,0.0,-0.045991045991045976,0,18400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0
2023-09-25,0,0.0,0.0167489800300622,0,18800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-26,0,0.0,0.047419219471254825,0,19200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-27,0,0.0,0.024960063897763618,0,19800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-09-28,0,0.0,0.0,0,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
