item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,689172395825.0,609902155248.0,699380387985.0,687337175698.0,628991709296.0,668939707697.0,697717027917.0,644965786358.0,601014630997.0,608001621258.0,691782191564.0,703021926020.0,687470184333.0,751660517442.0,728707644375.0,1038089871089.0,879858269357.0,977929714338.0,991937049942.0,1065887510136.0,901971039120.0,912173981925.0,997918407261.0,1033812069023.0,1005539540911.0,1150898425696.0,1264114623523.0,1411472208831.0,1276946137045.0,1493731602173.0,1560495941737.0,1624851616060.0,1452406917275.0,1761552624120.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,689172395825.0,609902155248.0,699380387985.0,687337175698.0,628991709296.0,668939707697.0,697717027917.0,644965786358.0,601014630997.0,608001621258.0,691782191564.0,703021926020.0,687470184333.0,751660517442.0,728707644375.0,1038089871089.0,879858269357.0,977929714338.0,991937049942.0,1065887510136.0,901971039120.0,912173981925.0,997918407261.0,1033812069023.0,1005539540911.0,1150898425696.0,1264114623523.0,1411472208831.0,1276946137045.0,1493731602173.0,1560495941737.0,1624851616060.0,1452406917275.0,1761552624120.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-483851261514.0,-330128656485.0,-425480495674.0,-479986377133.0,-379052377311.0,-397910096625.0,-415054314708.0,-451870352603.0,-363485340013.0,-350641459625.0,-433543142569.0,-505738070324.0,-428490557457.0,-432372903594.0,-465246491543.0,-734968250148.0,-527698508401.0,-541967024625.0,-589536504290.0,-611483300116.0,-475389435363.0,-452757676516.0,-533171361035.0,-608160686338.0,-564654211769.0,-640381580046.0,-682780658667.0,-808727951459.0,-715314322352.0,-771750102130.0,-894254337930.0,-835233995673.0,-815911355877.0,-890826292049.0
Lợi nhuận gộp,Gross Profit,gross_profit,205321134311.0,279773498763.0,273899892311.0,207350798565.0,249939331985.0,271029611072.0,282662713209.0,193095433755.0,237529290984.0,257360161633.0,258239048995.0,197283855696.0,258979626876.0,319287613848.0,263461152832.0,303121620941.0,352159760956.0,435962689713.0,402400545652.0,454404210020.0,426581603757.0,459416305409.0,464747046226.0,425651382685.0,440885329142.0,510516845650.0,581333964856.0,602744257372.0,561631814693.0,721981500043.0,666241603807.0,789617620387.0,636495561398.0,870726332071.0
Doanh thu hoạt động tài chính,Financial income,financial_income,1394993024305.0,151140662028.0,6137086334.0,65650071242.0,11540790761.0,90462896566.0,3865147388.0,2307849965.0,16554456350.0,5549580641.0,2028259616.0,3541918832.0,21627188204.0,8912992099.0,3359180503.0,5870002113.0,4215371728.0,4315699590.0,7454530824.0,8261193048.0,20840978218.0,1863108552951.0,32871769980.0,24221055306.0,353810511192.0,29925371178.0,4632484313.0,37758097953.0,29194419294.0,62323132210.0,49486141480.0,87481513445.0,60131014459.0,687002230881.0
Chi phí tài chính,Financial expenses,financial_expenses,-19654103466.0,44085147259.0,-30133539547.0,-46259722972.0,-44084213187.0,-40623812054.0,-32983782742.0,-28389436955.0,-56135167254.0,-45738189372.0,-39359527398.0,-18031444449.0,-27500444691.0,-44762895464.0,-23185267287.0,-12808043439.0,-32288226860.0,-57296735742.0,-61523793463.0,-26617726822.0,-39761476419.0,-53263649571.0,-51064397996.0,-25062400922.0,-38983756579.0,-45824768549.0,-49662488139.0,-15821443455.0,-28585204822.0,-23639057725.0,-74836313187.0,8348758041.0,-42309922419.0,-41894182541.0
Chi phí lãi vay,Interest expenses,interest_expenses,-23495654211.0,-30134971373.0,-32225892366.0,-42939632422.0,-35846395103.0,-38221482922.0,-34087036058.0,-37037567512.0,-39922958812.0,-37613014699.0,-35777338237.0,-33281394820.0,-29303372553.0,-29842268540.0,-30715226111.0,-29416147925.0,-29819822467.0,-32421777585.0,-32973433849.0,-35541963757.0,-36499808414.0,-19010013122.0,-41644606876.0,-37838710250.0,-35833743420.0,-36337488399.0,-34366889363.0,-32949380657.0,-27354631098.0,-22412391748.0,-23820033285.0,-38993692382.0,-40874541457.0,-44029240537.0
Chi phí bán hàng,Selling expenses,selling_expenses,-22231081392.0,-56976902343.0,-6511604295.0,-14582225213.0,-29061214309.0,-35170810419.0,-27627529677.0,-36511177958.0,-33517378277.0,-29641158806.0,-34391570229.0,-40915209656.0,-34322020655.0,-39328915145.0,-48196237974.0,-40921510514.0,-39387664038.0,-34822321055.0,-35423578917.0,-35979207173.0,-29665775197.0,-42448036873.0,-14392379759.0,-28553201556.0,-42164079795.0,-77365194260.0,-73535500988.0,-54135538938.0,-86247302209.0,-82006801806.0,-120681056103.0,-193030443826.0,-105911183585.0,-208831612215.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-77546133866.0,-72097996181.0,-80424615911.0,-95335597015.0,-73037400653.0,-76600961236.0,-70931644423.0,-112885028003.0,-85916158132.0,-70335016432.0,-78362218087.0,-110169875656.0,-65797612485.0,-71710760648.0,-83431000573.0,-74086450629.0,-70996098044.0,-85032066962.0,-85407213447.0,-154244446690.0,-96861274819.0,-113637069359.0,-87469542121.0,-247442340070.0,-107329998642.0,-137028098824.0,-108522735973.0,-221957652271.0,-125416963644.0,-120576190151.0,-198392393833.0,-166158909011.0,-143680555108.0,-152001742721.0
