entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2023-02-02,2023-02-08,14.63,14.35,6800,4,-1904000.0,-2395708.0,-0.02403327316658549,fixed_horizon_exit
2023-05-11,2023-05-17,15.98,15.21,6000,4,-4620000.0,-5085540.0,-0.05293480623234133,fixed_horizon_exit
2023-05-29,2023-06-02,17.56,17.61,5200,4,260000.0,-197340.0,-0.002156848035137015,fixed_horizon_exit
2023-06-05,2023-06-09,17.47,17.42,5200,4,-260000.0,-713440.0,-0.007837787504555856,fixed_horizon_exit
2023-06-12,2023-06-16,17.51,17.18,5200,4,-1716000.0,-2166112.0,-0.0237423496809921,fixed_horizon_exit
2023-06-19,2023-06-23,17.27,18.81,5100,4,7854000.0,7390053.0,0.08373698462946719,fixed_horizon_exit
2023-06-26,2023-06-30,18.9,19.34,5100,4,2244000.0,1755318.0,0.01817423354349502,fixed_horizon_exit
2023-07-03,2023-07-07,19.29,20.39,5100,4,5610000.0,5101275.0,0.05174979227651488,fixed_horizon_exit
2023-07-10,2023-07-14,20.54,21.11,5000,4,2850000.0,2327950.0,0.022622233624280164,fixed_horizon_exit
2023-07-17,2023-07-21,21.21,21.3,4900,4,441000.0,-79968.0,-0.0007679125483121452,fixed_horizon_exit
2023-07-24,2023-07-28,21.3,21.45,4900,4,735000.0,210945.0,0.002017092575412555,fixed_horizon_exit
2023-07-31,2023-08-04,21.5,21.78,4900,4,1372000.0,841134.0,0.007968249547416794,fixed_horizon_exit
2023-08-07,2023-08-11,21.88,20.68,4800,4,-5760000.0,-6267840.0,-0.0595609512236952,fixed_horizon_exit
2023-08-14,2023-08-18,20.73,18.52,4800,4,-10608000.0,-11073696.0,-0.11106681956877369,fixed_horizon_exit
2023-08-22,2023-08-28,18.71,19.82,4700,4,5217000.0,4761664.0,0.05404050263982991,fixed_horizon_exit
2023-08-29,2023-09-06,19.82,21.5,4700,4,7896000.0,7406542.0,0.07934987743987303,fixed_horizon_exit
2023-09-07,2023-09-13,21.26,21.11,4700,4,-705000.0,-1202495.0,-0.01201031615038972,fixed_horizon_exit
2023-09-14,2023-09-20,21.4,22.26,4600,4,3956000.0,3451932.0,0.034996362415356204,fixed_horizon_exit
2023-09-21,2023-09-27,21.98,18.81,4700,4,-14899000.0,-15370833.0,-0.14849236921970435,fixed_horizon_exit
2023-09-28,2023-10-04,19.1,19.0,4600,4,-460000.0,-897920.0,-0.01019949629536738,fixed_horizon_exit
2023-10-05,2023-10-11,19.0,20.01,4600,4,4646000.0,4195062.0,0.0479026158209896,fixed_horizon_exit
2023-10-12,2023-10-18,19.82,19.19,4600,4,-2898000.0,-3345166.0,-0.036617481485062164,fixed_horizon_exit
2023-10-19,2023-10-25,19.29,18.33,4500,4,-4320000.0,-4741065.0,-0.054508401548380686,fixed_horizon_exit
2023-10-26,2023-11-01,18.71,17.75,4400,4,-4224000.0,-4622948.0,-0.05604344491135314,fixed_horizon_exit
2023-11-02,2023-11-08,17.9,18.9,4400,4,4400000.0,3993000.0,0.05059712976282073,fixed_horizon_exit
2023-11-09,2023-11-15,18.52,19.24,4400,4,3168000.0,2751056.0,0.033692873432400856,fixed_horizon_exit
2023-11-16,2023-11-22,19.34,18.85,4400,4,-2156000.0,-2575012.0,-0.03019968336336634,fixed_horizon_exit
2023-11-23,2023-11-29,18.85,19.54,4400,4,3036000.0,2612192.0,0.03143209602016127,fixed_horizon_exit
2023-11-30,2023-12-06,19.54,19.73,4300,4,817000.0,394439.0,0.004685102670809864,fixed_horizon_exit
