item,item_en,item_id,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,4850815747566.0,7812961364518.0,3416222217281.0,4202230400107.0,5336614600534.0,7131788790943.0,2752481844194.0,3212212463678.0,6168018253375.0,9063293635676.0,4854675960019.0,5696229756147.0,6160837535669.0,9678063314211.0,4904892296352.0,5577098387609.0,5853642946833.0,9036882413863.0,4142023748446.0,4161201110960.0,6199494449985.0,7606796775985.0,4590332818742.0,4653667942946.0,7717064516661.0,9305951454547.0,5681992269243.0,5891195424631.0,9296201037269.0,8658034615311.0,8850107402468.0,7099473488032.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-3541846177.0,-7456375476.0,-2190811789.0,-2139719262.0,-2600605962.0,-6710899719.0,-7886416626.0,-4305928433.0,-3835912583.0,-8882673546.0,-5029040743.0,-2373108647.0,-9793316372.0,-22203725728.0,-11396181001.0,-15352689966.0,-6465603794.0,-24102713725.0,-6854580947.0,-2981908324.0,-4170346730.0,-15619726151.0,-4967613103.0,-1063029505.0,-1290963428.0,-17751012015.0,-5030532730.0,-1187814894.0,-1798359824.0,-13571046685.0,-4950325899.0,-2112957689.0
Doanh thu thuần,Net sales,net_sales,4847273901389.0,7805504989042.0,3414031405492.0,4200090680845.0,5334013994572.0,7125077891224.0,2744595427568.0,3207906535245.0,6164182340792.0,9054410962130.0,4849646919276.0,5693856647500.0,6151044219297.0,9655859588483.0,4893496115351.0,5561745697643.0,5847177343039.0,9012779700138.0,4135169167499.0,4158219202636.0,6195324103255.0,7591177049834.0,4585365205639.0,4652604913441.0,7715773553233.0,9288200442532.0,5676961736513.0,5890007609737.0,9294402677445.0,8644463568626.0,8845157076569.0,7097360530343.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3879465727083.0,-6008254130527.0,-2781237828788.0,-3411447780052.0,-3941851574727.0,-5266669335986.0,-2231783161685.0,-2535209976028.0,-4913699876937.0,-6684033305103.0,-3453444417865.0,-4046675631316.0,-4061708499728.0,-7091410915286.0,-3423294894497.0,-4090895607642.0,-4266681857870.0,-7324787264121.0,-3129291450388.0,-3252382538692.0,-4960823962572.0,-5988029282265.0,-3509404184202.0,-3491737411504.0,-6120216246593.0,-6155538225416.0,-4039982227934.0,-4081936434211.0,-6646110991457.0,-6155571930238.0,-6508468262486.0,-4930643312539.0
Lợi nhuận gộp,Gross Profit,gross_profit,967808174306.0,1797250858515.0,632793576704.0,788642900793.0,1392162419845.0,1858408555238.0,512812265883.0,672696559217.0,1250482463855.0,2370377657027.0,1396202501411.0,1647181016184.0,2089335719569.0,2564448673197.0,1470201220854.0,1470850090001.0,1580495485169.0,1687992436017.0,1005877717111.0,905836663944.0,1234500140683.0,1603147767569.0,1075961021437.0,1160867501937.0,1595557306640.0,3132662217116.0,1636979508579.0,1808071175526.0,2648291685988.0,2488891638388.0,2336688814083.0,2166717217804.0
Doanh thu hoạt động tài chính,Financial income,financial_income,170978115909.0,334252610523.0,101589792578.0,220482455065.0,147059657977.0,261322422859.0,239897945433.0,207924103705.0,924322145643.0,1634637418240.0,186493312156.0,186296914396.0,175462631625.0,264161298537.0,178205420457.0,238723156130.0,231814732990.0,267533421785.0,231072827584.0,319053663908.0,284534445967.0,351474636629.0,227012695063.0,234405066325.0,226341384691.0,269448617904.0,236898888858.0,235607202052.0,265241346301.0,353706243158.0,259964985294.0,524055354395.0
Chi phí tài chính,Financial expenses,financial_expenses,-186338530770.0,-417680411531.0,-135482264546.0,-181059691564.0,-186865575737.0,-230754215135.0,-152128522572.0,-194999418146.0,-340319825941.0,-482673836108.0,-46942365300.0,-251534117243.0,-176023070976.0,-225410616240.0,-145263525945.0,-169129656932.0,-153519352788.0,-230959874440.0,-142846700070.0,-139233847550.0,-117057555695.0,-131307660080.0,-111295000759.0,-134915657596.0,-90611538741.0,-128176245825.0,-84194141544.0,-79644829333.0,-66915806181.0,-79917556657.0,-57572232422.0,-49249515502.0
Chi phí lãi vay,Interest expenses,interest_expenses,-138939933017.0,-232463549322.0,-130116801415.0,-159279385124.0,-147316452051.0,-193818998376.0,-154519031067.0,-142470146433.0,-191494522550.0,-262816256119.0,-147115291428.0,-137984451533.0,-147071860353.0,-149982084060.0,-126126544553.0,-114189185275.0,-125792619081.0,-135190692016.0,-121115173422.0,-113444877018.0,-93463305967.0,-114630440966.0,-94023493348.0,-90526866806.0,-81287573713.0,-87067268582.0,-69400548964.0,-66679727043.0,-58280913113.0,-46366537723.0,-40516611306.0,-37654876400.0
Chi phí bán hàng,Selling expenses,selling_expenses,-115392946229.0,-180235133604.0,-80234869457.0,-92726807558.0,-117534180865.0,-137773992086.0,-62657282630.0,-63022644634.0,-135753963067.0,-180388607498.0,-94345889159.0,-106698177164.0,-116240605132.0,-192881557496.0,-113335568582.0,-128243760539.0,-131585763036.0,-219507914427.0,-109152371012.0,-104714440628.0,-158520644698.0,-217989967254.0,-113258877553.0,-101739540249.0,-149742398163.0,-189539361387.0,-93937970474.0,-103810893590.0,-133345231029.0,-146197525935.0,-116379463487.0,-105134681769.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-317469585940.0,-561519025085.0,-283463951900.0,-352669428552.0,-391357922899.0,-580544719011.0,-257539485349.0,-281887216653.0,-363331677019.0,-680506993991.0,-309551664395.0,-572688169111.0,-421390700946.0,-462476619558.0,-345319078963.0,-400251485039.0,-445507383006.0,-555652948896.0,-362073524376.0,-387665267276.0,-452076047623.0,-667488455333.0,-363421903579.0,-431769766424.0,-511327965650.0,-1018582774495.0,-420642417847.0,-530980716891.0,-579168852287.0,-1691987374536.0,-529711701298.0,-881340990615.0
