year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2698972,RATIO_TTM,HAG,2018,927399283,7029686565140.0,0.0,9.5831980897,0.5195499698,1.3112243439,5.6873787044,13.2806835851,0.0090618703,0.4733651087,0.5952194085,1.1067778134,1.2358299715,1.9038980329,0.039224169,0.0135038499,151.3787390993,142.8510742664,119.3379795646,0.3941191816,0.2340151978,0.2286521841,0.227651856,0.1012725023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254593464000.0,2222710662000.0,0.0306885932,705.0040057584,0.5245728122,1.9038980329,0.0,,,,,,,0.0,
2018,2,2713331,RATIO_TTM,HAG,2018,927399283,4590626450850.0,0.0,431.9429302062,0.3362243614,0.8202497888,3.2692660616,11.3495327106,0.0171120097,0.4794435763,0.5844394003,1.0985436543,1.2575962091,1.9902514075,0.0014831155,0.0005058232,176.5616411139,168.0271208318,129.2682165747,0.45950152,0.272226844,0.0608707836,0.0518614358,0.0995019065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452026803000.0,2443092487000.0,0.0349226432,725.1928286592,0.4852445995,1.9902514075,0.0,,,,,,,0.0,
2018,3,2715926,RATIO_TTM,HAG,2018,927399283,4636996415000.0,0.0,14.9546912019,0.3485628972,0.8286983862,-19.1064314825,10.3935241445,0.0672138831,0.4748157956,0.5915865855,0.8970515879,1.237207491,1.84089646,0.01722455,0.0059073577,191.3855968067,188.0422140863,114.685086298,0.514514478,0.3262044212,0.0946469887,0.0860028886,0.1065962858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1825282584000.0,2748593140000.0,0.0479310202,687.8013695835,0.4985457849,1.84089646,0.0,,,,,,,0.0,
2018,4,2717394,RATIO_TTM,HAG,2018,927399283,5072874078010.0,0.0,43.174105741,0.3823592259,0.9414783604,-1.7387979,12.446778403,0.025709334,0.3936048946,0.4999649116,0.8806043314,1.2940152036,1.8619217127,0.0067925227,0.0023228748,174.1783346468,153.5638366837,87.4642482195,0.4407232467,0.2213954162,0.0088520906,0.0011589036,0.1065139925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192922870000.0,2330197091000.0,0.0309332429,654.0376727575,0.5217732218,1.8619217127,0.0,,,,,,,0.0,
2018,5,12237711,RATIO_YEAR,HAG,2018,927399283,5072874078010.0,0.0,40.0169499281,0.3544250101,0.8726962886,-1.6116463168,11.2085234464,0.025709334,0.3870716283,0.4999649116,0.8806043314,1.2940152036,1.8619217127,0.0067925227,0.0023228748,174.1783346468,153.5638366837,87.4642482195,0.4407232467,0.2213954162,0.0088520906,0.0011589036,0.1065139925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192922870000.0,2330197091000.0,0.0309332429,654.0376727575,0.5217732218,1.8619217127,0.0,,,,,,,0.0,12237711.0
2019,1,2723193,RATIO_TTM,HAG,2019,927399283,4590626450850.0,0.0,30.8315692309,0.3467460702,0.9442644079,-1.8880606238,15.1146492215,0.0180415326,0.3293054304,0.4505002328,0.8450095502,1.2647070495,1.9256435745,0.0086473713,0.0029668255,220.8020434077,204.800282949,78.9589362047,0.4362205031,0.1904426614,0.0335809507,0.0132701092,0.096863878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925854148000.0,1922016548000.0,0.0243898929,662.393563968,0.4201155264,1.9256435745,0.0,,,,,,,0.0,
2019,2,2726269,RATIO_TTM,HAG,2019,927399283,3848707024450.0,0.0,-10.4980600165,0.3153421161,1.1040527481,-1.4393839206,18.9552508201,0.0096317676,0.2261523767,0.3301190632,0.7561537742,1.1730533947,2.2711619129,-0.0223952725,-0.0075272702,256.4287626364,281.348122469,88.1479823773,0.3794468198,0.0627790961,-0.1823447595,-0.2027164046,0.071568939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218846743000.0,1272095056000.0,0.0067034724,845.4601656572,0.3026408108,2.2711619129,0.0,,,,,,,0.0,
2019,3,2730957,RATIO_TTM,HAG,2019,927399283,3143883569370.0,0.0,-55.9594500566,0.2477352067,1.2463806384,-0.7292766509,48.4341350072,0.0175436876,0.5789041994,0.759699263,0.625304265,0.8620503194,1.4474564431,-0.0034269711,-0.0011930982,371.2904027279,318.1249946613,108.381308692,0.1839379938,-0.2395500228,-0.6241793851,-0.651813518,0.0535632312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-604243485000.0,456988566000.0,-0.0189575719,1122.4143058701,0.2214480687,1.4474564431,0.0,,,,,,,0.0,
2019,4,2734613,RATIO_TTM,HAG,2019,927399283,3245897490500.0,0.0,14.9924813981,0.2558665327,1.5639532808,-1.279227642,49.0015282299,0.0314509408,0.6022549712,0.8743950075,0.6511830174,0.874426667,1.2983483879,0.012880411,0.0049921123,398.1378308544,358.7776417379,147.0642499299,0.1097521159,-0.3631386765,-0.9181001944,-0.8715264209,0.0478522026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-753673996000.0,453778905000.0,-0.0239209415,1321.7521308445,0.1975410391,1.2983483879,0.0,,,,,,,0.0,
2019,5,12245061,RATIO_YEAR,HAG,2019,927399283,3245897490500.0,0.0,40.3109891326,0.6163785877,2.2656657741,-1.8530526129,54.0980816721,0.0314509408,0.3343937645,0.6125112713,0.9314017777,1.2507122121,1.8570570245,0.0081679864,0.002856019,398.1378308544,358.7776417379,147.0642499299,0.1097521159,-0.411257571,-0.9662190889,-0.9196453154,0.0508146221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-853542068000.0,353910833000.0,-0.0322702368,1135.4585859071,0.1975410391,1.8570570245,0.0,,,,,,,0.0,12245061.0
