year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2698747,RATIO_TTM,HCM,2018,129554168,6931147988000.0,0.0,8.846959457,2.2873706136,3.2114208261,-5.1580028797,8.7494000841,0.1444788635,1.8940602343,1.8940602343,0.0,0.6115709973,1.0495377831,0.2871888153,0.1390420665,0.0,0.0,1.0836771203,0.5171550509,0.4532410889,0.4548176059,0.3631578221,0.382869535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978221551023.0,990560683111.0,0.2000048617,66.4848909523,71.7072769117,1.0495377831,0.0,,,,,,,0.0,
2018,2,2712982,RATIO_TTM,HCM,2018,129554168,7902804248000.0,0.0,9.9528881111,2.6927020558,3.1121234242,7.1423820546,7.5352930983,0.5863969617,2.6418950786,2.6418950786,0.0,0.1472176846,0.5689005258,0.2793272575,0.1424773917,0.0,0.0,0.8442054848,0.4505474847,0.389588298,0.3905458186,0.3127744691,0.4555275632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989305254633.0,1004956184126.0,0.2938269046,62.9302767831,62.7331268217,0.5689005258,0.0,,,,,,,0.0,
2018,3,2715751,RATIO_TTM,HCM,2018,129554168,5868803810400.0,0.0132450331,7.4350853942,1.9140813379,2.2419881802,21.1489277008,6.5192096739,0.3288894015,2.1153910709,2.1153910709,0.0,0.3754379982,0.8396368258,0.2670327794,0.1364486945,0.0,0.0,0.8205845999,0.4425727524,0.3765035594,0.3773851024,0.3016244459,0.4523794285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985565197763.0,1004539832904.0,0.2336980769,59.1390722375,57.8284124402,0.8396368258,0.0,,,,,,,0.0,
2018,4,2717024,RATIO_TTM,HCM,2018,302293058,7345721309400.0,0.024691358,4.6679228087,2.4001419749,3.126083116,1.6831491409,9.3316515217,0.4413816087,2.3067882708,2.3067882708,0.0,0.5077974056,0.7174459141,0.2308664027,0.1131753529,0.0,0.0,0.933182166,0.4345924974,0.3573780246,0.3584048789,0.2874608247,0.3937070486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839772735785.0,860053901156.0,0.1819789955,95.7542079965,55.0119718812,0.7174459141,0.0,,,,,,,0.0,
2018,5,12237733,RATIO_YEAR,HCM,2018,302293058,7345721309400.0,0.0475285171,10.6360294449,2.2300685594,2.9045697062,3.6433598688,9.6063811778,0.4413816087,0.7794534833,2.3067882708,0.0,0.5077974056,0.7174459141,0.2308664027,0.1131753529,0.0,0.0,0.933182166,0.4345924974,0.3573780246,0.3584048789,0.2874608247,0.3937070486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839772735785.0,860053901156.0,0.1819789955,95.7542079965,55.0119718812,0.7174459141,0.0,,,,,,,0.0,12237733.0
2019,1,2723284,RATIO_TTM,HCM,2019,305589673,7028562479000.0,0.0,12.9345451323,2.2655462792,3.8944771964,7.1355253633,15.9395575628,0.2403350575,2.116393618,2.116393618,0.0,0.6359216731,0.8420561634,0.1423275914,0.0816011189,0.0,0.0,1.1698973223,0.4003781784,0.298155432,0.2991799857,0.239820031,0.3402598128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538096380218.0,559782985714.0,0.1060239531,129.8026848447,37.6281992977,0.8420561634,0.0,,,,,,,0.0,
2019,2,2725534,RATIO_TTM,HCM,2019,305516173,6874113892500.0,0.0,13.4967673993,1.6296099166,4.3412322719,-2.0503401899,17.41214182,0.485722932,2.3517089371,2.3517089371,0.0,0.5787041794,0.7054625244,0.1178560964,0.0665742319,0.0,0.0,1.2897932485,0.4243582852,0.3092967945,0.3106711549,0.2502205229,0.2660622362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489755272009.0,512576037241.0,0.0735436697,166.5873862033,34.4934657058,0.7054625244,0.0,,,,,,,0.0,
2019,3,2731378,RATIO_TTM,HCM,2019,305516173,5881186330250.0,0.025974026,13.2965095991,1.3583740197,3.7851278027,-9.4808900483,14.2749029072,0.4587586163,2.7992454109,2.7992454109,0.0,0.3263828451,0.5308683363,0.1026085239,0.0608816611,0.0,0.0,1.2315716595,0.4185054714,0.2997665776,0.3011849016,0.2428698567,0.2506760695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465765805075.0,489423494070.0,0.0811060278,192.7713088487,35.4189104111,0.5308683363,0.0,,,,,,,0.0,
2019,4,2734960,RATIO_TTM,HCM,2019,305256893,5021475889850.0,0.0303951368,11.6323886025,1.1666610157,3.2186244293,-5.9626287206,11.0609586,0.6886957388,2.2909978377,2.2909978377,0.0,0.5561449082,0.7398768027,0.1174701318,0.0678800256,0.0,0.0,0.9757435348,0.4589297201,0.3391965298,0.3406161177,0.2772619134,0.2448227552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529191036001.0,553908810215.0,0.0790088512,132.9408879822,34.9367116902,0.7398768027,0.0,,,,,,,0.0,
2019,5,12245072,RATIO_YEAR,HCM,2019,305256893,5021475889850.0,0.0228136882,38.5444125227,3.738120896,10.3128561537,-19.0659131127,31.7319217867,0.6886957388,0.8098430057,2.2909978377,0.0,0.5561449082,0.7398768027,0.1174701318,0.0678800256,0.0,0.0,0.9757435348,0.4589297201,0.3391965298,0.3406161177,0.2772619134,0.2448227552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529191036001.0,553908810215.0,0.0790088512,132.9408879822,34.9367116902,0.7398768027,0.0,,,,,,,0.0,12245072.0
