date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-03,0.0026346808299422264,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,0.0035300669260323048,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-05,0.0038365640211850405,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-06,0.003079907735809684,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-09,0.0038365640211850405,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-10,0.002238447545096278,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-11,0.0035300669260323048,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-12,0.0035300669260323048,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-13,0.0035300669260323048,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-23,0.004289044067263603,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-24,0.004289044067263603,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-25,0.0035300669260323048,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-26,0.0035300669260323048,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-27,0.0035300669260323048,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-02,0.0037388743367046118,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-03,0.0038365640211850405,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-04,0.003431678982451558,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-05,0.0035300669260323048,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-06,0.0035300669260323048,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-09,0.0023191040381789207,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-10,0.0022907895036041737,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-11,0.0035300669260323048,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-12,0.00294187618419528,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-13,0.003937108442187309,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-16,0.003937108442187309,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-17,0.004832494538277388,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-18,0.005138991866260767,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-19,0.0038372622802853584,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-20,0.0031350511126220226,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-23,0.002411230467259884,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-24,0.0015158441383391619,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-25,0.0022714869119226933,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-26,0.002411230467259884,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-27,0.0022714869119226933,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-30,0.004675460048019886,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-31,0.004972785711288452,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-01,0.004972087685018778,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-02,0.004972785711288452,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-03,0.0052792830392718315,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-06,0.003446097718551755,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-07,0.002238447545096278,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-08,0.0038365640211850405,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-09,0.0026733349077403545,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-10,0.0026450203731656075,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-13,0.002238447545096278,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-14,0.004289044067263603,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-15,0.002906347159296274,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-16,0.003079907735809684,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-17,0.002238447545096278,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-20,0.002238447545096278,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-21,0.002238447545096278,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-22,0.0026450203731656075,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-23,0.003446097718551755,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-24,0.0026046375278383493,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-28,0.004622653126716614,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-29,0.0037811927031725645,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-04,0.0037811927031725645,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-05,0.004187765531241894,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-06,0.0037811927031725645,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-07,0.0037811927031725645,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-08,0.004622653126716614,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-11,0.0028428875375539064,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-12,0.003268416738137603,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-13,0.0023301115725189447,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-14,0.004187765531241894,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-15,0.0009448850178159773,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-18,0.0018642337527126074,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-19,0.0009448850178159773,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-20,0.003318157745525241,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-21,0.0019639215897768736,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-22,0.0023301115725189447,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-25,0.0023301115725189447,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-26,0.0005786950932815671,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-27,0.0024766975548118353,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-28,0.0024766975548118353,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-29,0.0028102442156523466,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-01,0.0024766975548118353,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-02,0.003277774900197983,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-03,0.0024766975548118353,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-04,0.0032494603656232357,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-05,0.0024766975548118353,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-08,0.0028428875375539064,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-09,0.0028428875375539064,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-10,0.0024766975548118353,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-11,0.003431678982451558,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-12,0.004857273306697607,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-15,0.003431678982451558,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-16,0.003431678982451558,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-17,0.003431678982451558,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-18,0.003431678982451558,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-19,0.0028428875375539064,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-22,0.003431678982451558,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-23,0.003431678982451558,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-24,0.0027660212945193052,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-25,0.003072518389672041,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-26,0.0025107762776315212,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-29,0.003738176077604294,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-30,0.003738176077604294,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-01,0.0027660212945193052,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-02,0.002734007081016898,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-03,0.00214458629488945,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-06,0.0021850010380148888,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-07,0.0003988397365901619,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-08,3.264981205575168e-05,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-09,3.264981205575168e-05,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-10,3.264981205575168e-05,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-13,3.264981205575168e-05,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-14,3.264981205575168e-05,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-15,3.264981205575168e-05,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-16,0.001753075746819377,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-17,0.001753075746819377,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-20,0.0033531140070408583,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-21,0.0010154934134334326,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-22,-0.0008454259368591011,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-23,1.8818456737790257e-05,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-24,-0.0009005303145386279,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
