entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2023-04-27,2023-05-08,14.68,14.74,6700,4,402000.0,-90986.0,-0.0009232216765379323,fixed_horizon_exit
2023-05-10,2023-05-16,14.74,14.74,6700,4,0.0,-493790.0,-0.00499001996007984,fixed_horizon_exit
2023-05-19,2023-05-25,14.74,14.27,6700,4,-3149000.0,-3633343.0,-0.03671693248509765,fixed_horizon_exit
2023-05-26,2023-06-01,14.41,14.61,6600,4,1320000.0,840510.0,0.00881997282326395,fixed_horizon_exit
2023-06-13,2023-06-19,15.86,15.99,6000,4,780000.0,301860.0,0.0031657995484440952,fixed_horizon_exit
2023-06-20,2023-06-26,16.03,17.45,6000,4,8519999.999999985,8013539.999999985,0.08315184976273263,fixed_horizon_exit
2023-07-03,2023-07-07,17.69,18.73,5900,4,6136000.0,5595737.0,0.05350689237691942,fixed_horizon_exit
2023-07-10,2023-07-14,18.8,18.46,5800,4,-1972000.0,-2511284.0,-0.022984881301227333,fixed_horizon_exit
2023-07-17,2023-07-21,18.46,19.11,5800,4,3770000.0,3223350.0,0.030045542717382138,fixed_horizon_exit
2023-07-24,2023-07-28,19.11,19.07,5800,4,-232000.0,-785494.0,-0.007072720075286371,fixed_horizon_exit
2023-08-01,2023-08-07,18.53,18.4,5900,4,-767000.0,-1311334.0,-0.011970662021881762,fixed_horizon_exit
2023-08-18,2023-08-24,17.89,17.55,6000,4,-2040000.0,-2570580.0,-0.023900215220760267,fixed_horizon_exit
2023-09-11,2023-09-15,18.94,18.67,5600,4,-1512000.0,-2037784.0,-0.019174428334460963,fixed_horizon_exit
2023-09-19,2023-09-25,19.04,17.72,5400,4,-7128000.0,-7620696.0,-0.07397180429057851,fixed_horizon_exit
2023-09-26,2023-10-02,17.69,16.77,5400,4,-4968000.0,-5430726.0,-0.05673728856588688,fixed_horizon_exit
2023-10-03,2023-10-09,16.57,17.58,5500,4,5555000.0,5082660.0,0.055659351182969004,fixed_horizon_exit
2025-04-09,2025-04-15,16.92,18.97,5600,4,11480000.0,10971800.0,0.11556378967832656,fixed_horizon_exit
