item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,7728558333054.0,10350829310371.0,8561115870835.0,7557609285209.0,6922420157079.0,7243649790324.0,6357624550476.0,6597688642656.0,5786705656797.0,6954874484755.0,8434594254178.0,9167199061789.0,10861759782895.0,13035928326400.0,15922446541201.0,17005852337540.0,12697836917471.0,12233956658179.0,8152489405311.0,7942001885518.0,7081785888227.0,8825360498716.0,8235149420595.0,9249620869660.0,9423664153117.0,10986177055158.0,10223342839464.0,10407256195735.0,8661488408243.0,9755435690591.0,8496510589448.0,8610143244923.0,9230085758606.0,10267478441443.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-64416547270.0,-26047307468.0,4809906505.0,-12172384423.0,-11138849244.0,-15403371194.0,-7814059552.0,-12689482286.0,-8188305579.0,-120860871722.0,-92667452885.0,-67608113815.0,-15770761902.0,-52033980353.0,-125398622479.0,-72224701503.0,-37182329109.0,-56720819850.0,-213371516572.0,-24573266722.0,-100919254794.0,-179582258811.0,-128561956079.0,-176396727781.0,-174079594848.0,-145796484319.0,-114638372003.0,-185592804518.0,-211136472528.0,-246253892222.0,-139892636582.0,-227071005807.0,-254948862639.0,-274221261972.0
Doanh thu thuần,Net sales,net_sales,7664141785784.0,10324782002903.0,8565925777340.0,7545436900786.0,6911281307835.0,7228246419130.0,6349810490924.0,6584999160370.0,5778517351218.0,6834013613033.0,8341926801293.0,9099590947974.0,10845989020993.0,12983894346047.0,15797047918722.0,16933627636037.0,12660654588362.0,12177235838329.0,7939117888739.0,7917428618796.0,6980866633433.0,8645778239905.0,8106587464516.0,9073224141879.0,9249584558269.0,10840380570839.0,10108704467461.0,10221663391217.0,8450351935715.0,9509181798369.0,8356617952866.0,8383072239116.0,8975136895967.0,9993257179471.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-6644960060059.0,-9293672747527.0,-7820274616957.0,-6938343920747.0,-6130626156488.0,-6257870428132.0,-5509314531305.0,-5631901059990.0,-4702644291988.0,-5771150231346.0,-6807367931294.0,-7600738924861.0,-8892023772404.0,-10030159798762.0,-13330201556726.0,-14810351326627.0,-11231402390086.0,-10582264858812.0,-8147926214186.0,-7757461411410.0,-6047166739635.0,-7753682842081.0,-7031707873880.0,-8123530589517.0,-8131340250624.0,-9503466005063.0,-9249890496777.0,-9016345704951.0,-7373693714327.0,-8296295006345.0,-7331439803939.0,-7444555652942.0,-7923658244130.0,-8467079428531.0
Lợi nhuận gộp,Gross Profit,gross_profit,1019181725725.0,1031109255376.0,745651160383.0,607092980039.0,780655151347.0,970375990998.0,840495959619.0,953098100380.0,1075873059230.0,1062863381687.0,1534558869999.0,1498852023113.0,1953965248589.0,2953734547285.0,2466846361996.0,2123276309410.0,1429252198276.0,1594970979517.0,-208808325447.0,159967207386.0,933699893798.0,892095397824.0,1074879590636.0,949693552362.0,1118244307645.0,1336914565776.0,858813970684.0,1205317686266.0,1076658221388.0,1212886792024.0,1025178148927.0,938516586174.0,1051478651837.0,1526177750940.0
Doanh thu hoạt động tài chính,Financial income,financial_income,14221548213.0,17918683536.0,133959057959.0,23936253929.0,7904819095.0,14939032382.0,16384125223.0,6720371407.0,24350205633.0,21202896704.0,24840563069.0,14841583447.0,64088353028.0,152701691837.0,134664484092.0,153040387534.0,-27762541769.0,44070725961.0,97458254842.0,32049202015.0,73449921437.0,12714863276.0,115260929240.0,43756716481.0,138569931583.0,30643312804.0,128744528572.0,43366281602.0,120384221561.0,61111362894.0,55954636807.0,39136515213.0,26042722785.0,4157944957.0
Chi phí tài chính,Financial expenses,financial_expenses,-216377955385.0,-217196658112.0,-350973686371.0,-198227899631.0,-205512364586.0,-200088993069.0,-198805484586.0,-174020486499.0,-222901652918.0,-145884673278.0,-116311783902.0,-122643731977.0,-117154166168.0,-150928692258.0,-161281710231.0,-168990724113.0,-21924406210.0,-218442212991.0,-111515976158.0,-113597148643.0,-74974559237.0,-64154868097.0,-61428166269.0,-49551969633.0,-42646129213.0,-64508986628.0,-97789592668.0,-74955347759.0,-68972578521.0,-59951914920.0,-68397817307.0,-69418563118.0,-115223006750.0,-126019448414.0
Chi phí lãi vay,Interest expenses,interest_expenses,-216111587464.0,-189916529097.0,-234554505947.0,-187040186546.0,-195018295520.0,-178349555282.0,-185552127572.0,-157976183288.0,-151674135447.0,-136485157060.0,-113950660131.0,-91845086689.0,-77078839889.0,-79458539288.0,-106666082947.0,-75432057646.0,-52046334384.0,-59241516019.0,-73522016290.0,-47864076978.0,-57069959356.0,-54630974661.0,-35924492112.0,-25318241519.0,-28753268551.0,-39340801219.0,-39610103824.0,-49209244174.0,-46223404876.0,-42601433022.0,-47058761250.0,-52210780267.0,-108215714910.0,-120766104398.0
Chi phí bán hàng,Selling expenses,selling_expenses,-435970155323.0,-505192586939.0,-671128531856.0,-435815513154.0,-433260812888.0,-468746667553.0,-403059847645.0,-467638546563.0,-503610066891.0,-477537778902.0,-772296681754.0,-595425651914.0,-647566225161.0,-857091521374.0,-1244403838105.0,-1226880157592.0,-926923900276.0,-1014890610022.0,-663947832175.0,-668467268095.0,-535694448461.0,-720474822205.0,-552227616782.0,-734992345785.0,-799890405608.0,-900886044821.0,-908893468251.0,-848556571827.0,-737435708370.0,-790598191546.0,-732293697575.0,-657845507426.0,-651936794561.0,-805520344329.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-239803218549.0,-234989398584.0,6023831755.0,-113068983712.0,-112789606990.0,-108332380584.0,-136509717598.0,-104543348180.0,-142091890744.0,-94549714122.0,-105238592257.0,-105024017548.0,-69662761355.0,-108576352498.0,-142553232537.0,-134043713707.0,-169043052543.0,-115371788308.0,-103768807864.0,-99485305598.0,-108090312070.0,-115497186360.0,-83895107246.0,-104267348253.0,-113256556177.0,-129116640153.0,-148967545769.0,-142824062384.0,-170163810354.0,-168735852265.0,-183988282077.0,-169129498011.0,-173304449419.0,-179129931694.0
