date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2023-07-04,0.002308203838765621,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-05,0.002308203838765621,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-06,0.0036403522826731205,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-07,0.00262429635040462,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-10,0.00262429635040462,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-11,0.00262429635040462,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-12,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-13,0.003824621206149459,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-14,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-17,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-18,0.004057153593748808,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-19,0.00276474142447114,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-20,0.00262429635040462,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-21,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-24,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-25,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-26,0.0038166691083461046,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-27,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-28,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-07-31,0.0045549324713647366,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-01,0.006480493117123842,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-02,0.006055461708456278,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-03,0.005598924122750759,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-04,0.0052320812828838825,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-07,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-08,0.004373245872557163,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-09,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-10,0.0031755841337144375,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-11,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-14,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-15,0.0038166691083461046,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-16,0.0036875514779239893,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-17,0.003948214463889599,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-18,0.003654350060969591,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-21,0.004969723057001829,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-22,0.0029996081721037626,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-23,0.0029996081721037626,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-24,0.0032293186523020267,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-25,0.0032293186523020267,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-28,0.0031755841337144375,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-29,0.0031755841337144375,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-30,0.004149613901972771,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-08-31,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-05,0.0039718663319945335,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-06,0.004149613901972771,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-07,0.0038166691083461046,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-08,0.0038166691083461046,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-11,0.004373245872557163,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-12,0.006247300188988447,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-13,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-14,0.0036157951690256596,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-15,0.003948214463889599,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-18,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-19,0.0027342261746525764,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-20,0.0034916766453534365,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-21,0.0038166691083461046,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-22,0.007113481871783733,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-25,0.003654350060969591,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-26,0.003424639580771327,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-27,0.0029996081721037626,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-28,0.0029996081721037626,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-09-29,0.003424639580771327,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-10-02,0.0027315260376781225,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-10-03,0.003156557446345687,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-10-04,0.0026224867906421423,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-10-05,0.0030475181993097067,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-10-06,0.0026224867906421423,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-10-09,0.0026224867906421423,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-10-10,0.0026224867906421423,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-10-11,0.0026224867906421423,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-10-12,0.0029474792536348104,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2023-10-13,0.0026224867906421423,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
