year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2697923,RATIO_TTM,HT1,2018,381541911,4254192307650.0,0.0,9.5451955013,0.8084793577,0.5218240824,3.6673028498,4.9163954345,0.0860312506,0.2782286496,0.5276173929,0.4773030942,0.849225311,1.0419235231,0.0858156029,0.0396560225,20.1974846937,46.0003278899,41.0623977438,0.1608374067,0.1219080868,0.0682070179,0.0544808942,0.7253871565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993860694485.0,1723805264300.0,0.1019666814,109.628194799,0.9971325615,1.0419235231,0.0,,,,,,,0.0,
2018,2,2713313,RATIO_TTM,HT1,2018,381541911,4540348740900.0,0.0,7.944415254,0.8371708024,0.5533466462,3.9290013252,4.6744168585,0.1063535217,0.3122984786,0.5526428641,0.4013833982,0.7518188864,0.9921228229,0.1093946674,0.0517585457,19.2373395675,45.0799639762,40.407578605,0.1640250003,0.1255510039,0.0871783425,0.0695620443,0.743099073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030177640475.0,1772095163205.0,0.1082675153,108.3778554535,1.0177399065,0.9921228229,0.0,,,,,,,0.0,
2018,3,2715637,RATIO_TTM,HT1,2018,381541911,5761282856100.0,0.0,9.6795090671,1.1594340643,0.6952432341,4.2191092238,5.2136601768,0.2003420006,0.3524615707,0.5386027947,0.4115545813,0.8308335868,1.2117073448,0.1141671532,0.0545213497,18.1566257234,41.9475628288,41.1569184287,0.1603835339,0.1222308321,0.0899810254,0.0717910561,0.7590723266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012892125908.0,1745501458277.0,0.1111532687,106.0336597105,1.048308129,1.2117073448,0.0,,,,,,,0.0,
2018,4,2716920,RATIO_TTM,HT1,2018,381541911,6142824767100.0,0.0,9.5784663435,1.1884385721,0.7333457891,3.310242405,5.2481891221,0.2082718215,0.3404495283,0.5159599828,0.3320413628,0.7415086347,1.053483081,0.1237474225,0.0590859825,16.6209779746,40.4904106047,49.5457183006,0.1675110471,0.1289396866,0.096214479,0.0765768174,0.7716440351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080055155738.0,1808285838052.0,0.1197940685,109.7647692636,1.0719795838,1.053483081,0.0,,,,,,,0.0,
2018,5,12237762,RATIO_YEAR,HT1,2018,381541911,6142824767100.0,0.0515021459,14.0314074988,1.7227114674,1.0612347602,4.8000308495,6.6213387912,0.2074373804,0.3292873262,0.5153225349,0.3318330712,0.7408701018,1.0572560205,0.1223447931,0.0583629449,16.6178394925,40.5498158788,49.5267867132,0.1674980315,0.1282919534,0.0969692923,0.0756380717,0.7716617409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074832416172.0,1803948012709.0,0.1194371659,109.8617490132,1.0722730971,1.0572560205,0.0,,,,,,,0.0,12237762.0
2019,1,2723527,RATIO_TTM,HT1,2019,381541911,5971130907150.0,0.0,8.9286976716,1.1346824894,0.6996090135,4.3466374398,5.3115752929,0.0834226982,0.2526535275,0.4825661086,0.2924861922,0.7174866205,0.9468016274,0.1282367441,0.0626095955,15.5935109153,39.306845326,47.1511085213,0.1633393165,0.1242033934,0.0982503727,0.0783659168,0.7990493814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060070277607.0,1783652746303.0,0.1171053757,108.2429790072,1.1278211436,0.9468016274,0.0,,,,,,,0.0,
2019,2,2726432,RATIO_TTM,HT1,2019,381541911,5913899620500.0,0.0,9.3089893571,1.0961051221,0.6799083027,4.0544634138,5.0124651689,0.1312412905,0.3012383816,0.4995604484,0.2224515689,0.6430993276,0.9099709792,0.1219823223,0.0601798728,14.384102881,38.0516850996,48.2551802262,0.1615478548,0.1218152725,0.0913485605,0.0730558346,0.8239549257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059559488629.0,1777739422975.0,0.119336751,107.0740199249,1.1757128043,0.9099709792,0.0,,,,,,,0.0,
2019,3,2731552,RATIO_TTM,HT1,2019,381541911,5684974473900.0,0.0,7.7609545307,1.0132716919,0.6408798366,3.8541432419,4.3648345531,0.1498994597,0.3182577373,0.5456523408,0.1996857312,0.5492897488,0.8178268428,0.1364472162,0.0707193602,14.0233949955,38.41923089,49.9430861078,0.1730419275,0.1327539844,0.1033261818,0.0825947601,0.8564003853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177604551803.0,1892526245378.0,0.1352743782,108.1552734583,1.2270948416,0.8178268428,0.0,,,,,,,0.0,
2019,4,2734541,RATIO_TTM,HT1,2019,381541911,5074507416300.0,0.0,6.8549407169,0.9474348432,0.5741286025,4.1972016362,4.0371694313,0.1993598778,0.3279673704,0.5056879995,0.1505314735,0.5931828244,0.9178777621,0.1405677988,0.070769542,14.6946642178,36.2675019843,59.6553177132,0.1766195273,0.134229339,0.1049888998,0.0837924125,0.8448629628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186402790463.0,1894915985365.0,0.1388138101,114.1334906241,1.2330189578,0.9178777621,0.0,,,,,,,0.0,
2019,5,12245086,RATIO_YEAR,HT1,2019,381541911,5074507416300.0,0.0515021459,14.3717301473,1.6600006787,1.005930779,7.3529923401,5.9398312802,0.1993598778,0.3211181337,0.5056879995,0.1505314735,0.5931828244,0.9178777621,0.1405677988,0.070769542,14.6946642178,36.2675019843,59.6553177132,0.1766195273,0.134229339,0.1049888998,0.0837924125,0.8448629628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186402790463.0,1894915985365.0,0.1388138101,114.1334906241,1.2330189578,0.9178777621,0.0,,,,,,,0.0,12245086.0
