date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-02,-0.002711814595386386,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-03,-0.0047903601080179214,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-04,-0.007201945409178734,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-05,-0.003715675324201584,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-06,-0.005681408103555441,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-09,-0.006004654336720705,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-10,-0.005497647915035486,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-11,-0.003922256641089916,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-12,-0.003922256641089916,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-13,-0.003922256641089916,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-23,-0.003976274747401476,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-24,-0.0003381482092663646,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-25,-0.003976274747401476,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-26,-0.003976274747401476,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-27,-0.0027707000263035297,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-02,-0.0027707000263035297,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-03,-0.005397549830377102,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-04,-0.002523185918107629,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-05,-0.004755296278744936,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-06,-0.005397549830377102,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-09,-0.0010299179702997208,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-10,-0.003270975546911359,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-11,-0.0038105337880551815,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-12,-0.00367766828276217,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-13,-0.004488116595894098,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-16,-0.0028910161927342415,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-17,-0.0028910161927342415,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-18,-0.0028910161927342415,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-19,-0.0024645908270031214,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-20,-0.0024645908270031214,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-03-23,-0.002606945810839534,0.005,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
