item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,413290505000.0,517237231000.0,408206691000.0,1581292108000.0,841381767000.0,408618689000.0,611570585000.0,953705640000.0,710492672000.0,821716552000.0,1759848681000.0,1310133627000.0,873772240000.0,1094995671000.0,1199264054000.0,597836861000.0,142725740000.0,732500131000.0,805489958000.0,1292869192000.0,425869365000.0,589115500000.0,616403014000.0,470107034000.0,333960678000.0,645159733000.0,252802130000.0,2063207318000.0,716284342000.0,1054368668000.0,1098456779000.0,1819987562000.0,281361228000.0,238524267000.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-2491921000.0,555571000.0,-102696000.0,-1392066000.0,0.0,-255354000.0,-351326000.0,-1316573000.0,-9416806000.0,-36874662000.0,-4730420000.0,-19101125000.0,-37293347000.0,16997968000.0,0.0,-7823833000.0,0.0,0.0,-2831393000.0,-58790426000.0,-563366000.0,-6812774000.0,0.0,-624862000.0,0.0,-621512000.0,-246351000.0,-15677790000.0,-6398880000.0,-5042135000.0,-212585000.0,-26338701000.0,0.0,-77881704000.0
Doanh thu thuần,Net sales,net_sales,410798584000.0,517792802000.0,408103995000.0,1579900042000.0,841381767000.0,408363335000.0,611219259000.0,952389067000.0,701075866000.0,784841890000.0,1755118261000.0,1291032502000.0,836478893000.0,1111993639000.0,1199264054000.0,590013028000.0,142725740000.0,732500131000.0,802658565000.0,1234078766000.0,425305999000.0,582302726000.0,616403014000.0,469482172000.0,333960678000.0,644538221000.0,252555779000.0,2047529528000.0,709885462000.0,1049326533000.0,1098244194000.0,1793648861000.0,281361228000.0,160642563000.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-227742971000.0,-377520378000.0,-168874315000.0,-897309925000.0,-577727490000.0,-173326843000.0,-193609369000.0,-367321847000.0,-365948815000.0,-368233599000.0,-1211037414000.0,-623176763000.0,-478240883000.0,-639867696000.0,-722057891000.0,-105255696000.0,-65302197000.0,-234593047000.0,-293168212000.0,-935897868000.0,-93424241000.0,-65923401000.0,-183710162000.0,-177854947000.0,-159784308000.0,-144641514000.0,-94741409000.0,-1139869658000.0,-403198348000.0,-645575829000.0,-322522722000.0,-526270407000.0,-98524405000.0,-80039812000.0
Lợi nhuận gộp,Gross Profit,gross_profit,183055613000.0,140272424000.0,239229680000.0,682590117000.0,263654277000.0,235036492000.0,417609890000.0,585067220000.0,335127051000.0,416608291000.0,544080847000.0,667855739000.0,358238010000.0,472125943000.0,477206163000.0,484757332000.0,77423543000.0,497907084000.0,509490353000.0,298180898000.0,331881758000.0,516379325000.0,432692852000.0,291627225000.0,174176370000.0,499896707000.0,157814370000.0,907659870000.0,306687114000.0,403750704000.0,775721472000.0,1267378454000.0,182836823000.0,80602751000.0
Doanh thu hoạt động tài chính,Financial income,financial_income,20891800000.0,147889321000.0,43473810000.0,5815278000.0,8698865000.0,12431322000.0,13673273000.0,6790005000.0,4790893000.0,5552809000.0,14814242000.0,9814296000.0,5179023000.0,6131643000.0,1407551000.0,7255459000.0,2485108000.0,5557576000.0,414121000.0,9257193000.0,12752903000.0,7673361000.0,13041338000.0,16199856000.0,12032643000.0,10499310000.0,7405238000.0,8252009000.0,19643193000.0,4186428000.0,4923399000.0,11666707000.0,7082769000.0,906167642000.0
Chi phí tài chính,Financial expenses,financial_expenses,-15578212000.0,-34702651000.0,-10965742000.0,-47240750000.0,-18187017000.0,-15658223000.0,-7934718000.0,-241382000.0,-26515987000.0,-18619224000.0,-21940108000.0,-17602845000.0,-16812225000.0,-23194633000.0,-26918920000.0,-5437718000.0,-2956585000.0,-123982000.0,-49255303000.0,-29246779000.0,-1372716000.0,-18080063000.0,-67938329000.0,-55957801000.0,-21157850000.0,-11442199000.0,-12604801000.0,-170816878000.0,-47827900000.0,-53925261000.0,-2689879000.0,-75431346000.0,-17346683000.0,-29713278000.0
Chi phí lãi vay,Interest expenses,interest_expenses,-10183927000.0,-6239815000.0,-8670459000.0,-14434311000.0,-7511718000.0,-105985000.0,-3077002000.0,0.0,0.0,0.0,0.0,0.0,-1704492000.0,-13875243000.0,0.0,-285372000.0,-1186027000.0,1186027000.0,0.0,0.0,-687860000.0,-767304000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5581265000.0,-19304769000.0
Chi phí bán hàng,Selling expenses,selling_expenses,-17779531000.0,-28234492000.0,-7438180000.0,-45182129000.0,-44235725000.0,-25883053000.0,-8310805000.0,-36209974000.0,-49413271000.0,-34680984000.0,-26871147000.0,-136029810000.0,-20468504000.0,-60726208000.0,-7762176000.0,-112110197000.0,-13742759000.0,-4752904000.0,-42792669000.0,-42125697000.0,-12148705000.0,-19366912000.0,-72742993000.0,-58839853000.0,-11034897000.0,-31013647000.0,-17696964000.0,-162938662000.0,-62529336000.0,-54885320000.0,-71469875000.0,-184592425000.0,-36082726000.0,-73987859000.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-40261852000.0,-43044413000.0,-33216272000.0,-40682321000.0,-49197732000.0,-40917052000.0,-36664173000.0,-37015199000.0,-48314057000.0,-40547430000.0,-33442577000.0,-47070892000.0,-50892578000.0,-45780361000.0,-37623496000.0,-48646256000.0,-58490208000.0,-52439763000.0,-51112527000.0,-57545180000.0,-56468175000.0,-48838022000.0,-47658955000.0,-52978903000.0,-45423897000.0,-46124277000.0,-49446259000.0,-68189403000.0,-54417825000.0,-56529944000.0,-47714856000.0,-61370602000.0,-59976424000.0,-59930008000.0
