item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,120424634395.0,200917134484.0,96794959715.0,483437066756.0,293871808005.0,275322687858.0,250730663649.0,241691159553.0,178948859396.0,253753224871.0,246033048975.0,626973253411.0,223033963958.0,393057685034.0,184924300443.0,305552177811.0,255463989820.0,461371029513.0,299365387861.0,327259994153.0,329245144113.0,323098824911.0,295840935552.0,366383662722.0,237296246171.0,461337922882.0,304738997931.0,435553551422.0,226684295528.0,436108649141.0,351764590970.0,540730148681.0,256962276340.0,465694565519.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,120424634395.0,200917134484.0,96794959715.0,483437066756.0,293871808005.0,275322687858.0,250730663649.0,241691159553.0,178948859396.0,253753224871.0,246033048975.0,626973253411.0,223033963958.0,393057685034.0,184924300443.0,305552177811.0,255463989820.0,461371029513.0,299365387861.0,327259994153.0,329245144113.0,323098824911.0,295840935552.0,366383662722.0,237296246171.0,461337922882.0,304738997931.0,435553551422.0,226684295528.0,436108649141.0,351764590970.0,540730148681.0,256962276340.0,465694565519.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-112529682802.0,-168820514882.0,-85600516201.0,-446847874947.0,-274876919691.0,-256753818736.0,-232962189416.0,-211916415280.0,-163129534547.0,-243868727715.0,-228131586301.0,-590635426402.0,-209666193933.0,-377516219318.0,-174768300006.0,-294211505908.0,-224677975472.0,-412203002389.0,-258091648862.0,-301830946919.0,-298591950319.0,-298598347719.0,-261202607168.0,-311594272553.0,-208438289351.0,-402059766098.0,-260075311971.0,-401081541046.0,-199900672262.0,-382876462354.0,-309005012329.0,-489756231252.0,-229083862972.0,-399014410861.0
Lợi nhuận gộp,Gross Profit,gross_profit,7894951593.0,32096619602.0,11194443514.0,36589191809.0,18994888314.0,18568869122.0,17768474233.0,29774744273.0,15819324849.0,9884497156.0,17901462674.0,36337827009.0,13367770025.0,15541465716.0,10156000437.0,11340671903.0,30786014348.0,49168027124.0,41273738999.0,25429047234.0,30653193794.0,24500477192.0,34638328384.0,54789390169.0,28857956820.0,59278156784.0,44663685960.0,34472010376.0,26783623266.0,53232186787.0,42759578641.0,50973917429.0,27878413368.0,66680154658.0
Doanh thu hoạt động tài chính,Financial income,financial_income,3421146.0,163282541.0,11156178.0,42649643.0,175416440.0,4902034.0,2612671.0,202580694.0,1629644.0,13512695490.0,125067499.0,29808089326.0,15102084839.0,186149623.0,3278927444.0,28955948121.0,162589406.0,6029848165.0,2498955850.0,26727909369.0,2164746582.0,41988793293.0,3657773588.0,2549581086.0,2392293425.0,2178444979.0,2749991949.0,2411411247.0,2172742147.0,1886532803.0,2918857606.0,2128409246.0,2231691971.0,2383402205.0
Chi phí tài chính,Financial expenses,financial_expenses,-254225694.0,-4041228341.0,-1147873733.0,-2029602822.0,-1003340289.0,-3353992897.0,-1358855855.0,-5311951771.0,-1720647645.0,-9096737406.0,-6116549863.0,-7884342816.0,-6458854194.0,-5092741892.0,-3482225346.0,-10804323777.0,-16900774483.0,-26448668241.0,-26593603754.0,-28944777437.0,-18010369250.0,-47555278853.0,-25206715933.0,-32150418147.0,-19461567325.0,-34201142733.0,-22829492392.0,-24803793215.0,-17583097716.0,-31428431308.0,-24018295345.0,-29412012307.0,-20442334059.0,-32324931546.0
Chi phí lãi vay,Interest expenses,interest_expenses,-254225694.0,-4041228341.0,-1147873733.0,-2029602822.0,-1003340289.0,-3353992897.0,-1358855855.0,-5311951771.0,-1720647645.0,-9096737406.0,-6116549863.0,-7884342816.0,-6458854194.0,-5092741892.0,-3482225346.0,-10804323777.0,-16900774483.0,-26448668241.0,-26593603754.0,-28726200394.0,-18010369250.0,-47390398433.0,-25206715933.0,-32150418147.0,-19461567325.0,-34201142733.0,-22499492392.0,-18347969212.0,-16615851823.0,-30639519218.0,-22827995345.0,-29432012307.0,-20442334059.0,-26918107296.0
Chi phí bán hàng,Selling expenses,selling_expenses,-88858182.0,-613607699.0,-398822799.0,-152127372.0,-230328633.0,-223393699.0,-424261660.0,-3090685407.0,-1629365122.0,-2131338357.0,-2337685947.0,-9295365236.0,-4720846033.0,2441976322.0,-546938182.0,-1199927833.0,-358509905.0,-1624040995.0,-350169570.0,-237451357.0,-150020328.0,-119400783.0,-112893163.0,-5469351574.0,-99303164.0,-4898142459.0,-1381540499.0,-2421680618.0,-348195886.0,-846160998.0,-158950500.0,-3188080614.0,-159600000.0,-3651031757.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-3105572038.0,-3768962636.0,-3733558769.0,-4893876207.0,-8868874688.0,-7904092383.0,-8441433022.0,-8457540849.0,-5744441063.0,-6553721642.0,-6633166492.0,-6649384271.0,-7718015367.0,-4380145029.0,-4883819251.0,-8132405570.0,-9294774502.0,-11588746947.0,-11323043168.0,-10236644181.0,-9286503678.0,-8795109221.0,-7537552702.0,-10053862823.0,-7785452414.0,-7893976429.0,-9264018370.0,-8571677472.0,-7268342174.0,-11030493746.0,-8407265330.0,-7689842227.0,-7780440317.0,-7866214635.0
