date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-02-02,0.0025448238011449575,0.0,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-02-03,0.007513309828937054,0.0,BUY,2500,False,0,197050.0,0.0019705,1.0097795,1.01175,0.009779500000000052,
2026-02-04,0.005098965484648943,0.0,HOLD,2500,False,1,0.0,0.0,0.9812795,0.98325,-0.028223983552844945,
2026-02-05,0.004621661268174648,0.0,HOLD,2500,True,2,0.0,0.0,1.0027795,1.00475,0.021910169324845796,
2026-02-06,0.0069385552778840065,0.0,HOLD,2500,True,3,0.0,0.0,1.0015295,1.0035,-0.0012465352552579745,
2026-02-09,0.006822545081377029,0.0,SELL,0,True,0,296250.0,0.0029625,0.997317,1.00225,-0.004206066820797605,-0.002717731246464189
2026-02-10,0.001847949461080134,0.0,HOLD,0,False,0,0.0,0.0,0.997317,1.00225,0.0,
2026-02-11,0.005792676936835051,0.0,BUY,2400,False,0,191424.0,0.00191424,0.98748276,0.99433,-0.00986069624803343,
2026-02-12,0.007211684249341488,0.0,HOLD,2400,False,1,0.0,0.0,0.99204276,0.99889,0.004617802137629301,
2026-02-13,0.007015446666628122,0.0,HOLD,2400,True,2,0.0,0.0,1.00332276,1.01017,0.011370477619331743,
2026-02-23,0.006585266441106796,0.0,HOLD,2400,True,3,0.0,0.0,1.00452276,1.01137,0.001196025893003716,
2026-02-24,0.007398965302854776,0.0,SELL,0,True,0,287784.0,0.00287784,0.99468492,1.00441,-0.009793546141254161,-0.0027445109780439123
2026-02-25,0.008186387829482555,0.0,BUY,2400,False,0,193008.0,0.00193008,1.00643484,1.01809,0.011812705474613994,
2026-02-26,0.007802869193255901,0.0,HOLD,2400,False,1,0.0,0.0,1.00403484,1.01569,-0.002384655125810209,
2026-02-27,0.009149402379989624,0.0,HOLD,2400,True,2,0.0,0.0,0.97811484,0.98977,-0.025815837227321725,
2026-03-02,0.006237300578504801,0.0,HOLD,2400,True,3,0.0,0.0,0.98939484,1.00105,0.011532388160065077,
2026-03-03,0.006153514143079519,0.0,SELL,0,True,0,293256.0,0.00293256,1.00230228,1.01689,0.013045792719112992,0.007877555011836561
2026-03-04,0.005519768688827753,0.0,BUY,2400,False,0,197328.0,0.00197328,0.985449,1.00201,-0.016814568156025778,
2026-03-05,0.006742900237441063,0.0,HOLD,2400,False,1,0.0,0.0,0.972009,0.98857,-0.013638453131516681,
2026-03-06,0.004090609960258007,0.0,HOLD,2400,True,2,0.0,0.0,0.928809,0.94537,-0.044444032925621046,
2026-03-09,0.0031675922218710184,0.0,HOLD,2400,True,3,0.0,0.0,0.934569,0.95113,0.006201490295636658,
2026-03-10,0.0005361547227948904,0.0,SELL,0,True,0,283752.0,0.00283752,0.95669148,0.97609,0.0236713180086221,-0.04613613930009113
2026-03-11,0.0069557116366922855,0.0,BUY,2400,False,0,188256.0,0.00188256,0.94568892,0.96697,-0.011500635502680545,
2026-03-12,0.007539102341979742,0.0,HOLD,2400,False,1,0.0,0.0,0.95480892,0.97609,0.009643763194349342,
2026-03-13,0.005791650619357824,0.0,HOLD,2400,True,2,0.0,0.0,0.96608892,0.98737,0.011813882090670136,
2026-03-16,0.007849683985114098,0.0,HOLD,2400,True,3,0.0,0.0,0.99680892,1.01809,0.03179831521098486,
2026-03-17,0.0026306044310331345,0.0,SELL,0,True,0,297000.0,0.00297,1.00055892,1.02481,0.0037620048584636745,0.0465110065437712
2026-03-18,0.0032643501181155443,0.0,HOLD,0,False,0,0.0,0.0,1.00055892,1.02481,0.0,
2026-03-19,0.008355745114386082,0.0,BUY,2400,False,0,199152.0,0.00199152,0.9349674,0.96121,-0.06555488006643329,
2026-03-20,0.0018810129258781672,0.0,HOLD,2400,False,1,0.0,0.0,0.9361674,0.96241,0.001283467209658884,
2026-03-23,-0.0023410196881741285,0.0,HOLD,2400,True,2,0.0,0.0,0.9532074,0.97945,0.018201872870172497,
2026-03-24,0.0010292304214090109,0.0,HOLD,2400,True,3,0.0,0.0,0.9508074,0.97705,-0.0025178151155771378,
2026-03-25,-0.0008628989453427494,0.0,SELL,0,True,0,284400.0,0.002844,0.9479634,0.97705,-0.0029911420546369083,-0.052714046479227616
2026-03-26,-0.0008628989453427494,0.0,HOLD,0,False,0,0.0,0.0,0.9479634,0.97705,0.0,
