entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2023-07-10,2023-07-14,9.57,9.37,10400,4,-2080000.0,-2571400.0,-0.025784376909712445,fixed_horizon_exit
2023-08-07,2023-08-11,10.92,11.04,8900,4,1068000.0,578856.0,0.005944155644754447,fixed_horizon_exit
2023-08-14,2023-08-18,11.04,11.36,8800,4,2816000.0,2321792.0,0.023850849026584513,fixed_horizon_exit
2023-08-22,2023-08-28,11.76,11.95,8500,4,1615000.0,1110355.0,0.01108582155417057,fixed_horizon_exit
2023-08-29,2023-09-06,12.02,12.17,8400,4,1260000.0,751380.0,0.007426909907306851,fixed_horizon_exit
2023-09-07,2023-09-13,12.13,12.06,8400,4,-588000.0,-1095696.0,-0.010732039630549289,fixed_horizon_exit
2023-09-21,2023-09-27,11.15,10.25,9000,4,-8100000.0,-8577450.0,-0.0853047268691317,fixed_horizon_exit
2023-11-01,2023-11-07,11.42,11.87,8000,4,3600000.0,3132400.0,0.03421790394692227,fixed_horizon_exit
2023-11-20,2023-11-24,11.64,11.15,8200,4,-4018000.0,-4483186.0,-0.04687617891365036,fixed_horizon_exit
2023-11-27,2023-12-01,11.15,11.53,8100,4,3078000.0,2617191.0,0.028920634068186495,fixed_horizon_exit
2023-12-04,2023-12-08,11.57,12.21,8000,4,5120000.0,4641840.0,0.050049425781108485,fixed_horizon_exit
2023-12-13,2023-12-19,11.83,11.61,8300,4,-1826000.0,-2311467.0,-0.023494009445184018,fixed_horizon_exit
2023-12-20,2023-12-26,11.61,11.83,8200,4,1804000.0,1322578.0,0.013864604984690396,fixed_horizon_exit
2023-12-27,2024-01-03,11.91,12.44,8100,4,4293000.0,3797766.0,0.03928834187209125,fixed_horizon_exit
2024-01-04,2024-01-10,12.66,12.47,7900,4,-1501000.0,-1996567.0,-0.019923029139193967,fixed_horizon_exit
2024-01-11,2024-01-17,12.25,13.11,8000,4,6880000.0,6369360.0,0.06486374190394721,fixed_horizon_exit
2024-01-19,2024-01-25,13.23,13.15,7900,4,-632000.0,-1152689.0,-0.011006709181787597,fixed_horizon_exit
2024-01-26,2024-02-01,13.11,13.42,7900,4,2449000.0,1923808.0,0.018538057371146343,fixed_horizon_exit
2024-02-02,2024-02-15,13.34,13.53,7900,4,1501000.0,969567.0,0.009181786352332815,fixed_horizon_exit
2024-02-16,2024-02-22,13.45,12.89,7900,4,-4424000.0,-4942003.0,-0.04641794477958581,fixed_horizon_exit
2024-02-23,2024-02-29,12.93,12.85,7900,4,-632000.0,-1140839.0,-0.011146307539599842,fixed_horizon_exit
