entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2023-02-27,2023-03-03,82.0,74.4,1200,4,-9120000.0,-9584640.0,-0.09721045713451147,fixed_horizon_exit
2023-03-08,2023-03-14,80.5,84.7,1100,4,4620000.0,4163390.0,0.04692354421591599,fixed_horizon_exit
2023-03-16,2023-03-22,83.8,79.0,1100,4,-5280000.0,-5725060.0,-0.061983431704609876,fixed_horizon_exit
2023-07-12,2023-07-18,79.6,80.8,1100,4,1320000.0,878240.0,0.010010130492783278,fixed_horizon_exit
2023-07-21,2023-07-27,84.6,86.1,1000,4,1500000.0,1072500.0,0.012652000962613779,fixed_horizon_exit
2023-07-28,2023-08-03,87.0,86.3,1000,4,-700000.0,-1132900.0,-0.012995847385688394,fixed_horizon_exit
2023-10-27,2023-11-02,56.0,63.9,1500,4,11850000.0,11394450.0,0.1353774593669803,fixed_horizon_exit
2024-03-07,2024-03-13,81.0,78.9,1200,4,-2520000.0,-2998440.0,-0.030786574998151843,fixed_horizon_exit
2025-03-13,2025-03-19,70.5,68.4,1300,4,-2730000.0,-3180060.0,-0.034628615110205124,fixed_horizon_exit
2025-04-08,2025-04-14,50.3,58.5,1800,4,14760000.0,14263020.0,0.15721836644801848,fixed_horizon_exit
2025-04-18,2025-04-24,58.0,62.0,1800,4,7200000.0,6656400.0,0.06363135797370775,fixed_horizon_exit
2025-05-12,2025-05-16,62.4,62.0,1800,4,-720000.0,-1279440.0,-0.011368289062899842,fixed_horizon_exit
2025-05-22,2025-05-28,64.0,63.4,1700,4,-1020000.0,-1560940.0,-0.014318238522954092,fixed_horizon_exit
2025-05-29,2025-06-04,63.0,65.8,1700,4,4760000.0,4210220.0,0.03923264581947217,fixed_horizon_exit
2025-06-05,2025-06-11,65.9,65.8,1700,4,-170000.0,-729640.0,-0.006499898533736776,fixed_horizon_exit
2025-06-12,2025-06-18,65.0,67.5,1700,4,4250000.0,3684750.0,0.03327959465684017,fixed_horizon_exit
2025-06-26,2025-07-02,72.3,74.5,1600,4,3520000.0,2931040.0,0.025286908893140413,fixed_horizon_exit
