item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,97732971950687.0,76834611871316.0,77201650782966.0,75125383121673.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,17993680960722.0,4553652582201.0,4999925717187.0,5510816169528.0
Tiền,Cash,cash,17993680960722.0,4553652582201.0,4960375717187.0,5510816169528.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,39550000000.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,45665099166818.0,41831153715755.0,33874270102700.0,33436260988199.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,2434312355641.0,2121015956014.0,10182835978469.0,11515134739245.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,421858877183.0,255239898353.0,253358838280.0,203255755385.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,80803683167.0,162975645383.0,141627187798.0,34907414898.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,1931649795291.0,1702800412278.0,2877349952391.0,3397471568962.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,30874909197649.0,27600707843304.0,27266851974258.0,24101279307428.0
Hàng tồn kho,Inventories,inventories,31599182640982.0,28349740199616.0,27876446129267.0,24645125687618.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-724273443333.0,-749032356312.0,-609594155009.0,-543846380190.0
Tài sản lưu động khác,Other current assets,other_current_assets,764970269857.0,728081774042.0,877767010352.0,561891917273.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,524238343073.0,508608415908.0,518599409258.0,424076848924.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,184591013449.0,176055237597.0,314874106182.0,124012614096.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,56140913335.0,43418120537.0,44293494912.0,13802454253.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,7181991691663.0,7159946601011.0,6743968829068.0,5163114770393.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,428065660316.0,420693031855.0,403823784845.0,394958296709.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
