year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2698899,RATIO_TTM,NKG,2018,181999868,2657198072800.0,0.0,3.5934865709,0.6199411058,0.1923703792,4.4593403383,5.6915416849,0.0400596608,0.4307001144,1.1452035833,0.5520458915,1.6963494173,2.0096161107,0.2683888234,0.0767192215,21.9924182473,89.9518696844,20.3184589821,0.0982537842,0.0709506605,0.0522587982,0.0487012274,1.5753072389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980036318694.0,1347965410616.0,0.1187189986,134.4235660317,3.8699086195,2.0096161107,0.0,,,,,,,0.0,
2018,2,2713159,RATIO_TTM,NKG,2018,181999868,1947398587600.0,0.0,3.1643334516,0.6194223555,0.1297442135,-5.1471058931,5.5340496305,0.0238082901,0.321573492,1.0630857736,0.4207153784,1.7783985368,2.0715719487,0.2082133721,0.0633070239,21.8087431638,90.776121873,20.0956560066,0.088489889,0.0626995126,0.0424249141,0.0390642753,1.62061369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941089694868.0,1339880037970.0,0.1077378987,135.1296716588,4.0014613563,2.0715719487,0.0,,,,,,,0.0,
2018,3,2715399,RATIO_TTM,NKG,2018,181999868,1144779169720.0,0.0,2.9870822713,0.3640427473,0.0780295133,-1.3988104775,5.7409156652,0.0172581312,0.3382361393,1.0805275989,0.4261811407,1.7355227177,1.9562993668,0.12409948,0.0397803988,22.5111982017,98.827651256,17.8626121393,0.0750992997,0.0490315157,0.028055762,0.0259907496,1.5305598894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719346506908.0,1135593511963.0,0.0836235264,141.8858248734,3.9267665739,1.9562993668,0.0,,,,,,,0.0,
2018,4,2717414,RATIO_TTM,NKG,2018,181999868,1193919134080.0,0.0,20.8237384995,0.4018337331,0.08060603,0.5111286575,8.0971052602,0.1174717973,0.4284705626,1.045253892,0.4123300204,1.4896718239,1.733602793,0.0193971887,0.0062672767,20.0201938444,84.7568241641,17.2573044569,0.0535280204,0.0263268002,0.0041981366,0.0038708722,1.6190864646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389946886851.0,811214172899.0,0.0527150755,124.830295925,4.0077427584,1.733602793,0.0,,,,,,,0.0,
2018,5,12237873,RATIO_YEAR,NKG,2018,181999868,1193919134080.0,0.0,139.5126992456,2.6921635014,0.5400358257,3.4244061731,14.7482316401,0.1174717973,0.3072444264,1.045253892,0.4123300204,1.4896718239,1.733602793,0.0193971887,0.0062672767,20.0201938444,84.7568241641,17.2573044569,0.0535280204,0.0263268002,0.0041981366,0.0038708722,1.6190864646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389946886851.0,811214172899.0,0.0527150755,124.830295925,4.0077427584,1.733602793,0.0,,,,,,,0.0,12237873.0
2019,1,2723294,RATIO_TTM,NKG,2019,181999868,1101099201400.0,0.0,-6.6575848945,0.3837162712,0.0777086586,0.5347720017,7.5091666494,0.0645378614,0.5090237551,1.0547024348,0.4270735025,1.1382182076,1.4634270007,-0.0545425204,-0.01937575,19.805553069,76.4852989759,15.5909421241,0.0350032638,0.0093769466,-0.0120546856,-0.0116721994,1.6599913423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132867412635.0,556044980395.0,0.0216546028,115.3506533992,3.9739307018,1.4634270007,0.0,,,,,,,0.0,
2019,2,2725608,RATIO_TTM,NKG,2019,181999868,1102919200080.0,0.0,-7.950408651,0.3672175025,0.0858834282,0.699940398,13.1785151099,0.0322932689,0.4711850936,1.0745474382,0.3555849528,1.4074028162,1.7837541264,-0.0462847331,-0.0168929861,23.8164377407,74.0558854014,18.8725100096,0.0233307353,-0.0028458375,-0.0090333794,-0.0108023917,1.5638190714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36546384685.0,394025439060.0,-0.0050544666,120.8517002019,3.6100953413,1.7837541264,0.0,,,,,,,0.0,
2019,3,2730919,RATIO_TTM,NKG,2019,181999868,1676218784280.0,0.0,-12.5795707417,0.5569464437,0.1347603462,0.7578712092,13.0473717867,0.069889583,0.4229235792,1.031812029,0.2646417649,1.0999781243,1.5475495482,-0.0449640474,-0.0170730046,23.0466632211,66.9707071559,24.3180933883,0.0186718934,-0.0059475844,-0.0083614277,-0.0107126347,1.5937260135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73979126840.0,361532302224.0,-0.0117051548,118.8702006726,3.5091461058,1.5475495482,0.0,,,,,,,0.0,
2019,4,2734572,RATIO_TTM,NKG,2019,181999868,1212119120880.0,0.0,25.607944244,0.4017877962,0.099543347,1.0263673902,8.4278023423,0.0175133101,0.4251232724,1.0214086212,0.2331397454,1.0249888975,1.673137165,0.0158095472,0.0058485871,19.6275745773,77.2538536222,36.498704095,0.0280655633,0.005159339,0.0074000399,0.0038872057,1.5045736102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62824223238.0,504632942716.0,0.0102838544,138.0537894289,3.4842870001,1.673137165,0.0,,,,,,,0.0,
2019,5,12245140,RATIO_YEAR,NKG,2019,181999868,1212119120880.0,0.0,175.3231689352,2.6514374843,0.6568964116,6.7731001199,21.8278517479,0.0175133101,0.2193982633,1.0214086212,0.2331397454,1.0249888975,1.673137165,0.0158095472,0.0058485871,19.6275745773,77.2538536222,36.498704095,0.0280655633,0.005159339,0.0074000399,0.0038872057,1.5045736102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62824223238.0,504632942716.0,0.0102838544,138.0537894289,3.4842870001,1.673137165,0.0,,,,,,,0.0,12245140.0
