item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,17261031552149.0,17915356777738.0,19246030470379.0,24963680498828.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,3767718822824.0,5027834155469.0,6814304742347.0,3361201735548.0
Tiền,Cash,cash,648055384924.0,1393300837572.0,1708379074804.0,1224564767179.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,3119663437900.0,3634533317897.0,5105925667543.0,2136636968369.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,2432477626679.0,2330691351983.0,1352276955351.0,510439115363.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1900918136733.0,1835066184547.0,1891019440263.0,2541483261708.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,839743354228.0,851595448650.0,1043055344239.0,1208076751196.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,530172460691.0,511162755160.0,370907037800.0,695372442549.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,590413153232.0,531014161030.0,523503976851.0,641590505359.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-59410831418.0,-58706180293.0,-121917882797.0,-82527401566.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,8599314811388.0,8381456484953.0,8677574019548.0,17851636256902.0
Hàng tồn kho,Inventories,inventories,8660891222854.0,8443695502015.0,8742397488280.0,17916459725634.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-61576411466.0,-62239017062.0,-64823468732.0,-64823468732.0
Tài sản lưu động khác,Other current assets,other_current_assets,560602154525.0,340308600786.0,510855312870.0,698920129307.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,376770347285.0,141414344628.0,279686600660.0,315530855116.0
