year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2698774,RATIO_TTM,NLG,2018,209895947,6454300370250.0,0.0,10.5112711782,1.6379469594,1.8736926449,2.703335389,5.3483989096,0.6520090484,0.9581040596,2.3125899615,0.0652258129,0.1229892769,1.0694274175,0.1498081085,0.0704204407,37.6091465185,669.971061797,30.3255649583,0.4049965096,0.2725788067,0.2941083699,0.2309613257,0.4445834122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938950952168.0,952525202391.0,0.2290450448,806.3212531185,61.3588583263,1.0694274175,0.0,,,,,,,0.0,
2018,2,2712977,RATIO_TTM,NLG,2018,211576563,6516558140400.0,0.0,12.9644871684,1.8091406741,1.9687434173,6.3871962797,6.7287716161,1.1145049099,1.5587509098,3.1808984362,0.2035448847,0.2381791749,0.9320236634,0.1151312479,0.0557264007,26.6558713498,657.9152921523,31.5457923499,0.3696808224,0.2215274791,0.252958499,0.1998223085,0.4191080256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733257917130.0,746808064547.0,0.1373821052,772.7418306443,58.5704096147,0.9320236634,0.0,,,,,,,0.0,
2018,3,2715682,RATIO_TTM,NLG,2018,239136918,6086034563100.0,0.007740668,6.24241039,1.507994524,1.4269369175,3.533342331,3.5403340138,1.1509281665,1.6412815226,2.9136591924,0.1774960469,0.2234128064,0.9579029272,0.1988727814,0.0987308713,21.9611473616,518.6196657158,30.0238171296,0.4037317438,0.2819536453,0.3068540485,0.2437890374,0.5146379718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202561661767.0,1216185567551.0,0.2059105015,608.1654607864,75.8140418714,0.9579029272,0.0,,,,,,,0.0,
2018,4,2716939,RATIO_TTM,NLG,2018,239136918,6791488471200.0,0.0069366197,8.8955513077,1.4763094541,1.9517972262,6.8499642481,5.6015358398,0.7737486077,1.5068282057,2.7175564177,0.1525182348,0.1906336803,0.8117876894,0.1695234434,0.0873518363,26.008019394,659.8718879393,51.8459953426,0.4320769226,0.2910904083,0.3241758564,0.2549691447,0.3981165312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012880398344.0,1026328929941.0,0.1609814203,838.1743763881,63.8757045031,0.8117876894,0.0,,,,,,,0.0,
2018,5,12237875,RATIO_YEAR,NLG,2018,239136918,6791488471200.0,0.0116567342,13.8765727303,2.1806754084,2.8830244239,10.1181690214,8.7252942111,0.7737486077,1.4540654872,2.7175564177,0.1525182348,0.1906336803,0.8117876894,0.1695234434,0.0873518363,26.008019394,659.8718879393,51.8459953426,0.4320769226,0.2910904083,0.3241758564,0.2549691447,0.3981165312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012880398344.0,1026328929941.0,0.1609814203,838.1743763881,63.8757045031,0.8117876894,0.0,,,,,,,0.0,12237875.0
2019,1,2723350,RATIO_TTM,NLG,2019,229136918,6736625389200.0,0.0,7.1521984697,1.4194658104,2.0127305841,-31.4828175063,7.3175395374,0.5711710114,1.0178177504,2.7732223103,0.1108200742,0.1438117021,0.7722427245,0.1737217591,0.0933513065,30.8981284627,704.5099306458,40.6763070367,0.4227439307,0.2815679923,0.354794814,0.2906824246,0.357308907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942410325903.0,956077102577.0,0.1428408695,868.1520761295,59.7292847054,0.7722427245,0.0,,,,,,,0.0,
2019,2,2725938,RATIO_TTM,NLG,2019,249702575,7166463902500.0,0.0,8.8393338956,1.6094749261,2.327543483,43.317006008,8.7769375672,0.647990043,1.1369171346,2.7569432953,0.137424586,0.1650051417,0.8394557431,0.1515169315,0.0823002137,34.419833978,809.8386192775,43.6491593827,0.4226150059,0.2702470019,0.3463387947,0.2827628632,0.3122265962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832085586332.0,846531732196.0,0.127495387,1002.4141184762,54.8622673049,0.8394557431,0.0,,,,,,,0.0,
2019,3,2730950,RATIO_TTM,NLG,2019,249702575,6891791070000.0,0.0173188406,13.061308678,1.4910300502,3.2229646831,-7.3396852133,16.276048505,0.5930912565,1.0975413455,2.9203683886,0.1372825314,0.1609688809,0.7884156678,0.0959998881,0.053256107,54.4434372569,1280.1844462877,54.7098436375,0.4222862294,0.2055684368,0.3176857656,0.2728766991,0.2116623654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439575005140.0,456732703451.0,0.0656697054,1559.6792344357,36.2285002068,0.7884156678,0.0,,,,,,,0.0,
2019,4,2734262,RATIO_TTM,NLG,2019,249702575,5368605362500.0,0.0222325581,5.8128387186,1.0620749695,2.1085596484,17.1655565479,8.9243365747,0.6284532339,1.1986474156,2.6198272098,0.1300401965,0.1402470812,0.7587922428,0.1672810423,0.0938106341,52.0085592446,932.373142888,54.8399144423,0.4188581696,0.2519933949,0.4816293394,0.3956138294,0.248657303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641600578906.0,662303340784.0,0.09075672,1229.5464319787,39.3872654711,0.7587922428,0.0,,,,,,,0.0,
2019,5,12245141,RATIO_YEAR,NLG,2019,249702575,5368605362500.0,0.0228128725,11.9438591078,2.1552711411,4.27890487,33.4927952178,14.8925599719,0.6284532339,1.1404145303,2.6198272098,0.1300401965,0.1402470812,0.7587922428,0.1672810423,0.0938106341,52.0085592446,932.373142888,54.8399144423,0.4188581696,0.2519933949,0.4816293394,0.3956138294,0.248657303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641600578906.0,662303340784.0,0.09075672,1229.5464319787,39.3872654711,0.7587922428,0.0,,,,,,,0.0,12245141.0
