item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2021490954597.0,2008182601290.0,1621099237233.0,2018956367577.0,1888944514014.0,2125875436732.0,1745527940040.0,1893344434991.0,1723428997191.0,1875450360744.0,1152579068619.0,1330790024282.0,1649693734539.0,1615686834521.0,1249646094002.0,1634556925614.0,2006519243557.0,2687969254277.0,2168333434606.0,1924869556238.0,2182877997875.0,2182760155553.0,816425616407.0,1200535361750.0,261906934605.0,2186073466321.0,1711759896154.0,1783938239755.0,1426705638833.0,2081257647143.0,1928237075948.0,2522019339120.0,2171658357992.0,2824544836484.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,2021490954597.0,2008182601290.0,1621099237233.0,2018956367577.0,1888944514014.0,2125875436732.0,1745527940040.0,1893344434991.0,1723428997191.0,1875450360744.0,1152579068619.0,1330790024282.0,1649693734539.0,1615686834521.0,1249646094002.0,1634556925614.0,2006519243557.0,2687969254277.0,2168333434606.0,1924869556238.0,2182877997875.0,2182760155553.0,816425616407.0,1200535361750.0,261906934605.0,2186073466321.0,1711759896154.0,1783938239755.0,1426705638833.0,2081257647143.0,1928237075948.0,2522019339120.0,2171658357992.0,2824544836484.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1658195430808.0,-1747106151753.0,-1488774926486.0,-1760375360372.0,-1701397461420.0,-1812653511901.0,-1566248020980.0,-1598994393846.0,-1478839164784.0,-1577224949767.0,-1084681303771.0,-1046730992692.0,-1501662523693.0,-1542789200528.0,-944593350854.0,-1484732837494.0,-1821431687563.0,-2278942990163.0,-1745805662243.0,-1859985310951.0,-1931234671664.0,-2020512888346.0,-948558589928.0,-973690046653.0,-487297275813.0,-2056559188727.0,-1652181211719.0,-1696128018245.0,-1382069537735.0,-1714711187301.0,-1723649149502.0,-1889978519560.0,-1954145024899.0,-2347995714326.0
Lợi nhuận gộp,Gross Profit,gross_profit,363295523789.0,261076449537.0,132324310747.0,258581007205.0,187547052594.0,313221924831.0,179279919060.0,294350041145.0,244589832407.0,298225410977.0,67897764848.0,284059031590.0,148031210846.0,72897633993.0,305052743148.0,149824088120.0,185087555994.0,409026264114.0,422527772363.0,64884245287.0,251643326211.0,162247267207.0,-132132973521.0,226845315097.0,-225390341208.0,129514277594.0,59578684435.0,87810221510.0,44636101098.0,366546459842.0,204587926446.0,632040819560.0,217513333093.0,476549122158.0
Doanh thu hoạt động tài chính,Financial income,financial_income,16663479320.0,36526483280.0,7461938460.0,23749181117.0,21880849593.0,-12599723426.0,49818137036.0,16252830857.0,4681644219.0,10460279584.0,2946386463.0,3402641782.0,16451200225.0,-10228781573.0,7483422867.0,4006190527.0,1701781491.0,1523905438.0,2454405663.0,18725692049.0,22055116541.0,17472248302.0,35232032830.0,32081903225.0,19368224678.0,19201800447.0,26736276199.0,34638734711.0,31341889615.0,37995995807.0,48802251079.0,52241940170.0,57936393017.0,76045666223.0
Chi phí tài chính,Financial expenses,financial_expenses,-111834034475.0,19064868330.0,-94434039289.0,-16328892538.0,-41651190346.0,-51507578168.0,-33731488952.0,-66003704610.0,-39596936703.0,-26335362574.0,-48527235969.0,-49670926507.0,-20306104690.0,-20629717596.0,-6674333265.0,-4375055078.0,-2117922108.0,-4893103614.0,-539609869.0,-10204908878.0,-7107484445.0,-4917409073.0,-10563774866.0,-11866595081.0,-7890032199.0,-8691510915.0,-11779179652.0,-10296781742.0,-13668448112.0,-18381311911.0,-16033904481.0,-18293177018.0,-18413894310.0,-23036318555.0
Chi phí lãi vay,Interest expenses,interest_expenses,-25726180784.0,-25324607834.0,-25704054379.0,-28009907283.0,-23525181132.0,-23583735088.0,-21357722014.0,-19350402498.0,-12776183560.0,-11785271160.0,-7049318550.0,-6671210066.0,-4025548916.0,-5425201151.0,-6520445313.0,-4375055078.0,-2117922108.0,-4893103614.0,-409822401.0,-7946115403.0,-7107484445.0,-4917409073.0,-10308193504.0,-11510406129.0,-5127684624.0,-8655508250.0,-10992372513.0,-10154252614.0,-12383899506.0,-18153618313.0,-15915945905.0,-18237234483.0,-18370969434.0,-22093503235.0
Chi phí bán hàng,Selling expenses,selling_expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-21141795313.0,-33645382497.0,-19467604464.0,-27152163804.0,-17000247913.0,-22851156495.0,-25532995298.0,-21415475286.0,-16346814989.0,-20405431178.0,-27699039750.0,-20565802240.0,-22859081694.0,-20520048643.0,-18092226281.0,-21450840887.0,-16683046402.0,-21493070454.0,-209077513682.0,115820719356.0,-20098542956.0,-17705724385.0,-16458549773.0,9576044993.0,-14730826781.0,-18408965938.0,-25212194234.0,-22815567862.0,-18686681015.0,-21437005957.0,-930263362.0,-43855988724.0,-34014311428.0,-26403910952.0
