item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
Lợi nhuận/(lỗ) trước thuế,Net profit/(loss) before tax,net_profit_loss_before_tax,1221948777271.0,1348818841519.0,4070100365731.0,-782194980858.0
Khấu hao TSCĐ và BĐSĐT,Depreciation and amortization,depreciation_and_amortization,222394114832.0,246690287063.0,258996012053.0,259285996411.0
Chi phí dự phòng,Provisions,provisions,-18137731188.0,25756843118.0,41880239548.0,9928614333.0
Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,43551177224.0,-110988256226.0,-103516801497.0,127484576653.0
Lãi/(lỗ) từ thanh lý tài sản cố định,Profit/loss from liquidating fixed assets,profit_loss_from_liquidating_fixed_assets,0.0,0.0,0.0,0.0
(Lãi)/lỗ từ hoạt động đầu tư,Profit/loss from investing activities,profit_loss_from_investing_activities,-1262033934779.0,-513363282439.0,-1510771976322.0,-204970115487.0
Chi phí lãi vay,Interest expense,interest_expense,144621891177.0,34936576384.0,43660036551.0,31627274551.0
Thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,0.0,0.0,0.0,0.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Operating profit/(loss) before changes in Working Capital,operating_profit_loss_before_changes_in_working_capital,352344294537.0,1031851009419.0,2800347876064.0,-558838634397.0
(Tăng)/giảm các khoản phải thu,(Increase)/decrease in receivables,increase_decrease_in_receivables,-1752573255976.0,-697187627987.0,169409404976.0,2501481300200.0
(Tăng)/giảm hàng tồn kho,(Increase)/decrease in inventories,increase_decrease_in_inventories,-1823747664916.0,318010911386.0,733034348622.0,-509454337905.0
Tăng/(giảm) các khoản phải trả,Increase/(decrease) in payables,increase_decrease_in_payables,1695823574574.0,169942866737.0,-37571702063.0,-2151204020567.0
(Tăng)/giảm chi phí trả trước,(Increase)/decrease in prepaid expenses,increase_decrease_in_prepaid_expenses,-16606177453.0,-15654076336.0,-191750238967.0,-5358568328.0
Tiền lãi vay đã trả,Interest paid,interest_paid,-1490481325643.0,-1206882940822.0,-534125359397.0,-659028449301.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate Income Tax paid,corporate_income_tax_paid,-123064682435.0,-36581310789.0,-2344880084.0,-244284601065.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,other_receipts_from_operating_activities,0.0,0.0,0.0,0.0
Tiền chi khác cho hoạt động kinh doanh,Other payments on operating activities,other_payments_on_operating_activities,0.0,0.0,0.0,0.0
Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh,Net cash inflows/(outflows) from operating activities,net_cash_inflows_outflows_from_operating_activities,-3158305237312.0,-436501168392.0,2936999449151.0,-1626687311363.0
"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",Purchases of fixed assets and other long term assets,purchases_of_fixed_assets_and_other_long_term_assets,-4690024131.0,-3243236593.0,-9131666113.0,-9705460287.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",Proceeds from disposal of fixed assets,proceeds_from_disposal_of_fixed_assets,2154042727.0,31584897273.0,20195700019.0,554545454.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Loans granted, purchases of debt instruments",loans_granted_purchases_of_debt_instruments,-1634717877501.0,-4794047900213.0,-6818092309289.0,-2247248462573.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Collection of loans, proceeds from sales of debts instruments",collection_of_loans_proceeds_from_sales_of_debts_instruments,762964033411.0,2450399421847.0,899721013342.0,1178095460622.0
