item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1924263322822.0,2404525216743.0,2457894591192.0,8848554588936.0,4948927327062.0,3165647146493.0,1524634149618.0,1387024374380.0,1067607277621.0,792451606691.0,2148169244901.0,1233503916051.0,4541864522959.0,2555017027925.0,3264844561774.0,4605609157132.0,1965486714930.0,2662976851864.0,3279599120676.0,3242666199226.0,604102333272.0,1062129832815.0,1073873659979.0,2031844063176.0,697841903787.0,1588452726003.0,2012305441459.0,4781019530967.0,1778253472047.0,1936653018314.0,1683601162966.0,1567848157826.0,3586658446812.0,1510894048883.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-17216363501.0,-21838009254.0,-14481152845.0,-291491854700.0,-39057700055.0,-31135353543.0,-18492107248.0,-6564824644.0,-113389664023.0,-82825095932.0,-8623905582.0,-10534970289.0,-35247735476.0,-11371084509.0,-2949873013.0,-15006691079.0,-9056686856.0,-4817726391.0,-281277183.0,-2342718541.0,0.0,-8157100000.0,-789630018.0,-4101386443.0,-621075136.0,-1128144633.0,-2057619033.0,-2437289453.0,-72485130.0,-54787729.0,-470738091.0,-9514138.0,0.0,-1749925654.0
Doanh thu thuần,Net sales,net_sales,1907046959321.0,2382687207489.0,2443413438347.0,8557062734236.0,4909869627007.0,3134511792950.0,1506142042370.0,1380459549736.0,954217613598.0,709626510759.0,2139545339319.0,1222968945762.0,4506616787483.0,2543645943416.0,3261894688761.0,4590602466053.0,1956430028074.0,2658159125473.0,3279317843493.0,3240323480685.0,604102333272.0,1053972732815.0,1073084029961.0,2027742676733.0,697220828651.0,1587324581370.0,2010247822426.0,4778582241514.0,1778180986917.0,1936598230585.0,1683130424875.0,1567838643688.0,3586658446812.0,1509144123229.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1356333538150.0,-1523576910685.0,-1782335243929.0,-5469998099544.0,-3628655585693.0,-2252707932975.0,-984330461983.0,-912877200170.0,-588621360751.0,-492499813877.0,-1342965170790.0,-794538481587.0,-2789464202494.0,-1685449745386.0,-1760528824836.0,-2532750998958.0,-1236882919459.0,-1530501361990.0,-1868961441298.0,-2246395800596.0,-455105324592.0,-726068033730.0,-731352157310.0,-1473300062861.0,-507524805760.0,-4180315763883.0,-1464848703763.0,-2837112144745.0,-1132466282412.0,-1263111509621.0,-1097077819166.0,952128329364.0,-1698004779030.0,-1117230203209.0
Lợi nhuận gộp,Gross Profit,gross_profit,550713421171.0,859110296804.0,661078194418.0,3087064634692.0,1281214041314.0,881803859975.0,521811580387.0,467582349566.0,365596252847.0,217126696882.0,796580168529.0,428430464175.0,1717152584989.0,858196198030.0,1501365863925.0,2057851467095.0,719547108615.0,1127657763483.0,1410356402195.0,993927680089.0,148997008680.0,327904699085.0,341731872651.0,554442613872.0,189696022891.0,-2592991182513.0,545399118663.0,1941470096769.0,645714704505.0,673486720964.0,586052605709.0,2519966973052.0,1888653667782.0,391913920020.0
Doanh thu hoạt động tài chính,Financial income,financial_income,126312762436.0,777391517087.0,85853754076.0,307123692696.0,133796573356.0,95500116736.0,359693103198.0,440103405621.0,857700413794.0,1807101946465.0,2391099212416.0,1154296041040.0,572360705599.0,1333606795581.0,1059230998737.0,679444076445.0,880744593103.0,1650947713313.0,1573129662475.0,899973312992.0,920013458049.0,765889064469.0,2229856807798.0,1825381746803.0,640076972457.0,804637428739.0,3897994119538.0,598175417798.0,516073103799.0,511835140270.0,455978704466.0,1704227377066.0,815658971319.0,1741321849767.0
Chi phí tài chính,Financial expenses,financial_expenses,-477969598589.0,-450696264025.0,-471627580596.0,-532142616352.0,-469115184621.0,-743088810589.0,-256267271666.0,-625501745194.0,-386560715933.0,-364880767717.0,-542168794833.0,-242766571729.0,-454286766798.0,-1829133018135.0,-799668751905.0,-766178702472.0,-911099904000.0,-1152387239340.0,-1414859614150.0,-670175469105.0,-823069956271.0,-882114810530.0,-1900331425587.0,-250513733980.0,-773131680839.0,-2363784624433.0,-319124195699.0,-1254827735992.0,-633059915441.0,-1135523079602.0,-1448617053052.0,-455479626157.0,-859339007613.0,-572352848706.0
Chi phí lãi vay,Interest expenses,interest_expenses,-388141861952.0,-325206062421.0,-310284104503.0,-359705869054.0,-379735662065.0,-234422202386.0,-141373644505.0,-397474385034.0,-133734673587.0,-168683445214.0,-262769521207.0,-338753898.0,-30569377519.0,-117946562121.0,-155013501331.0,-210785926179.0,-214043512504.0,-218275520285.0,-207948106070.0,-204042733178.0,-158270818220.0,-200029450633.0,-170254553522.0,-142635261188.0,-75467036000.0,-73986194029.0,-82961668059.0,-58981908355.0,-40034933347.0,-33142528652.0,-31627274551.0,-43660036551.0,-34936576384.0,-144621891177.0
Chi phí bán hàng,Selling expenses,selling_expenses,-61545696343.0,-74731322044.0,-89104529492.0,-198835761247.0,-70964583835.0,-79595188118.0,-57955501342.0,-86353859292.0,-9817764441.0,-15906456329.0,-68087803692.0,-69397542454.0,-138891794212.0,-183260207620.0,-434366403720.0,-532996373315.0,-202483408690.0,-182715294290.0,-307534706099.0,-267397869877.0,-37356873821.0,-43370267976.0,-62721635807.0,-149306956729.0,-53978555966.0,-87851889855.0,-104456624876.0,-287684653422.0,-91032508939.0,-154651400992.0,-126239113969.0,-239379574410.0,-91725987165.0,-75314692749.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-138752220180.0,-185455324523.0,-173208477599.0,-242356255619.0,-262738201381.0,-311800118042.0,-286579272607.0,-339961869656.0,-264139357473.0,-350272134242.0,-264077872154.0,-411205932134.0,-319528269149.0,-291962171644.0,-418488203624.0,-398027932539.0,-362418240889.0,-394229727031.0,-423585114674.0,-355977313081.0,-303532089225.0,-448100578240.0,-284169096971.0,-495678415694.0,-324869642558.0,-375389333924.0,-354801995770.0,-394876761784.0,-303463010345.0,-314099936582.0,-309978774154.0,-362079247385.0,-282554615483.0,-293376968169.0
