year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2021,1,2761013,RATIO_TTM,OCB,2021,1095906343,30027833798200.0,0.0,7.9711078048,1.6263455165,3.7268746753,15.2862363476,0.0,0.0,0.0,0.0,0.0,0.0,7.6819107486,0.2178494541,0.0256823189,0.0,0.0,0.0,0.7042068879,0.0,0.5695434802,0.4544283441,0.0,0.0387631183,0.0822358882,-0.0492504669,0.5007929528,-0.2844425414,0.0426308817,0.0596642581,0.1301759462,0.198440964,0.115182018,1.0072509205,0.0169402494,-0.6322935582,0.0107112106,-0.0128109036,0.0,0.0,0.0,0.0,0.0,0.0,-0.2844425414,0.0,,0.0973481956,8687286177622.0,234479385387.0,70520034307.0,92372391066741.0,
2021,3,2766884,RATIO_TTM,OCB,2021,1369882863,35000507149650.0,0.0,7.6662172296,1.7136012241,3.8067549349,8.3362511557,0.0,0.0,0.0,0.0,0.0,0.0,7.2053911479,0.2389321084,0.0279837284,0.0,0.0,0.0,0.7244756893,0.0,0.6174407238,0.4928501503,0.0,0.038493821,0.0779381454,-0.0436662201,0.4739838707,-0.3117625654,0.0156524553,-0.0302527959,0.1387849708,0.2091514099,0.1218710945,1.046655788,0.0151011418,-0.7495854352,0.0113195959,-0.0104668064,0.0,0.0,0.0,0.0,0.0,0.0,-0.3117625654,0.0,,0.1041738525,9374032015518.0,40852083934.0,304944862760.0,93303921562786.0,
2021,4,2765048,RATIO_TTM,OCB,2021,1369882863,30959352703800.0,0.0,8.1002803934,1.419827533,3.471109034,6.4217577597,0.0,0.0,0.0,0.0,0.0,0.0,7.2053911479,0.2389321084,0.0279837284,0.0,0.0,0.0,0.7244756893,0.0,0.6174407238,0.4928501503,0.0,0.038493821,0.0779381454,-0.0436662201,0.4739838707,-0.3117625654,0.0156524553,-0.0302527959,0.1387849708,0.2091514099,0.1218710945,1.046655788,0.0151011418,-0.7495854352,0.0113195959,-0.0104668064,0.0,0.0,0.0,0.0,0.0,0.0,-0.3117625654,0.0,,0.158121021,14920387866325.0,565733092452.0,136965296012.0,98804612775544.0,
2021,5,12263000,RATIO_YEAR,OCB,2021,1369882863,30959352703800.0,0.0,5.6522763136,1.1308360882,2.7646001156,4.4378021615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224511463,0.026140645,0.0,0.0,0.0,0.7305883694,0.0,0.6187306054,0.4938763744,0.0,0.0368685796,0.0749452982,-0.042517417,0.5469641074,-0.2694116306,0.1435807976,0.1334524904,0.1340312379,0.213668327,0.1181900757,1.0328539344,0.0132242086,-0.8270225636,0.0109367189,-0.0104311121,0.0,0.0,0.0,0.0,0.0,0.0,-0.2694116306,0.1234,,0.1579525868,14903745787679.0,565733092452.0,136965296012.0,98804612775544.0,12263000.0
2022,1,2770186,RATIO_TTM,OCB,2022,1369882863,24315420818250.0,0.0,5.9421016784,1.0820270028,2.7393737042,3.0792324724,0.0,0.0,0.0,0.0,0.0,0.0,7.4609472818,0.224511463,0.026140645,0.0,0.0,0.0,0.7305883694,0.0,0.6187306054,0.4938763744,0.0,0.0368685796,0.0749452982,-0.042517417,0.5469641074,-0.2694116306,0.1435807976,0.1334524904,0.1340312379,0.213668327,0.1181900757,1.0328539344,0.0132242086,-0.8270225636,0.0109367189,-0.0104311121,0.0,0.0,0.0,0.0,0.0,0.0,-0.2694116306,0.0,,0.1216780102,11616427500207.0,269950264543.0,97125247541.0,98485363081386.0,
2022,2,2776882,RATIO_TTM,OCB,2022,1369882863,17671488932700.0,0.0,4.7713047802,0.7634478404,2.082871268,1.1711381171,0.0,0.0,0.0,0.0,0.0,0.0,7.1590292885,0.1673783813,0.020178688,0.0,0.0,0.0,0.6792339154,0.0,0.5418001731,0.4332777278,0.0,0.0370914762,0.0739475244,-0.041005478,0.0613506759,-0.4295498543,0.0368975388,-0.0195960439,0.139683742,0.2111619714,0.1225635997,1.1352756394,0.0195605334,-0.6142117274,0.012014309,-0.0112375811,0.0,0.0,0.0,0.0,0.0,0.0,-0.4295498543,0.1249,,0.1197124297,11225245135756.0,251701221262.0,81939913014.0,96555439584880.0,
2022,3,2780234,RATIO_TTM,OCB,2022,1369882863,23767467673050.0,0.0,6.7051602322,0.9952183855,2.7771847809,1.8700250061,0.0,0.0,0.0,0.0,0.0,0.0,7.0877767705,0.1541263327,0.0186578672,0.0,0.0,0.0,0.6608758486,0.0,0.5140275715,0.4110898095,0.0,0.0379937946,0.0748357018,-0.0409931736,0.1842409631,-0.3879409772,0.0362179285,0.0177321126,0.1410879649,0.2102496856,0.123643373,1.1558964846,0.0246613944,-0.5299658046,0.0130696957,-0.0116642993,0.0,0.0,0.0,0.0,0.0,0.0,-0.3879409772,0.0,,0.134122792,12735977693722.0,266478129883.0,177465226419.0,98267571514292.0,
2022,4,2782134,RATIO_TTM,OCB,2022,1369882863,22603067239500.0,0.0,6.3919924887,0.894383236,2.6487230164,-13.0563181743,0.0,0.0,0.0,0.0,0.0,0.0,6.6761791827,0.1491046327,0.0185461269,0.0,0.0,0.0,0.6394472867,0.0,0.5143576343,0.4112835927,0.0,0.0396479312,0.0802806488,-0.0454872815,0.2282791652,-0.3605527133,0.1739510947,0.034396942,0.1497862734,0.2109490592,0.1302731445,1.1721999144,0.0222948629,-0.5923888399,0.013207228,-0.0096231291,0.0,0.0,0.0,0.0,0.0,0.0,-0.3605527133,0.0,,0.111334638,10834573734767.0,313047546474.0,232057556135.0,102211486385844.0,
2022,5,12273388,RATIO_YEAR,OCB,2022,1369882863,22603067239500.0,0.0,34.6006386309,0.7209270932,2.1350312799,-10.6034532662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1491046327,0.0185461269,0.0,0.0,0.0,0.6394472867,0.0,0.5143576343,0.4112835927,0.0,0.0396479312,0.0802806488,-0.0454872815,0.2282791652,-0.3605527133,0.1739510947,0.034396942,0.1497862734,0.2109490592,0.1302731445,1.1721999144,0.0222948629,-0.5923888399,0.013207228,-0.0096231291,0.0,0.0,0.0,0.0,0.0,0.0,-0.3605527133,0.1284,,0.1110978848,10809453049274.0,313047546474.0,232057556135.0,102203189310223.0,12273388.0
2023,1,2796161,RATIO_TTM,OCB,2023,1369882863,25205844679200.0,0.0,6.8958405065,0.9673536472,2.9254857666,-6.6326759318,0.0,0.0,0.0,0.0,0.0,0.0,6.6426686211,0.1475394687,0.0187212182,0.0,0.0,0.0,0.639808184,0.0,0.5265851824,0.42106765,0.0,0.0388077711,0.0849368886,-0.0520086668,0.193906582,-0.3654489329,0.0176203918,0.0327998311,0.1505419067,0.2137292922,0.130844349,1.1548779053,0.0331792352,-0.4678591182,0.0155232077,-0.0083930425,0.0,0.0,0.0,0.0,0.0,0.0,-0.3654489329,0.0,,0.0860803208,8707860162761.0,192502229463.0,186621094307.0,105564005876246.0,
2023,2,2798309,RATIO_TTM,OCB,2023,2054824294,26918198251400.0,0.0,6.4286335078,0.9870158288,2.9346633907,-6.783286973,0.0,0.0,0.0,0.0,0.0,0.0,6.7474792855,0.1626172995,0.0208951285,0.0,0.0,0.0,0.6745852613,0.0,0.5680343033,0.4542236501,0.0,0.0382272862,0.0900084006,-0.0589681694,0.299696301,-0.2782008242,0.046419989,0.0463394872,0.1482034931,0.2137784421,0.1290742399,1.1549667577,0.031835224,-0.4747753281,0.0151145789,-0.0080959797,0.0,0.0,0.0,0.0,0.0,0.0,-0.2782008242,0.1333,,0.1069469,11448612237319.0,219813465558.0,144478386445.0,110455787770107.0,
2023,3,2801925,RATIO_TTM,OCB,2023,2054824294,30616881980600.0,0.0,6.7365074526,1.0800217486,3.1993067104,7.5618308653,0.0,0.0,0.0,0.0,0.0,0.0,6.6460988783,0.1691366275,0.0220281001,0.0,0.0,0.0,0.6882418691,0.0,0.5909878756,0.4725537333,0.0,0.0377533768,0.093297799,-0.0637432002,0.3232903196,-0.3249321671,0.0306940081,0.0425189893,0.1504642074,0.2155960233,0.1307856485,1.1418663151,0.0374245018,-0.3914297847,0.0146490647,-0.0074340904,0.0,0.0,0.0,0.0,0.0,0.0,-0.3249321671,0.0,,0.117383576,13241827129989.0,167670001069.0,107486489149.0,115152256229766.0,
2023,4,2805504,RATIO_TTM,OCB,2023,2054824294,30514140765900.0,0.0,9.1914258752,1.0693319966,3.4139302643,1.8251400427,0.0,0.0,0.0,0.0,0.0,0.0,7.4145209517,0.1227812299,0.015218788,0.0,0.0,0.0,0.6451801149,0.0,0.463125704,0.3695743933,0.0,0.0330540344,0.0885611253,-0.0641247109,0.3211296189,-0.3548198851,0.2287421422,0.2323092192,0.13487048,0.1938481658,0.1188421784,1.1688068315,0.026519743,-0.6409394827,0.0169975503,-0.0121885416,0.0,0.0,0.0,0.0,0.0,0.0,-0.3548198851,0.0,,0.1221828038,15043356306640.0,308794452844.0,36276391885.0,125945932418559.0,
2023,5,12276632,RATIO_YEAR,OCB,2023,2054824294,30514140765900.0,0.0,7.1740913774,0.8209013307,2.6207949504,1.4081355889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1227812299,0.015218788,0.0,0.0,0.0,0.6451801149,0.0,0.463125704,0.3695743933,0.0,0.0330540344,0.0885611253,-0.0641247109,0.3211296189,-0.3548198851,0.2287421422,0.2323092192,0.13487048,0.1938481658,0.1188421784,1.1688068315,0.026519743,-0.6409394827,0.0169975503,-0.0121885416,0.0,0.0,0.0,0.0,0.0,0.0,-0.3548198851,0.133,,0.1220742829,15029688541614.0,308794452844.0,36276391885.0,125945932418559.0,12276632.0
2024,1,2807479,RATIO_TTM,OCB,2024,2054824294,29692211048300.0,0.0,6.7985181623,1.0066670364,3.0540773384,1.7096381348,0.0,0.0,0.0,0.0,0.0,0.0,7.034418728,0.1517783615,0.0192184935,0.0,0.0,0.0,0.6630198464,0.0,0.5614126224,0.4469880211,0.0,0.0349602167,0.0857620085,-0.0587259173,0.2032424402,-0.3797686777,0.0467693252,0.0058210031,0.1421581567,0.1952737034,0.1244645112,1.1923618771,0.0287341702,-0.5524864262,0.015875239,-0.0071271898,0.0,0.0,0.0,0.0,0.0,0.0,-0.3797686777,0.0,,0.1161741761,14197348013433.0,304905392099.0,214582495601.0,126679064079789.0,
2024,2,2811568,RATIO_TTM,OCB,2024,2465789152,30082627654400.0,0.0,7.8800565874,0.9980233068,3.123263805,1.6854291397,0.0,0.0,0.0,0.0,0.0,0.0,6.9252186071,0.1295333736,0.016315088,0.0,0.0,0.0,0.6289394079,0.0,0.4962675682,0.3947042923,0.0,0.0346306132,0.080481129,-0.0529113778,0.1438121891,-0.4203200732,0.0109957632,0.0386868034,0.1443997737,0.1973843978,0.1261794847,1.1605739112,0.0312187236,-0.5455822507,0.0170323815,-0.0088198372,0.0,0.0,0.0,0.0,0.0,0.0,-0.4203200732,0.1372,,0.126713926,16190672628032.0,236869601567.0,245459952404.0,131579872127836.0,
2024,3,2813826,RATIO_TTM,OCB,2024,2465789152,25767496638400.0,0.0,8.3701699376,0.8450023161,2.7252263456,1.5185535407,0.0,0.0,0.0,0.0,0.0,0.0,7.7066918479,0.1025811347,0.012502632,0.0,0.0,0.0,0.6096900582,0.0,0.4087969301,0.324235692,0.0,0.0335683777,0.0747855818,-0.0473372424,0.110044437,-0.4007911255,0.0338486376,0.037659633,0.1297573615,0.1931501747,0.1148541854,1.1563114906,0.0319030817,-0.5390612006,0.0171977135,-0.0125392471,0.0,0.0,0.0,0.0,0.0,0.0,-0.4007911255,0.0,,0.1647328904,21512939152420.0,762925564672.0,215960543155.0,136535121820554.0,
2024,4,2818026,RATIO_TTM,OCB,2024,2465789152,26014075553600.0,0.0,8.1634346106,0.8213835444,2.5835595735,11.4815473161,0.0,0.0,0.0,0.0,0.0,0.0,7.863375611,0.1054175249,0.0121861016,0.0,0.0,0.0,0.6222336547,0.0,0.3978809167,0.3151650706,0.0,0.0348941885,0.0727921241,-0.0434934567,0.1699164098,-0.3777663453,0.1605772085,0.1311184153,0.127171847,0.1853794009,0.1128238319,1.1992471801,0.0316552444,-0.4713878735,0.0149218984,-0.0142054373,0.0,0.0,0.0,0.0,0.0,0.0,-0.3777663453,0.0,,0.1488923817,20520449982806.0,414488189426.0,276235311368.0,142459763487912.0,
2024,5,12280292,RATIO_YEAR,OCB,2024,2465789152,26014075553600.0,0.0585774059,9.3750962508,0.9303823086,2.9264016022,13.0594037325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1054175249,0.0121861016,0.0,0.0,0.0,0.6222336547,0.0,0.3978809167,0.3151650706,0.0,0.0348941885,0.0727921241,-0.0434934567,0.1699164098,-0.3777663453,0.1605772085,0.1311184153,0.127171847,0.1853794009,0.1128238319,1.1992471801,0.0316552444,-0.4713878735,0.0149218984,-0.0142054373,0.0,0.0,0.0,0.0,0.0,0.0,-0.3777663453,0.1248,,0.1488923817,20520449982806.0,414488189426.0,276235311368.0,142459763487912.0,12280292.0
