horizon,date,symbol,prediction,prediction_score,predicted_rank,predicted_percentile,predicted_excess_return
20,2026-08-05,VHM,0.015841315,0.015841315,1.0,1.0,0.015841315
20,2026-08-05,SSI,0.013988086,0.013988086,2.0,0.9166666666666666,0.013988086
20,2026-08-05,FPT,0.013654263,0.013654263,3.0,0.8333333333333334,0.013654263
20,2026-08-05,VCB,0.013103393,0.013103393,4.0,0.75,0.013103393
20,2026-08-05,HPG,0.012184119,0.012184119,5.0,0.6666666666666666,0.012184119
20,2026-08-05,VIC,0.007786631,0.007786631,6.0,0.5833333333333334,0.007786631
20,2026-08-05,VNM,0.007123016,0.007123016,7.0,0.5,0.007123016
20,2026-08-05,MBB,0.006913369,0.006913369,8.0,0.4166666666666667,0.006913369
20,2026-08-05,GAS,0.006747918,0.006747918,9.0,0.3333333333333333,0.006747918
20,2026-08-05,TCB,0.0046137725,0.0046137725,10.0,0.25,0.0046137725
20,2026-08-05,HCM,0.00427431,0.00427431,11.0,0.16666666666666666,0.00427431
20,2026-08-05,MWG,0.004245398,0.004245398,12.0,0.08333333333333333,0.004245398
