item,item_en,item_id,2026-Q2,2026-Q1,2025-Q4,2025-Q3
Lợi nhuận/(lỗ) trước thuế,Net profit/(loss) before tax,net_profit_loss_before_tax,280249274976.0,310185716915.0,747693028386.0,445896313496.0
Khấu hao TSCĐ và BĐSĐT,Depreciation and amortization,depreciation_and_amortization,221014966957.0,215338763229.0,223354263006.0,223406077590.0
Chi phí dự phòng,Provisions,provisions,-18929235208.0,-1438977892.0,201004141255.0,15571537116.0
Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Unrealized foreign exchange gain/(loss),unrealized_foreign_exchange_gain_loss,-18068532674.0,-2931972137.0,-12028053461.0,10780097648.0
Lãi/(lỗ) từ thanh lý tài sản cố định,Profit/loss from liquidating fixed assets,profit_loss_from_liquidating_fixed_assets,0.0,0.0,0.0,0.0
(Lãi)/lỗ từ hoạt động đầu tư,Profit/loss from investing activities,profit_loss_from_investing_activities,-80404824279.0,-152322332864.0,-112264430642.0,-85822687779.0
Chi phí lãi vay,Interest expense,interest_expense,197678458128.0,182764903376.0,172217090381.0,174955712620.0
Thu lãi và cổ tức,Interest income and dividend,interest_income_and_dividend,0.0,0.0,0.0,0.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Operating profit/(loss) before changes in Working Capital,operating_profit_loss_before_changes_in_working_capital,581540107900.0,551596100627.0,1219976038925.0,784787050691.0
(Tăng)/giảm các khoản phải thu,(Increase)/decrease in receivables,increase_decrease_in_receivables,69743052303.0,-73544594866.0,-646001135170.0,-29047502030.0
(Tăng)/giảm hàng tồn kho,(Increase)/decrease in inventories,increase_decrease_in_inventories,-175564744769.0,-26178404918.0,642612523385.0,70488894496.0
Tăng/(giảm) các khoản phải trả,Increase/(decrease) in payables,increase_decrease_in_payables,6206775206.0,-629684033693.0,412563974777.0,-112366739023.0
(Tăng)/giảm chi phí trả trước,(Increase)/decrease in prepaid expenses,increase_decrease_in_prepaid_expenses,8792661151.0,14008534972.0,15057391690.0,-6727480900.0
Tiền lãi vay đã trả,Interest paid,interest_paid,-224195136991.0,-142687386157.0,-174930900879.0,-139372239581.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate Income Tax paid,corporate_income_tax_paid,-26950673944.0,-175215366771.0,-8121492779.0,-3777166733.0
