year,quarter,ratioTTMId,ratioType,organCode,yearReport,numberOfSharesMktCap,marketCap,dividendYield,pe,pb,ps,priceToCashFlow,evToEbitda,cashRatio,quickRatio,currentRatio,ownersEquity,debtPerEquity,debtToEquity,roe,roa,daySaleOutstanding,daysInventoryOutstanding,daysPayableOutstanding,grossMargin,ebitMargin,preTaxProfitMargin,afterTaxProfitMargin,assetTurnover,netInterestMargin,averageYieldOnEarningAssets,averageCostOfFinancing,nonAndInterestIncome,costToIncome,loansGrowth,depositGrowth,equityToLiabilities,equityToLoans,totalEquityTotalAsset,ldrLoanDepositRatio,npl,loansLossReservesToNPLs,loansLossReserveToLoans,provisionToOutstandingLoans,ebit,ebitda,roic,cashCycle,fixedAssetTurnover,financialLeverage,cir,car,equity,casaRatio,nob66,nob69,nob70,bsb113,ratioYearId
2018,1,2699087,RATIO_TTM,PCC1,2018,115452410,3763748566000.0,0.0,14.2050745702,1.371460921,1.0911188512,-21.4447880163,10.7077444932,0.2100679996,0.9269779354,1.584009724,0.4978398081,0.7128085773,1.2218559044,0.0962615599,0.0406344648,103.8457376672,125.2080237758,84.6272221623,0.1420565595,0.1057765308,0.0883439949,0.0763543945,0.5774609576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364869753204.0,502955740538.0,0.0740592445,357.9537690397,1.5817094811,1.2218559044,0.0,,,,,,,0.0,
2018,2,2713557,RATIO_TTM,PCC1,2018,132769862,3040429839800.0,0.0,7.392989129,1.0346910687,0.7196311213,8.6299435569,6.5401636954,0.361545959,1.0571938963,1.5664701583,0.4469735304,0.7303214971,1.1891792734,0.1436382064,0.0625136822,84.7889904751,114.5976241926,73.8285306639,0.1686573606,0.1292150244,0.1153157485,0.0992530851,0.6685812879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545931386794.0,684444869035.0,0.1023889031,310.6043873892,1.7286130572,1.1891792734,0.0,,,,,,,0.0,
2018,3,2715309,RATIO_TTM,PCC1,2018,132769862,3113453263900.0,0.0,6.6173420157,1.0147665713,0.7015890875,5.2899129195,6.0681883891,0.313382964,1.2933639495,1.81810084,0.4549130923,0.6332828067,0.9829285479,0.1560464369,0.0727199104,76.3377694777,112.2740512808,68.5052572826,0.184878974,0.1437333189,0.1284733364,0.1111126987,0.6897013507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637847678716.0,788101832557.0,0.1212343891,297.5247447492,1.6406656562,0.9829285479,0.0,,,,,,,0.0,
2018,4,2717417,RATIO_TTM,PCC1,2018,132769862,3146645729400.0,0.0,6.7445203699,1.0087853771,0.6188797528,6.1319840092,5.9337858753,0.4028112286,1.3731163949,1.8093546043,0.4738786933,0.6006738115,1.0117249362,0.1531373974,0.072837673,68.5068952303,79.8134268603,67.1425748183,0.170275779,0.1292837305,0.1139696337,0.0966484475,0.7937787084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657333022618.0,811546448827.0,0.1252307295,249.3956268486,1.923746549,1.0117249362,0.0,,,,,,,0.0,
2018,5,12237899,RATIO_YEAR,PCC1,2018,132769862,3146645729400.0,0.0,10.7001673379,1.6004410799,0.9818546168,9.7283796939,7.7144440307,0.4028112286,1.2941477123,1.8093546043,0.4738786933,0.6006738115,1.0117249362,0.1531373974,0.072837673,68.5068952303,79.8134268603,67.1425748183,0.170275779,0.1292837305,0.1139696337,0.0966484475,0.7937787084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657333022618.0,811546448827.0,0.1252307295,249.3956268486,1.923746549,1.0117249362,0.0,,,,,,,0.0,12237899.0
2019,1,2723408,RATIO_TTM,PCC1,2019,159323497,2652736225050.0,0.0,5.4553708743,0.827936916,0.4809833155,10.022821089,5.5717193065,0.1871554787,1.1718624368,1.7402889835,0.4651758566,0.6708188688,1.0719658661,0.1502037221,0.0726321068,67.3120332621,78.1886721569,57.9274706933,0.1673693369,0.1249114383,0.1090915433,0.0927623908,0.8238021305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688915990474.0,844601740347.0,0.1222338682,243.613784518,2.1284426587,1.0719658661,0.0,,,,,,,0.0,
2019,2,2725959,RATIO_TTM,PCC1,2019,159323497,2979349393900.0,0.0,7.3276523219,0.901511804,0.5262805178,-10.2219292085,7.31203192,0.2031009267,1.0869438345,1.6685034837,0.4968506504,0.8488227933,1.2366067315,0.1215134037,0.0582964771,67.2584117252,81.1995918842,52.9473002179,0.1490483628,0.1087625217,0.088219983,0.0760003489,0.8116893967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615720213919.0,772960939969.0,0.0947116893,247.3774017318,2.2311393616,1.2366067315,0.0,,,,,,,0.0,
2019,3,2731202,RATIO_TTM,PCC1,2019,159323497,2493412728050.0,0.0,7.0620011776,0.7372214118,0.4312752727,-5.330616144,7.4885393125,0.2489942291,1.0511626965,1.654305662,0.5482676213,0.9517834161,1.2938680288,0.1025116943,0.047391579,67.8739505134,91.9494312865,52.1840914131,0.1383386181,0.0992501906,0.075198499,0.0648639012,0.7760226659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573813765949.0,734460086530.0,0.0813479793,260.0667287106,2.3264532063,1.2938680288,0.0,,,,,,,0.0,
2019,4,2734826,RATIO_TTM,PCC1,2019,159323497,2246461307700.0,0.0,6.2787166798,0.6534333448,0.3843374734,-6.7353842167,6.9200192321,0.2273309502,1.088853998,1.6631447211,0.5673403371,0.8246235024,1.2505471295,0.10260715,0.0479864798,69.8872043788,79.766374689,57.5130328096,0.1400687612,0.1016901518,0.0740584438,0.0644068291,0.7839257888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594381259162.0,759113758924.0,0.0881664148,243.4158588358,2.3642244496,1.2505471295,0.0,,,,,,,0.0,
2019,5,12245153,RATIO_YEAR,PCC1,2019,159323497,2246461307700.0,0.0,18.6036049772,1.7424973298,1.024904876,-17.9610245777,11.1574093026,0.2273309502,0.9687872325,1.6631447211,0.5673403371,0.8246235024,1.2505471295,0.10260715,0.0479864798,69.8872043788,79.766374689,57.5130328096,0.1400687612,0.1016901518,0.0740584438,0.0644068291,0.7839257888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594381259162.0,759113758924.0,0.0881664148,243.4158588358,2.3642244496,1.2505471295,0.0,,,,,,,0.0,12245153.0
2020,1,2749392,RATIO_TTM,PCC1,2020,159323497,2724431798700.0,0.0,7.5704923893,0.7731185229,0.4597229622,9.6524433319,7.6806199153,0.1746812816,1.0287716326,1.4168813589,0.5500772269,0.9266548499,1.2979985155,0.0984799022,0.0433800408,75.1203618255,100.9644103527,48.3739827478,0.1405016526,0.1034762156,0.0744692764,0.0626840047,0.7143612471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613225606397.0,783337506180.0,0.0839288199,271.660939678,2.2544259314,1.2979985155,0.0,,,,,,,0.0,
2020,2,2752243,RATIO_TTM,PCC1,2020,159323497,3457319884900.0,0.0,10.0157698745,0.9281753903,0.644850389,4.8447641967,8.2057006152,0.3932381947,1.2925829662,1.6896817923,0.518994311,0.8687400334,1.1889724097,0.0898195572,0.0398263247,83.2265281371,106.5144910003,54.7872485457,0.1590321201,0.1151138261,0.0821980662,0.0664938698,0.6185796118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617174660594.0,804484352271.0,0.0773161953,302.0406845364,1.9282705915,1.1889724097,0.0,,,,,,,0.0,
2020,3,2754383,RATIO_TTM,PCC1,2020,191187727,4368639561950.0,0.0,10.2318022091,1.1247456094,0.7594273049,7.9097955095,8.1953165505,0.3103511391,1.3053366749,1.6283030669,0.4604615121,0.7949274053,1.1777425613,0.1040044177,0.0467483459,86.4164464549,90.8025075431,59.3226723555,0.1747616325,0.1261078293,0.093792659,0.0784030428,0.6298417016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725440932270.0,954885419442.0,0.0866802423,301.9247905063,1.8366656878,1.1777425613,0.0,,,,,,,0.0,
2020,4,2758279,RATIO_TTM,PCC1,2020,191187727,4875287038500.0,0.0,9.5070946336,1.2226625237,0.7299863166,7.706514144,7.5529763076,0.3941873791,1.3317088115,1.5265777673,0.4552503326,0.7878720768,1.2479525403,0.121169122,0.0538748495,77.6307596333,71.7320222332,63.7014451576,0.1739368114,0.1232862599,0.0975970791,0.0814664167,0.701646214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823379686985.0,1103172500340.0,0.0965580499,278.4945490452,2.1482583106,1.2479525403,0.0,,,,,,,0.0,
2020,5,12249554,RATIO_YEAR,PCC1,2020,191187727,4875287038500.0,0.0,15.3878794964,1.8867403537,1.1264716261,11.8922090811,8.8882418885,0.3941873791,1.2996232876,1.5265777673,0.4552503326,0.7878720768,1.2479525403,0.121169122,0.0538748495,77.6307596333,71.7320222332,63.7014451576,0.1739368114,0.1232862599,0.0975970791,0.0814664167,0.701646214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823379686985.0,1103172500340.0,0.0965580499,278.4945490452,2.1482583106,1.2479525403,0.0,,,,,,,0.0,12249554.0
2021,1,2761550,RATIO_TTM,PCC1,2021,191187727,4569386675300.0,0.0,9.2806572894,1.1251536067,0.6685038235,3.8282635109,8.3191224581,0.2538290023803711,0.8922593593597412,1.0784659385681152,0.41624265909194946,0.9120295643806458,1.4411704540252686,0.10448460280895233,0.04600880667567253,78.22169494628906,62.9422721862793,73.03357696533203,0.16692569851875305,0.11591058224439621,0.09181655943393707,0.07738813757896423,0.6387266516685486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792277090304.0,1085159833600.0,0.08042649924755096,296.0833740234375,1.8849436044692993,1.4411704540252686,0.0,,,,,,,0.0,
2021,3,2767469,RATIO_TTM,PCC1,2021,235159649,7783784381900.0,0.0,11.1811428943,1.7086838063,0.7676810655,9.4049856053,14.3929162078,0.2854453918,0.9229701312,1.0948721713,0.8640738781,1.2902381982,1.9490066671,0.1252100297,0.0478473339,72.003947561,40.8940277361,81.1003219988,0.1049393729,0.0720670837,0.085301751,0.0711742504,0.7110487874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730713137841.0,1064756646355.0,0.0528656294,245.1303749935,2.3660714969,1.9490066671,0.0,,,,,,,0.0,
