item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,855954953640.0,1589916171751.0,1132352131640.0,1506198579874.0,1285719366883.0,1735823974584.0,1252696695836.0,1568060090159.0,1369666180868.0,1171006511998.0,1643811975209.0,2472081179601.0,1548344223645.0,2987713393777.0,3131207777266.0,2145676751179.0,1477928426506.0,1510907385869.0,3005929612627.0,2338543727609.0,1505169970816.0,1472279016456.0,2162488555569.0,2553843519823.0,2164822178202.0,3141079155506.0,2232107020546.0,2550893266365.0,1860366300319.0,2934930769167.0,3278075111343.0,5011422740268.0,2167795215707.0,2038227010680.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,855954953640.0,1589916171751.0,1132352131640.0,1506198579874.0,1285719366883.0,1735823974584.0,1252696695836.0,1568060090159.0,1369666180868.0,1171006511998.0,1643811975209.0,2472081179601.0,1548344223645.0,2987713393777.0,3131207777266.0,2145676751179.0,1477928426506.0,1510907385869.0,3005929612627.0,2338543727609.0,1505169970816.0,1472279016456.0,2162488555569.0,2553843519823.0,2164822178202.0,3141079155506.0,2232107020546.0,2550893266365.0,1860366300319.0,2934930769167.0,3278075111343.0,5011422740268.0,2167795215707.0,2038227010680.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-737150469739.0,-1231795120689.0,-905849995081.0,-1343872362230.0,-1103151349614.0,-1457000089705.0,-1070175657648.0,-1395747267567.0,-1170676437277.0,-872190619613.0,-1308606321047.0,-2152842746343.0,-1360626379173.0,-2745374792186.0,-2816485985069.0,-1745723913680.0,-1127969301800.0,-1165999591417.0,-2609749767455.0,-1830974733293.0,-1197509334673.0,-1189762180850.0,-1696637771487.0,-2161705686504.0,-1726240315786.0,-2571432644125.0,-1750014650052.0,-1948819409665.0,-1401236195888.0,-2425338543662.0,-2596556357490.0,-3942891749611.0,-1700504060875.0,-1570196819365.0
Lợi nhuận gộp,Gross Profit,gross_profit,118804483901.0,358121051062.0,226502136559.0,162326217644.0,182568017269.0,278823884879.0,182521038188.0,172312822592.0,198989743591.0,298815892385.0,335205654162.0,319238433258.0,187717844472.0,242338601591.0,314721792197.0,399952837499.0,349959124706.0,344907794452.0,396179845172.0,507568994316.0,307660636143.0,282516835606.0,465850784082.0,392137833319.0,438581862416.0,569646511381.0,482092370494.0,602073856700.0,459130104431.0,509592225505.0,681518753853.0,1068530990657.0,467291154832.0,468030191315.0
Doanh thu hoạt động tài chính,Financial income,financial_income,4920046721.0,7606451444.0,7137672584.0,8755039359.0,4270636288.0,11690972897.0,10849593348.0,12479435162.0,9047790150.0,9555804966.0,9221859356.0,9491386972.0,8499862301.0,277962255130.0,16538628156.0,16134058097.0,15227935016.0,15276581620.0,22620894415.0,42260747504.0,64766166369.0,29736597603.0,42254071851.0,45937177365.0,43848434585.0,50216111572.0,28843309675.0,15177814537.0,37224794867.0,62602673496.0,53340302146.0,94864055727.0,184176981895.0,84770667223.0
Chi phí tài chính,Financial expenses,financial_expenses,-29643768766.0,-37824632532.0,-35447601357.0,-47168883944.0,-32912679599.0,-42583318268.0,-49356801601.0,-45812287100.0,-51198804130.0,-67227219280.0,-61792906106.0,-66296344531.0,-59933085507.0,-77178533133.0,-83026512867.0,-137394586293.0,-121079960431.0,-215166287621.0,-265305902547.0,-163069320017.0,-211535612249.0,-229707366125.0,-323940097347.0,-202147776135.0,-269845565396.0,-267170146939.0,-98237622332.0,-246314862875.0,-208222642555.0,-227056936155.0,-202007576378.0,-178572798523.0,-188792680390.0,-204740459675.0
Chi phí lãi vay,Interest expenses,interest_expenses,-29643768766.0,-37624571989.0,-35361337747.0,-45113085900.0,-32912679599.0,-42318196932.0,-47571107846.0,-47332027273.0,-51192979776.0,-67021933006.0,-61783081666.0,-62748793112.0,-58499893411.0,-77514742575.0,-82496305776.0,-92829178325.0,-111543773506.0,-138183703270.0,-161302925170.0,-203462611693.0,-202320956960.0,-219093338031.0,-215387237201.0,-209226687017.0,-180662130927.0,-203584325836.0,-183127385007.0,-133832916067.0,-165681726465.0,-169299597002.0,-174955712620.0,-172217090381.0,-182764903376.0,-197678458128.0
Chi phí bán hàng,Selling expenses,selling_expenses,-2725683174.0,-28110934097.0,-16690323116.0,600698383.0,-7370324540.0,-8428400081.0,-3882312550.0,-2752639098.0,-3214930029.0,-27992113782.0,-17935943854.0,-26314278868.0,-9031651696.0,-18028629725.0,-6195078239.0,-22854727696.0,-5593694314.0,1906589723.0,2009832363.0,10186732097.0,521653247.0,-6207610270.0,-21524758881.0,-28770018168.0,-12417345930.0,-23576096491.0,-16397509498.0,-26141805595.0,-17750687087.0,-23889914558.0,-29979851667.0,-32214151110.0,-16306517313.0,-1155635977.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-29092400199.0,-42015357531.0,-34148990371.0,-56237876443.0,-44530252458.0,-55596501919.0,-44882350536.0,-57825176321.0,-42839572319.0,-52075741527.0,-75247063530.0,-89671034211.0,-50432917609.0,-71642156245.0,-61987787084.0,-54799998193.0,-49241637723.0,-66336001443.0,-96165810447.0,-77805842959.0,-67475812114.0,-77781873361.0,-83169713707.0,-106781554895.0,-92083004881.0,-120249562918.0,-91290790080.0,-184102182277.0,-90240610779.0,-117191125908.0,-106534131853.0,-243415823750.0,-110470497108.0,-86266828286.0
